date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-31,Knypplerskevägen 34,Akeshov,GronHasselby,3,55,3,Lägenhet,1944,[Bromma],2695000,530000,3225000,3576,Erik Olsson Fastighetsförmedling,351.38345797691005,Brommaplan
2016-05-26,Bårdgränd 14,Akeshov,GronHasselby,1,28,2,Lägenhet,1945,[Bromma Brommaplan],1495000,490000,1985000,2105,HusmanHagberg,460.80547873983517,Akeshov
2016-05-25,Snörmakarvägen 15,Akeshov,GronHasselby,2,42,1,Lägenhet,1942,[Bromma Åkeshov],1995000,5000,2000000,3750,Notar,413.7659002918825,Akeshov
2016-05-25,Snörmakarvägen 14,Akeshov,GronHasselby,2,42,3,Lägenhet,1942,[Bromma Åkeshov],1995000,325000,2320000,3384,Notar,423.1497546637697,Akeshov
2016-05-12,Snörmakarvägen 29,Akeshov,GronHasselby,1.5,53,1,Lägenhet,1960,[Bromma Åkeshov],2650000,-155000,2495000,3384,Notar,355.5973496555364,Brommaplan
2016-04-28,Snörmakarvägen 29,Akeshov,GronHasselby,2,38,2,Lägenhet,1960,[Åkeshov],1895000,365000,2260000,2509,Länsförsäkringar Fastighetsförmedling,355.5973496555364,Brommaplan
2016-04-27,Bårdgränd 9,Akeshov,GronHasselby,1,28,1,Lägenhet,1945,[Bromma Brommaplan],1695000,505000,2200000,2236,HusmanHagberg,490.2443577757764,Akeshov
2016-04-26,Bergslagsvägen 35,Akeshov,GronHasselby,1,38,2,Lägenhet,1940,[Bromma Brommaplan],1950000,300000,2250000,2846,Notar,374.4125930030595,Brommaplan
2016-04-21,Brommabågen 21,Akeshov,GronHasselby,3,71,1,Lägenhet,1941,[Brommaplan],2995000,275000,3270000,4557,Fastighetsbyrån,168.84322449026993,Brommaplan
2016-04-08,Knypplerskevägen 32,Akeshov,GronHasselby,2,55,2,Lägenhet,1944,[Bromma Åkeshov],2495000,305000,2800000,3701,Notar,366.8794620178505,Brommaplan
2016-04-08,Knypplerskevägen 12,Akeshov,GronHasselby,2,42,2,Lägenhet,1942,[Bromma Åkeshov],1995000,455000,2450000,3232,Notar,352.4628390119099,Akeshov
2016-03-18,Bergslagsvägen 33,Akeshov,GronHasselby,2,56,1,Lägenhet,1940,[Bromma Brommaplan],2150000,600000,2750000,3745,Notar,352.6128731270927,Brommaplan
2016-03-07,Brommabågen 13,Akeshov,GronHasselby,2,41,1,Lägenhet,1941,[Bromma Brommaplan],1990000,750000,2740000,2907,Notar,211.01134191831613,Brommaplan
2016-02-24,Snörmakarvägen 15,Akeshov,GronHasselby,2,42,2,Lägenhet,1942,[Bromma Åkeshov],1995000,445000,2440000,3750,Notar,413.7659002918825,Akeshov
2016-02-19,Bårdgränd 16,Akeshov,GronHasselby,2,36,1,Lägenhet,1945,[Bromma],1875000,445000,2320000,2557,Mäklarhuset,463.0662572913177,Akeshov
2016-02-18,Bårdgränd 8,Akeshov,GronHasselby,2,43,2,Lägenhet,1945,[Bromma Brommaplan],1995000,545000,2540000,2951,HusmanHagberg,454.82991788700963,Akeshov
2016-02-16,Snörmakarvägen 45,Akeshov,GronHasselby,2,55,3,Lägenhet,1944,[Bromma],2495000,255000,2750000,3701,Notar,222.34145875953695,Brommaplan
2016-02-16,Snörmakarvägen 29,Akeshov,GronHasselby,3.5,93,2,Lägenhet,1960,[Bromma],3995000,0,3995000,4787,Notar,355.5973496555364,Brommaplan
2016-02-13,Bergslagsvägen 31,Akeshov,GronHasselby,2,56,1,Lägenhet,null,[Bromma Brommaplan],2195000,165000,2360000,3747,Svenska Mäklarhuset,336.45291141447734,Brommaplan
