date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Spannvägen 23,Akeslund,GronHasselby,2,50,null,Lägenhet,null,[Bromma],2495000,305000,2800000,3141,Erik Olsson Fastighetsförmedling,382.5445668792806,Brommaplan
2016-06-18,Gustav III:s väg 52,Akeslund,GronHasselby,2.5,58,0,Lägenhet,1992,[Bromma Abrahamsberg],2845000,255000,3100000,3455,HusmanHagberg,604.4039367448867,Brommaplan
2016-06-09,Fredrikslundsvägen 47,Akeslund,GronHasselby,3,74,1,Lägenhet,1943,[Bromma-Abrahamsberg],3695000,505000,4200000,4365,Länsförsäkringar Fastighetsförmedling,518.3250909955633,Brommaplan
2016-05-28,Tunnlandsvägen 3,Akeslund,GronHasselby,2,64,-1,Lägenhet,1992,[Brommaplan],2395000,335000,2730000,3746,Fastighetsbyrån,489.5049884826486,Brommaplan
2016-05-26,Spannvägen 25,Akeslund,GronHasselby,2,51,2,Lägenhet,1942,[Abrahamsberg],2495000,385000,2880000,3158,Fastighetsbyrån,365.4460559839786,Brommaplan
2016-05-25,Spannvägen 46,Akeslund,GronHasselby,4,90.5,1,Lägenhet,2008,[Abrahamsberg],4995000,865000,5860000,5697,Fastighetsbyrån,366.51284181363724,Brommaplan
2016-05-25,Tunnlandsvägen 91,Akeslund,GronHasselby,2,61,5,Lägenhet,1967,[Bromma Brommaplan],2595000,655000,3250000,3034,HusmanHagberg,372.5922178323642,Brommaplan
2016-05-20,Åkeshovsvägen 36,Akeslund,GronHasselby,2,64,1,Lägenhet,1968,[Bromma],2195000,325000,2520000,2652,Svensk Fastighetsförmedling,560.8825960394902,Brommaplan
2016-05-19,Spannvägen 18,Akeslund,GronHasselby,2,52,2,Lägenhet,1942,[Bromma Abrahamsberg],2495000,495000,2990000,3252,Notar,344.65660937228665,Abrahamsberg
2016-05-13,Tunnlandsvägen 3,Akeslund,GronHasselby,4,99,2,Lägenhet,1992,[Bromma Abrahamsberg],3990000,1520000,5510000,6089,Notar,489.5049884826486,Brommaplan
2016-05-11,Besmansvägen 8,Akeslund,GronHasselby,2,46,-1,Lägenhet,null,[Bromma],1995000,505000,2500000,2757,Svenska Mäklarhuset,513.1909528423387,Abrahamsberg
2016-05-06,Fredrikslundsvägen 23,Akeslund,GronHasselby,2,44,1,Lägenhet,1942,[Abrahamsberg],2395000,335000,2730000,2624,Länsförsäkringar Fastighetsförmedling,552.3368988544446,Brommaplan
2016-04-30,Fredrikslundsvägen 17,Akeslund,GronHasselby,2,47,1,Lägenhet,1940,[Bromma Abrahamsberg],2600000,0,2600000,2694,Mäklarringen,576.8996795926806,Brommaplan
2016-04-29,Spannvägen 18,Akeslund,GronHasselby,2,50,1,Lägenhet,1942,[Bromma],2395000,0,2395000,3238,Svensk Fastighetsförmedling,344.65660937228665,Abrahamsberg
2016-04-29,Tunnlandsvägen 77,Akeslund,GronHasselby,2,47,2,Lägenhet,1943,[Åkeslund],2495000,330000,2825000,2992,Länsförsäkringar Fastighetsförmedling,156.93222152086898,Brommaplan
2016-04-29,Tunnlandsvägen 26,Akeslund,GronHasselby,2,42,2,Lägenhet,1944,[Brommaplan],2195000,255000,2450000,3450,Fastighetsbyrån,423.81875606586016,Brommaplan
