date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Schlytersvägen 69,Aspudden,RodNorsborg,2,25,1.5,Lägenhet,null,[Aspudden],1495000,925000,2420000,1312,Magnusson Mäkleri,137.29119957305537,Aspudden
2016-06-21,Husabyvägen 21,Aspudden,RodNorsborg,1,39,null,Lägenhet,1941,[Aspudden],2195000,655000,2850000,2211,Fastighetsbyrån,249.7196051830729,Aspudden
2016-06-16,Hägerstensvägen 142,Aspudden,RodNorsborg,3,68,null,Lägenhet,1912,[Aspudden],4495000,505000,5000000,3535,HusmanHagberg,180.61060435241015,Aspudden
2016-06-16,Schlytersvägen 69,Aspudden,RodNorsborg,2,29,0.5,Lägenhet,null,[Aspudden],1995000,670000,2665000,1522,Magnusson Mäkleri,137.29119957305537,Aspudden
2016-06-09,Hövdingagatan 35,Aspudden,RodNorsborg,2,54,3,Lägenhet,1942,[Aspudden],3300000,-1020000,2280000,2983,SthlmFast,149.44757969032383,Ornsberg
2016-06-07,Jakobsdalsvägen 16,Aspudden,RodNorsborg,4,100,2,Lägenhet,2012,[Örnsberg],5795000,705000,6500000,4685,HusmanHagberg,310.21788039794455,Ornsberg
2016-06-03,Ivar Vidfamnes gata 19,Aspudden,RodNorsborg,2,55,2.5,Lägenhet,1949,[Hägersten],2795000,405000,3200000,2712,Hägerstens mäklare,292.34387657624194,Ornsberg
2016-06-03,Hägerstensvägen 146,Aspudden,RodNorsborg,2,55,1,Lägenhet,1945,[Hägersten],2975000,250000,3225000,2970,Erik Olsson Fastighetsförmedling,256.47833892616575,Aspudden
2016-06-01,Pilgrimsvägen 70,Aspudden,RodNorsborg,1,38,4,Lägenhet,1912,[Aspudden],2395000,115000,2510000,2485,Mäklarhuset,212.77331149853129,Aspudden
2016-05-30,Sigurd Rings gata 7,Aspudden,RodNorsborg,2,56,4,Lägenhet,1948,[Hägersten],2995000,100000,3095000,3039,Svensk Fastighetsförmedling,530.5845438658158,Ornsberg
