date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-18,Lagavägen 22,Bagarmossen,GronSkarpnack,5,104,1,Lägenhet,2001,[Bagarmossen],3995000,205000,4200000,7172,Fastighetsbyrån,151.60676915541464,Bagarmossen
2016-06-18,Rusthållarvägen 131,Bagarmossen,GronSkarpnack,3,70,2,Lägenhet,1954,[Bagarmossen],2875000,125000,3000000,4681,SkandiaMäklarna,291.2630381816648,Bagarmossen
2016-06-16,Svartågatan 67,Bagarmossen,GronSkarpnack,1,26,0.5,Lägenhet,1954,[Bagarmossen],1575000,235000,1810000,2419,SkandiaMäklarna,502.058144925295,Bagarmossen
2016-06-15,Kolbäcksgränd 10,Bagarmossen,GronSkarpnack,3,70,2,Lägenhet,null,[Bagarmossen],3195000,105000,3300000,4198,Mäklarhuset,411.0405069807294,Bagarmossen
2016-06-10,Svartågatan 47,Bagarmossen,GronSkarpnack,3,55,3,Lägenhet,1954,[Bagarmossen],2400000,-140000,2260000,3902,Länsförsäkringar Fastighetsförmedling,442.0687557132035,Bagarmossen
2016-06-10,Svartågatan 64,Bagarmossen,GronSkarpnack,3,68,null,Lägenhet,1954,[Bagarmossen],3000000,-30000,2970000,4606,Länsförsäkringar Fastighetsförmedling,414.86803508245424,Bagarmossen
2016-06-09,Stångåvägen 12,Bagarmossen,GronSkarpnack,2,54,1,Lägenhet,1954,[Bagarmossen],1900000,310000,2210000,3870,HusmanHagberg,321.41380494944826,Bagarmossen
2016-06-09,Voxnegränd 8,Bagarmossen,GronSkarpnack,2,54,1,Lägenhet,1954,[Bagarmossen],1995000,155000,2150000,3573,Södermäklarna,226.4100534267403,Bagarmossen
2016-06-08,Kolbäcksgränd 27,Bagarmossen,GronSkarpnack,2,58,3,Lägenhet,1954,[Bagarmossen],2000000,750000,2750000,3662,HusmanHagberg,553.5816642580261,Bagarmossen
2016-06-01,Svartågatan 55,Bagarmossen,GronSkarpnack,4,85,1,Lägenhet,1954,[Bagarmossen],3600000,850000,4450000,5427,HusmanHagberg,527.7318850993379,Bagarmossen
2016-06-01,Svartågatan 80,Bagarmossen,GronSkarpnack,2,50,6,Lägenhet,1954,[Bagarmossen],2150000,340000,2490000,3713,HusmanHagberg,496.46021424816405,Bagarmossen
