date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-11,Solvallavägen 15B,Duvbo,BlaSundbyberg,5,120,null,Radhus,1996,[Duvbo],5395000,2155000,7550000,2731,Fastighetsbyrån,798.9031696525512,Rissne
2016-05-25,Oskarsvägen 1,Duvbo,BlaSundbyberg,6,164,null,Villa,null,[Duvbo],7995000,2155000,10150000,null,Svenska Mäklarhuset,623.3056401286922,Duvbo
2016-05-18,Duvkullavägen 12,Duvbo,BlaSundbyberg,4,87,1,Lägenhet,null,[Duvbo],4195000,1805000,6000000,3269,Svenska Mäklarhuset,794.3377985575918,Rissne
2016-05-13,Granlidsvägen 4,Duvbo,BlaSundbyberg,2,48,2,Lägenhet,null,[Hästhagen],2295000,255000,2550000,3099,Svenska Mäklarhuset,680.5395316615268,Duvbo
2016-05-12,Ursviksvägen 3,Duvbo,BlaSundbyberg,2,54.5,2,Lägenhet,1995,[Sundbyberg/Duvbo],2795000,55000,2850000,3005,Notar,405.47439335626115,Duvbo
2016-05-08,Falkstigen 8B,Duvbo,BlaSundbyberg,8,165,null,Villa,1902,[Duvbo],8950000,2450000,11400000,null,Notar,512.6858434508272,Duvbo
2016-05-06,Granlidsvägen 18,Duvbo,BlaSundbyberg,2,45,null,Lägenhet,1931,[Sundbyberg/Duvbo],2150000,250000,2400000,2478,Notar,494.7882211670693,Duvbo
2016-04-30,Kanalstigen 34,Duvbo,BlaSundbyberg,2,60.5,2,Lägenhet,1999,[Duvbo],2995000,205000,3200000,4507,Notar,346.74821847813104,Duvbo
2016-04-26,Karlavägen 27,Duvbo,BlaSundbyberg,10,289,null,Villa,null,[Duvbo],11900000,300000,12200000,null,Svenska Mäklarhuset,729.9515917550306,Duvbo
2016-04-21,Granlidsvägen 14,Duvbo,BlaSundbyberg,6,173,null,Villa,1918,[Duvbo],8995000,2355000,11350000,null,Fastighetsbyrån,547.1381876923322,Duvbo
2016-04-19,Duvkullavägen 11,Duvbo,BlaSundbyberg,6,140,null,Villa,1903,[Duvbo],8950000,1050000,10000000,null,Notar,802.9796728727731,Rissne
2016-04-19,Kanalstigen 34,Duvbo,BlaSundbyberg,3,80.5,null,Lägenhet,1999,[Duvbo],3495000,175000,3670000,5875,Notar,346.74821847813104,Duvbo
2016-04-15,Solvallavägen 48B,Duvbo,BlaSundbyberg,3,70,null,Lägenhet,null,[Sundbyberg/Duvbo],2800000,125000,2925000,3230,SkandiaMäklarna,356.3877242924341,Rissne
2016-04-12,Järnvägsgatan 78,Duvbo,BlaSundbyberg,2,51,3,Lägenhet,1945,[Sundbyberg/Duvbo],2495000,605000,3100000,2628,Notar,511.0323887377176,Duvbo
2016-04-09,Ursviksvägen 1,Duvbo,BlaSundbyberg,3,76,2,Lägenhet,1929,[Sundbyberg/Duvbo],3995000,525000,4520000,3580,Fastighetsbyrån,454.3345006456669,Duvbo
2016-04-09,Duvkullavägen 42A,Duvbo,BlaSundbyberg,1,45.5,null,Lägenhet,1957,[Duvbo],1995000,255000,2250000,2081,Länsförsäkringar Fastighetsförmedling,416.467432197927,Rissne
2016-04-08,Hästhagsgatan 14,Duvbo,BlaSundbyberg,3,59,1,Lägenhet,null,[Sundbyberg/Duvbo],2695000,815000,3510000,3123,Svenska Mäklarhuset,525.7812493955048,Duvbo
2016-04-08,Ursviksvägen 3,Duvbo,BlaSundbyberg,3,78,2,Lägenhet,null,[Sundbyberg/Duvbo],3795000,405000,4200000,4317,Svenska Mäklarhuset,405.47439335626115,Duvbo
2016-03-31,Björkhagsvägen 32B,Duvbo,BlaSundbyberg,5,119,null,Villa,1985,[Duvbo],6495000,1305000,7800000,null,Fastighetsbyrån,711.6191363353784,Duvbo
2016-03-18,Ursviksvägen 27,Duvbo,BlaSundbyberg,3,81,1,Lägenhet,null,[Duvbo],3495000,625000,4120000,5618,Svenska Mäklarhuset,282.40713358919703,Duvbo
2016-03-18,Solängsvägen 9,Duvbo,BlaSundbyberg,6,155,null,Villa,1932,[Sundbyberg/Duvbo],8750000,1550000,10300000,null,SkandiaMäklarna,816.9498474751338,Rissne
2016-03-17,Älvängsvägen 5,Duvbo,BlaSundbyberg,5,140,null,Villa,1948,[Duvbo],7295000,1755000,9050000,null,Mäklarhuset,801.6830406816576,Duvbo
2016-03-10,Björkhagsvägen 14,Duvbo,BlaSundbyberg,3,75,2,Lägenhet,1932,[Duvbo],3795000,1330000,5125000,4232,Länsförsäkringar Fastighetsförmedling,618.9690650582602,Duvbo
2016-03-07,Ursviksvägen 15,Duvbo,BlaSundbyberg,3,73.5,2,Lägenhet,1995,[Sundbyberg/Duvbo],3495000,1130000,4625000,3933,Notar,327.97409697808774,Duvbo
2016-03-02,Ursviksvägen 17,Duvbo,BlaSundbyberg,4,82,1,Lägenhet,null,[Sundbyberg/Duvbo],4395000,905000,5300000,4374,Svenska Mäklarhuset,310.132559622889,Duvbo
2016-02-10,Ekovägen 2B,Duvbo,BlaSundbyberg,4,121,1,Lägenhet,2000,[Sundbyberg/Duvbo],4995000,125000,5120000,5950,Notar,672.7818306234684,Rissne
2016-01-22,Stenbrottsgatan 1,Duvbo,BlaSundbyberg,3,67,null,Lägenhet,1950,[Sundbyberg/Duvbo],3495000,435000,3930000,3896,Fastighetsbyrån,506.8805173912798,Duvbo
2016-01-15,Solvallavägen 48B,Duvbo,BlaSundbyberg,2,70,1,Lägenhet,1957,[Duvbo],2395000,130000,2525000,3230,Länsförsäkringar Fastighetsförmedling,356.3877242924341,Rissne
2016-01-14,Björkhagsvägen 15,Duvbo,BlaSundbyberg,1,43,1,Lägenhet,null,[Hästhagen],1995000,665000,2660000,2161,Svenska Mäklarhuset,667.462099434845,Duvbo
2015-12-22,Rinkebyvägen 5,Duvbo,BlaSundbyberg,2,49,1,Lägenhet,1927,[Duvbo],2195000,305000,2500000,2000,Mäklarringen,752.6299206399729,Rissne
2015-12-18,Solvallavägen 39,Duvbo,BlaSundbyberg,1.5,31,2,Lägenhet,1957,[Duvbo],1895000,210000,2105000,1672,Svensk Fastighetsförmedling,422.28404315580127,Rissne
2015-12-15,Högåsvägen 14,Duvbo,BlaSundbyberg,9,229,null,Villa,1938,[Duvbo],10650000,-1330000,9320000,null,Fastighetsbyrån,477.51443335575914,Rissne
2015-12-11,Stenbrottsgatan 1,Duvbo,BlaSundbyberg,3,67,5,Lägenhet,1949,[Sundbyberg/Duvbo],3495000,5000,3500000,3896,Notar,506.8805173912798,Duvbo
2015-12-10,Ursviksvägen 29,Duvbo,BlaSundbyberg,4,87,null,Lägenhet,null,[Duvbo],4495000,0,4495000,6006,Svenska Mäklarhuset,284.5996117352668,Duvbo
2015-11-30,Alms väg 34,Duvbo,BlaSundbyberg,7,205,null,Villa,1909,[Duvbo],8750000,4050000,12800000,null,Notar,672.5139406956094,Rissne
2015-11-20,Duvkullavägen 40A,Duvbo,BlaSundbyberg,2,63,1,Lägenhet,1957,[Duvbo],1995000,275000,2270000,2952,Länsförsäkringar Fastighetsförmedling,444.68350430156306,Rissne
2015-10-31,Järnvägsgatan 78,Duvbo,BlaSundbyberg,2,51,3,Lägenhet,1910,[Sundbyberg/Duvbo],2250000,380000,2630000,2628,ERA,511.0323887377176,Duvbo
2015-10-26,Duvkullavägen 42B,Duvbo,BlaSundbyberg,2,63,2,Lägenhet,1957,[Duvbo],2145000,55000,2200000,2949,Svensk Fastighetsförmedling,424.0194157095693,Rissne
2015-10-19,Solvallavägen 46A,Duvbo,BlaSundbyberg,1,30.9,2,Lägenhet,1957,[Duvbo],1495000,715000,2210000,1673,Länsförsäkringar Fastighetsförmedling,364.1302972748333,Rissne
2015-10-15,Solängsvägen 18,Duvbo,BlaSundbyberg,2,55,1,Lägenhet,1990,[Duvbo],2195000,905000,3100000,2835,Fastighetsbyrån,731.01332369535,Rissne
2015-10-14,Kanalstigen 36,Duvbo,BlaSundbyberg,3,64.5,3,Lägenhet,1999,[Sundbyberg/Duvbo],2995000,505000,3500000,4526,Living Fastighetsmäkleri,313.7955937344246,Duvbo
2015-10-07,Järnvägsgatan 74,Duvbo,BlaSundbyberg,3,77,2,Lägenhet,1929,[Sundbyberg/Duvbo],3095000,1005000,4100000,3618,Mäklarhuset,480.7935330519651,Duvbo
2015-10-05,Kanalstigen 34,Duvbo,BlaSundbyberg,4,95.5,2,Lägenhet,1999,[Duvbo],3650000,450000,4100000,6964,Notar,346.74821847813104,Duvbo
2015-09-20,Villavägen 5,Duvbo,BlaSundbyberg,5,129,0,Lägenhet,1909,[Duvbo],5495000,1505000,7000000,6990,Fastighetsbyrån,340.8396755914568,Duvbo
2015-09-07,Solvallavägen 2B,Duvbo,BlaSundbyberg,7,189,null,Villa,1974,[Duvbo],7695000,3205000,10900000,null,Notar,663.0518957538012,Duvbo
2015-09-04,Björkhagsvägen 15,Duvbo,BlaSundbyberg,2.5,74,2,Lägenhet,1931,[Sundbyberg/Duvbo],3795000,0,3795000,3900,Bjurfors,667.462099434845,Duvbo
2015-08-27,Solvallavägen 39A,Duvbo,BlaSundbyberg,3,70,3,Lägenhet,1957,[Duvbo],2250000,400000,2650000,3230,Länsförsäkringar Fastighetsförmedling,423.2440189746226,Rissne
2015-08-27,Solvallavägen 41B,Duvbo,BlaSundbyberg,3,70,null,Lägenhet,1957,[Duvbo],2395000,165000,2560000,3230,Notar,392.42735632869886,Rissne
2015-08-23,Solvallavägen 41A,Duvbo,BlaSundbyberg,2,63,3,Lägenhet,1957,[Duvbo],1995000,335000,2330000,2953,RE/MAX Sverige,376.2301546982532,Rissne
