date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Grafikvägen 30,EnskedeGard,GronHagsatra,2,55,3,Lägenhet,1943,[Gullmarsplan],2695000,825000,3520000,3210,Notar,334.7840883408478,Globen
2016-06-18,Grafikvägen 11,EnskedeGard,GronHagsatra,2,51,1,Lägenhet,1946,[Johanneshov],2995000,615000,3610000,2384,Mäklarhuset,229.08365006570924,Gullmarsplan
2016-06-14,Bildhuggarvägen 39,EnskedeGard,GronHagsatra,2,38,2,Lägenhet,1944,[Globen],2095000,655000,2750000,2767,Notar,328.8160902032403,Globen
2016-06-13,Konstgjutarvägen 28,EnskedeGard,GronHagsatra,3,62,1,Lägenhet,1944,[Johanneshov],2895000,545000,3440000,3560,Mäklarringen,107.27877485252071,Globen
2016-06-13,Sofielundsplan 53,EnskedeGard,GronHagsatra,3,57,2,Lägenhet,1944,[Blåsut-Globen],3500000,-100000,3400000,2350,Länsförsäkringar Fastighetsförmedling,110.168957899001,Blasut
2016-06-05,Skärmarbrinksvägen 16,EnskedeGard,GronHagsatra,2,52,-1,Lägenhet,1944,[Blåsut],2495000,205000,2700000,2825,Fastighetsbyrån,178.17837634170093,Blasut
2016-06-04,Bildhuggarvägen 17,EnskedeGard,GronHagsatra,3,60,3,Lägenhet,1944,[Globen],3100000,500000,3600000,3564,Bjurfors,105.51280091073778,Globen
2016-06-02,Skulptörvägen 15,EnskedeGard,GronHagsatra,2,43.5,0,Lägenhet,1944,[Globen],2600000,20000,2620000,2958,Fastighetsbyrån,278.6546520646587,Globen
2016-06-01,Pastellvägen 32,EnskedeGard,GronHagsatra,2,47,null,Lägenhet,1943,[Blåsut],2490000,0,2490000,2235,SkandiaMäklarna,190.3152572422512,Blasut
2016-05-31,Gullmarsvägen 12,EnskedeGard,GronHagsatra,2,60,3,Lägenhet,1946,[Gullmarsplan],2795000,605000,3400000,4042,Notar,306.27094391479216,Gullmarsplan
2016-05-31,Usedomsvägen 5,EnskedeGard,GronHagsatra,8,175,null,Villa,1933,[Enskede Gård],8950000,1325000,10275000,null,Mäklarhuset,242.98244247623205,Enskede gard
2016-05-31,Gullmarsvägen 12,EnskedeGard,GronHagsatra,2,43,8,Lägenhet,null,[Gullmarsplan],3300000,0,3300000,2897,Länsförsäkringar Fastighetsförmedling,306.27094391479216,Gullmarsplan
2016-05-27,Blåsutvägen 7,EnskedeGard,GronHagsatra,2,55,6,Lägenhet,1943,[Blåsut],2750000,375000,3125000,2762,Fastighetsbyrån,282.66138788370205,Skarmarbrink
2016-05-27,Skulptörvägen 18,EnskedeGard,GronHagsatra,4,66,0,Lägenhet,1997,[Gullmarsplan],3850000,725000,4575000,4337,Fastighetsbyrån,287.1242926999942,Globen
2016-05-27,Odelbergsvägen 36,EnskedeGard,GronHagsatra,2,56,1,Lägenhet,2007,[Enskede Gård],2995000,255000,3250000,4360,Erik Olsson Fastighetsförmedling,50.4361768651455,Enskede gard
2016-05-27,Gullmarsvägen 8,EnskedeGard,GronHagsatra,1,24,5,Lägenhet,1945,[Gullmarsplan],1995000,355000,2350000,1527,HusmanHagberg,262.88928542742923,Gullmarsplan
2016-05-27,Konstgjutarvägen 16,EnskedeGard,GronHagsatra,2,55,1,Lägenhet,1945,[Globen],2595000,205000,2800000,2806,Mäklarhuset,68.03187698261203,Globen
2016-05-27,Pastellvägen 11,EnskedeGard,GronHagsatra,2,50,4,Lägenhet,1943,[Globen],2495000,405000,2900000,2867,Mäklarhuset,320.0362343597097,Blasut
2016-05-27,Sofielundsplan 55,EnskedeGard,GronHagsatra,3,60,2,Lägenhet,null,[Johanneshov],2495000,555000,3050000,3074,Svensk Fastighetsförmedling,114.0593502263257,Blasut
2016-05-26,Pastellvägen 10,EnskedeGard,GronHagsatra,2,54,1,Lägenhet,null,[Globen],null,NaN,2900000,2968,Bjurfors,365.1682026307666,Blasut
2016-05-25,Konstgjutarvägen 16,EnskedeGard,GronHagsatra,3,78,1,Lägenhet,1945,[Globen],3695000,205000,3900000,3979,Notar,68.03187698261203,Globen
2016-05-25,Godsägarvägen 25,EnskedeGard,GronHagsatra,4,91,null,Villa,1937,[Enskede Gård],4950000,2200000,7150000,null,Mäklarhuset,120.31955307833947,Enskede gard
2016-05-25,Etsarvägen 1,EnskedeGard,GronHagsatra,1,37.5,4,Lägenhet,1946,[Johanneshov],2195000,625000,2820000,1625,Svensk Fastighetsförmedling,321.07203192717634,Gullmarsplan
2016-05-24,Konstgjutarvägen 4,EnskedeGard,GronHagsatra,1,35,3,Lägenhet,1945,[Globen],2150000,675000,2825000,1221,Bjurfors,160.11798743830545,Globen
2016-05-24,Pastellvägen 13,EnskedeGard,GronHagsatra,2,55,1,Lägenhet,1943,[Globen],2495000,275000,2770000,3495,Bjurfors,275.96275189047043,Blasut
2016-05-20,Gullmarsvägen 9,EnskedeGard,GronHagsatra,1,28,4,Lägenhet,1946,[Gullmarsplan],1995000,630000,2625000,1212,Södermäklarna,192.86509921629536,Gullmarsplan
2016-05-19,Konstgjutarvägen 28A,EnskedeGard,GronHagsatra,3,67,0,Lägenhet,1944,[Johanneshov],2695000,0,2695000,3847,Svensk Fastighetsförmedling,100.40636614148826,Globen
2016-05-17,Skulptörvägen 18,EnskedeGard,GronHagsatra,3,84,1,Lägenhet,1997,[Globen],3995000,605000,4600000,5101,Notar,287.1242926999942,Globen
2016-05-17,Blåsutvägen 7,EnskedeGard,GronHagsatra,1,25,4,Lägenhet,1943,[Globen],1995000,0,1995000,1266,HusmanHagberg,282.66138788370205,Skarmarbrink
2016-05-14,Pastellvägen 12,EnskedeGard,GronHagsatra,2,42,3,Lägenhet,1943,[Globen],2295000,465000,2760000,2481,Fastighetsbyrån,344.6157444747602,Blasut
2016-05-13,Grafikvägen 20,EnskedeGard,GronHagsatra,2.5,54,1,Lägenhet,1946,[Gullmarsplan],2750000,650000,3400000,2800,Fastighetsbyrån,292.8358221847424,Gullmarsplan
2016-05-13,Gullmarsvägen 12,EnskedeGard,GronHagsatra,2,58,1,Lägenhet,null,[Gullmarsplan],2795000,155000,2950000,3908,Fastighetsbyrån,306.27094391479216,Gullmarsplan
2016-05-12,Lindevägen 50,EnskedeGard,GronHagsatra,2,61.5,3,Lägenhet,1989,[Enskede-Årsta-Vantör],2795000,225000,3020000,4010,SkandiaMäklarna,381.1681186496314,Enskede gard
2016-05-11,Etsarvägen 1,EnskedeGard,GronHagsatra,2,44,5,Lägenhet,1945,[Gullmarsplan],2450000,550000,3000000,1835,Notar,321.07203192717634,Gullmarsplan
2016-05-11,Pastellvägen 13,EnskedeGard,GronHagsatra,3,55,2,Lägenhet,1943,[Blåsut],2650000,340000,2990000,3495,Notar,275.96275189047043,Blasut
2016-05-07,Gullmarsvägen 12,EnskedeGard,GronHagsatra,2,56,null,Lägenhet,1946,[Gullmarsplan],2295000,405000,2700000,3773,Notar,306.27094391479216,Gullmarsplan
2016-05-03,Gullmarsvägen 12,EnskedeGard,GronHagsatra,2,53,null,Lägenhet,1946,[Gullmarsplan],2395000,435000,2830000,3571,Notar,306.27094391479216,Gullmarsplan
2016-05-02,Gullmarsplan 13,EnskedeGard,GronHagsatra,1,38,4,Lägenhet,1950,[Gullmarsplan],1895000,520000,2415000,1302,Notar,120.23363798209051,Gullmarsplan
2016-04-29,Odelbergsvägen 23,EnskedeGard,GronHagsatra,1.5,47,3,Lägenhet,1930,[Enskede Gård],2195000,645000,2840000,2915,Länsförsäkringar Fastighetsförmedling,155.05287400676517,Enskede gard
