date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Pipersgatan 18,FramreKungsholmen,Kungsholmen,2,37,1,Lägenhet,1934,[Kungsholmen],2995000,55000,3050000,2828,Mäklarhuset,233.23589162276326,Radhuset
2016-06-21,Arbetargatan 28E,FramreKungsholmen,Kungsholmen,3,80,null,Lägenhet,1969,[Kungsholmen],4850000,250000,5100000,2984,Fastighetsbyrån,254.34356969684484,Fridhemsplan
2016-06-21,Hjärnegatan 8,FramreKungsholmen,Kungsholmen,3,67,null,Lägenhet,1988,[Kungsholmen],4800000,450000,5250000,3253,Karlsson & Uddare,263.01534457902596,Radhuset
2016-06-21,Pipersgatan 20,FramreKungsholmen,Kungsholmen,2,56,1,Lägenhet,1932,[Kungsholmen],3495000,155000,3650000,4861,Erik Olsson Fastighetsförmedling,241.9489711774288,Radhuset
2016-06-21,Fridhemsgatan 33,FramreKungsholmen,Kungsholmen,2,57,2,Lägenhet,1903,[Ög],4275000,-90000,4185000,2700,Svensk Fastighetsförmedling,227.82299532031413,Fridhemsplan
2016-06-20,Parkgatan 12,FramreKungsholmen,Kungsholmen,5,176,2,Lägenhet,1900,[Kungsholmen],15500000,900000,16400000,5683,Skeppsholmen,414.8532390154354,Fridhemsplan
2016-06-17,Hantverkargatan 44,FramreKungsholmen,Kungsholmen,4,85,1,Lägenhet,1884,[Kungsholmen],5250000,-150000,5100000,4250,Fastighetsbyrån,208.65553877033844,Radhuset
2016-06-17,Norr Mälarstrand 68,FramreKungsholmen,Kungsholmen,3,55,6,Lägenhet,1931,[Kungsholmen],4795000,980000,5775000,2397,Innerstadsspecialisten AB,491.1817584087597,Fridhemsplan
2016-06-16,Celsiusgatan 8,FramreKungsholmen,Kungsholmen,2,41,3,Lägenhet,1932,[Kungsholmen Fridhemsplan],2950000,700000,3650000,2403,HusmanHagberg,342.7042273513628,Radhuset
2016-06-16,Skillinggränd 5,FramreKungsholmen,Kungsholmen,2,43,null,Lägenhet,1929,[Kungsholmstorg],1995000,1705000,3700000,2685,SkandiaMäklarna,492.7738453122877,Radhuset
