date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Ernst Ahlgrens väg 2,Fredhall,Kungsholmen,1,29,4,Lägenhet,1931,[Kungsholmen],2290000,485000,2775000,1712,Notar,211.56793582034769,Kristineberg
2016-06-18,Runiusgatan 9,Fredhall,Kungsholmen,1,38,3,Lägenhet,1931,[Kungsholmen],2650000,0,2650000,1899,Privatmäklaren,441.78197771521803,Thorildsplan
2016-06-15,Stagneliusvägen 32,Fredhall,Kungsholmen,1,48,1,Lägenhet,1939,[Kungsholmen],2795000,5000,2800000,2797,Erik Olsson Fastighetsförmedling,505.84323035260513,Thorildsplan
2016-06-10,Birger Sjöbergs väg 3,Fredhall,Kungsholmen,2,45,1,Lägenhet,null,[Kungsholmen],3300000,0,3300000,2005,Svenska Mäklarhuset,283.83071728618387,Kristineberg
2016-06-08,Frödingsvägen 6,Fredhall,Kungsholmen,2,48,3,Lägenhet,1933,[Kungsholmen],3350000,550000,3900000,2196,Erik Olsson Fastighetsförmedling,223.29084091083854,Kristineberg
2016-06-03,Runiusgatan 3,Fredhall,Kungsholmen,2.5,75.9,2,Lägenhet,1931,[Kungsholmen],3695000,215000,3910000,3350,Erik Olsson Fastighetsförmedling,378.9348049311841,Thorildsplan
2016-06-02,Vitalisvägen 4,Fredhall,Kungsholmen,2,46.5,1.5,Lägenhet,1932,[Kungsholmen Fredhäll],2795000,405000,3200000,2491,HusmanHagberg,280.6335874515628,Kristineberg
2016-06-01,Frödingsvägen 6,Fredhall,Kungsholmen,1,38,2,Lägenhet,1933,[Fredhäll],2295000,285000,2580000,1787,Svensk Fastighetsförmedling,223.29084091083854,Kristineberg
2016-05-31,Fredhällsgatan 9,Fredhall,Kungsholmen,3,70,null,Lägenhet,1931,[Kungsholmen],4150000,140000,4290000,3517,SkandiaMäklarna,280.36242024046686,Kristineberg
2016-05-31,Ernst Ahlgrensväg 2,Fredhall,Kungsholmen,1,29,4,Lägenhet,1931,[Kungsholmen],2495000,30000,2525000,1712,ERA,220.87108139002376,Kristineberg
2016-05-28,Palmbladsvägen 2,Fredhall,Kungsholmen,3,59,3,Lägenhet,null,[Kungsholmen],4175000,275000,4450000,3302,Länsförsäkringar Fastighetsförmedling,504.1154458534932,Kristineberg
2016-05-27,Vitalisvägen 6,Fredhall,Kungsholmen,1,27,1,Lägenhet,1931,[Kungsholmen],2500000,-70000,2430000,1623,Notar,297.1120409515215,Kristineberg
2016-05-26,Orvar Odds väg 2,Fredhall,Kungsholmen,2,34,6,Lägenhet,1937,[Fredhäll],2675000,625000,3300000,1972,Edward & Partners Fastighetsmäklare AB,380.62052693798285,Kristineberg
2016-05-26,Ernst Ahlgrens Väg 8,Fredhall,Kungsholmen,2,39.5,3,Lägenhet,1932,[Kungsholmen],2775000,305000,3080000,2191,SkandiaMäklarna,266.5385585072848,Kristineberg
2016-05-26,Snoilskyvägen 38,Fredhall,Kungsholmen,3,66,5,Lägenhet,null,[Kungsholmen],5280000,0,5280000,4000,BOSTHLM,354.4451624832107,Kristineberg
2016-05-26,Frödingsvägen 12,Fredhall,Kungsholmen,2.5,90,3,Lägenhet,1930,[Kungsholmen],4995000,805000,5800000,4551,Fastighetsbyrån,310.4245354712741,Kristineberg
2016-05-26,Ernst Ahlgrens Väg 8,Fredhall,Kungsholmen,1,34,0.5,Lägenhet,1932,[Kungsholmen],2395000,280000,2675000,1865,SkandiaMäklarna,266.5385585072848,Kristineberg
2016-05-25,Stagneliusvägen 43,Fredhall,Kungsholmen,1,31,4,Lägenhet,1937,[Kungsholmen],2495000,455000,2950000,701,Erik Olsson Fastighetsförmedling,422.7095023666897,Kristineberg
2016-05-25,Runiusgatan 3,Fredhall,Kungsholmen,2.5,68.3,2,Lägenhet,null,[Fredhäll],4175000,0,4175000,3170,Svenska Mäklarhuset,378.9348049311841,Thorildsplan
2016-05-22,Stagneliusvägen 32,Fredhall,Kungsholmen,3,70,4,Lägenhet,1939,[Fredhäll],4695000,605000,5300000,4032,Bjurfors,505.84323035260513,Thorildsplan
2016-05-19,Frödingsvägen 10,Fredhall,Kungsholmen,1,36,1,Lägenhet,1932,[Fredhäll],2195000,575000,2770000,2006,Svensk Fastighetsförmedling,291.36065976432275,Kristineberg
2016-05-19,Ernst Ahlgrens väg 3,Fredhall,Kungsholmen,2,34,1,Lägenhet,1933,[Kungsholmen],2495000,455000,2950000,1934,MOHV,253.30832995464698,Kristineberg
2016-05-19,Stagneliusvägen 23,Fredhall,Kungsholmen,1,22,5,Lägenhet,1937,[Fredhäll],1850000,470000,2320000,1620,Svensk Fastighetsförmedling,494.1147474158459,Thorildsplan
2016-05-18,Snoilskyvägen 38,Fredhall,Kungsholmen,2,63,3,Lägenhet,1935,[Kungsholmen],4350000,150000,4500000,3761,SkandiaMäklarna,354.4451624832107,Kristineberg
2016-05-18,Messeniusgatan 6,Fredhall,Kungsholmen,2,50,3,Lägenhet,1936,[Kungsholmen],3475000,625000,4100000,3320,Fastighetsbyrån,312.01821262078084,Kristineberg
2016-05-18,Ernst Ahlgrens väg 4,Fredhall,Kungsholmen,2,39,2,Lägenhet,1932,[Kungsholmen],2850000,650000,3500000,2124,SkandiaMäklarna,229.19549537027265,Kristineberg
2016-05-14,Vitalisvägen 13,Fredhall,Kungsholmen,2,38,3,Lägenhet,1931,[Fredhäll],2295000,535000,2830000,2112,Svensk Fastighetsförmedling,363.06313772065147,Kristineberg
2016-05-12,Frödingsvägen 1,Fredhall,Kungsholmen,2,29,3,Lägenhet,1932,[Kungsholmen],2295000,515000,2810000,1625,Erik Olsson Fastighetsförmedling,183.35534702052703,Kristineberg
2016-05-11,Snoilskyvägen 26,Fredhall,Kungsholmen,5,104,null,Radhus,1935,[Kungsholmen],10900000,300000,11200000,3662,Wrede,424.06803770810905,Kristineberg
2016-05-07,Runiusgatan 7,Fredhall,Kungsholmen,3,78,3,Lägenhet,1931,[Kungsholmen],4995000,280000,5275000,3730,Erik Olsson Fastighetsförmedling,419.9844074461587,Thorildsplan
2016-05-07,Rålambsvägen 52,Fredhall,Kungsholmen,2,45,2,Lägenhet,null,[Kungsholmen],2995000,1005000,4000000,2430,Svenska Mäklarhuset,294.22926985013714,Kristineberg
2016-05-06,Vitalisvägen 5,Fredhall,Kungsholmen,2,38,3,Lägenhet,1931,[Fredhäll],2695000,205000,2900000,2043,Fastighetsmäklarna,310.71675850298726,Kristineberg
2016-05-05,Rålambsvägen 54,Fredhall,Kungsholmen,2,39,3,Lägenhet,1933,[Kungsholmen],2695000,505000,3200000,2238,MOHV,276.2369999120645,Kristineberg
2016-05-04,Rålambsvägen 50,Fredhall,Kungsholmen,1,24.5,2,Lägenhet,1931,[Fredhäll],1895000,555000,2450000,1511,Svensk Fastighetsförmedling,317.8888827853026,Kristineberg
2016-05-04,Runiusgatan 5,Fredhall,Kungsholmen,2,37,1.5,Lägenhet,1931,[Kungsholmen Fredhäll],2495000,555000,3050000,1851,HusmanHagberg,398.99626912134704,Thorildsplan
2016-05-03,Messeniusgatan 6,Fredhall,Kungsholmen,2,31,4,Lägenhet,null,[Kungsholmen],2450000,300000,2750000,2059,SkandiaMäklarna,312.01821262078084,Kristineberg
2016-05-03,Ernst Ahlgrens väg 5,Fredhall,Kungsholmen,2,38,3,Lägenhet,1931,[Kungsholmen],2495000,515000,3010000,2025,Erik Olsson Fastighetsförmedling,276.32951152197666,Kristineberg
2016-04-28,Frödingsvägen 3,Fredhall,Kungsholmen,2,40.5,2,Lägenhet,1933,[Kungsholmen],2795000,505000,3300000,2304,Fastighetsbyrån,202.71701879799602,Kristineberg
2016-04-28,Stagneliusvägen 26,Fredhall,Kungsholmen,1,35,3,Lägenhet,null,[Fredhäll],2275000,575000,2850000,2468,Länsförsäkringar Fastighetsförmedling,468.10516843922983,Thorildsplan
2016-04-27,Orvar Odds väg 2,Fredhall,Kungsholmen,1,24.5,2,Lägenhet,1937,[Kungsholmen],1995000,530000,2525000,1757,Fastighetsbyrån,380.62052693798285,Kristineberg
2016-04-26,Snoilskyvägen 38,Fredhall,Kungsholmen,2,59,1,Lägenhet,1935,[Kungsholmen],3250000,560000,3810000,3522,SkandiaMäklarna,354.4451624832107,Kristineberg
2016-04-26,Vitalisvägen 3,Fredhall,Kungsholmen,2,42,3,Lägenhet,1931,[Kungsholmen],2890000,310000,3200000,2290,Fastighetsbyrån,295.6120724500423,Kristineberg
2016-04-23,Stagneliusvägen 32,Fredhall,Kungsholmen,1.5,38,4,Lägenhet,1939,[Fredhäll],2495000,305000,2800000,2238,Bjurfors,505.84323035260513,Thorildsplan
2016-04-22,Stagneliusvägen 30,Fredhall,Kungsholmen,1,22,3,Lägenhet,1937,[Fredhäll],1850000,400000,2250000,1594,Svensk Fastighetsförmedling,480.47334247579425,Thorildsplan
2016-04-20,Vitalisvägen 13,Fredhall,Kungsholmen,2,61,3,Lägenhet,1931,[Kungsholmen],4150000,-50000,4100000,2815,Erik Olsson Fastighetsförmedling,363.06313772065147,Kristineberg
2016-04-20,Fredhällsgatan 5,Fredhall,Kungsholmen,2,46,null,Lägenhet,1932,[Kungsholmen],2995000,1005000,4000000,2395,Erik Olsson Fastighetsförmedling,215.56428568548765,Kristineberg
2016-04-19,Vitalisvägen 11,Fredhall,Kungsholmen,2,40,2,Lägenhet,1932,[Kungsholmen],2895000,455000,3350000,2132,SkandiaMäklarna,344.6143843002057,Kristineberg
2016-04-18,Atterbomsvägen 38,Fredhall,Kungsholmen,2,43,1.5,Lägenhet,null,[Kungsholmen],3195000,0,3195000,2442,Mäklarringen,592.5949667313577,Kristineberg
2016-04-16,Stagneliusvägen 38,Fredhall,Kungsholmen,2,43,4,Lägenhet,1936,[Kungsholmen Fredhäll],2495000,465000,2960000,2008,Bjurfors,480.96007934203357,Kristineberg
2016-04-15,Stagneliusvägen 43,Fredhall,Kungsholmen,2,58,4,Lägenhet,1937,[Kungsholmen],3495000,1255000,4750000,1210,Mäklarhuset,422.7095023666897,Kristineberg
2016-04-15,Stagneliusvägen 23,Fredhall,Kungsholmen,2,35,3,Lägenhet,1937,[Kungsholmen],2495000,580000,3075000,2468,Mäklarhuset,494.1147474158459,Thorildsplan
2016-04-15,Frödingsvägen 4,Fredhall,Kungsholmen,1,49,1,Lägenhet,1931,[Fredhäll],2695000,505000,3200000,2506,Svensk Fastighetsförmedling,194.83654605320967,Kristineberg
2016-04-15,Ernst Ahlgrens väg 6,Fredhall,Kungsholmen,2,42.5,1.5,Lägenhet,1931,[Kungsholmen],2995000,335000,3330000,2244,Svensk Fastighetsförmedling,247.57837959902147,Kristineberg
2016-04-15,Adlerbethsgatan 15,Fredhall,Kungsholmen,2,34,3,Lägenhet,1931,[Fredhäll],2495000,155000,2650000,1934,Diplomat Fastighetsmäkleri AB,257.1089012640414,Kristineberg
2016-04-14,Stagneliusvägen 43,Fredhall,Kungsholmen,2,58,7,Lägenhet,null,[Kungsholmen],3995000,1025000,5020000,1237,Svenska Mäklarhuset,422.7095023666897,Kristineberg
2016-04-14,Stagneliusvägen 26,Fredhall,Kungsholmen,2,40.5,4,Lägenhet,1937,[Kungsholmen],2650000,485000,3135000,2854,Fastighetsbyrån,468.10516843922983,Thorildsplan
2016-04-14,Orvar Odds väg 51,Fredhall,Kungsholmen,1.5,35,4,Lägenhet,1935,[Kungsholmen],2695000,930000,3625000,2106,Erik Olsson Fastighetsförmedling,366.96771760851937,Kristineberg
2016-04-13,Stagneliusvägen 28,Fredhall,Kungsholmen,2,40.5,1,Lägenhet,1937,[Fredhäll],2795000,735000,3530000,2815,Svensk Fastighetsförmedling,475.00189111957957,Thorildsplan
2016-04-12,Ernst Ahlgrens väg 5,Fredhall,Kungsholmen,2,38,3,Lägenhet,1933,[Kungsholmen Fredhäll],2750000,350000,3100000,2112,HusmanHagberg,276.32951152197666,Kristineberg
