date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Liljeholmsvägen 32-34,Fruangen,RodFruangen,3,72,3,Lägenhet,2015,[Liljeholmen],4650000,-25000,4625000,4289,Diplomat Fastighetsmäkleri AB,93.12748497790162,Liljeholmen
2016-06-20,Vinodlargatan 8,Fruangen,RodFruangen,2,54,6,Lägenhet,2005,[Liljeholmskajen],3895000,-245000,3650000,3732,SkandiaMäklarna,639.4656370466952,Liljeholmen
2016-06-20,Sjöviksvägen 25,Fruangen,RodFruangen,2,49,null,Lägenhet,2013,[Liljeholmskajen],3250000,-255000,2995000,2630,Länsförsäkringar Fastighetsförmedling,410.7908017248736,Liljeholmen
2016-06-17,Sjöviksvägen 76,Fruangen,RodFruangen,2,47,5,Lägenhet,2008,[Liljeholmskajen],2995000,455000,3450000,2993,Mäklarhuset,759.3415297597718,Liljeholmen
2016-06-17,Liljeholmstorget 18,Fruangen,RodFruangen,3,98,4,Lägenhet,2005,[Liljeholmen],4495000,1855000,6350000,4636,Notar,110.23136988914324,Liljeholmen
2016-06-16,Vingårdsgatan 7,Fruangen,RodFruangen,4,96,6,Lägenhet,2005,[Läge],5950000,215000,6165000,5637,Södermäklarna,622.0491462209413,Liljeholmen
2016-06-14,Vingårdsgatan 44,Fruangen,RodFruangen,2,49.5,1,Lägenhet,2003,[Hägersten-Liljeholmen],3195000,405000,3600000,2677,Svensk Fastighetsförmedling,576.8160261726478,Liljeholmen
2016-06-11,Nybohovsbacken 73,Fruangen,RodFruangen,3,71,4,Lägenhet,1961,[Liljeholmen],3495000,105000,3600000,3140,Notar,521.7532351250052,Liljeholmen
2016-06-11,Nybohovsbacken 99,Fruangen,RodFruangen,2,59,10,Lägenhet,1960,[Liljeholmen],3395000,0,3395000,1950,Notar,636.6366860655662,Midsommarkransen
2016-06-10,Årgångsgatan 6,Fruangen,RodFruangen,3,82,2,Lägenhet,2014,[Liljeholmskajen],5395000,-570000,4825000,39685,Diplomat Fastighetsmäkleri AB,851.6317956853345,Liljeholmen
