date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Ronnebyvägen 7,Hammarbyhojden,GronSkarpnack,4,83,1,Lägenhet,null,[Björkhagen],3795000,1205000,5000000,4775,Svenska Mäklarhuset,408.92851382725576,Bjarkhagen
2016-06-20,Skanörvägen 18,Hammarbyhojden,GronSkarpnack,2,58,1,Lägenhet,1948,[Johanneshov],2750000,860000,3610000,3283,Svensk Fastighetsförmedling,195.68587578503022,Bjarkhagen
2016-06-18,Fyrvaktarkroken 48,Hammarbyhojden,GronSkarpnack,3,74.5,4,Lägenhet,2009,[Blåsut],3995000,-145000,3850000,4222,Fastighetsbyrån,155.68335462731164,Blasut
2016-06-17,Hässleholmsvägen 7,Hammarbyhojden,GronSkarpnack,3,71.5,2,Lägenhet,1947,[Johanneshov],3750000,0,3750000,3620,Svensk Fastighetsförmedling,268.485438844928,Bjarkhagen
2016-06-16,Forsskålsgatan 16,Hammarbyhojden,GronSkarpnack,1,20,3,Lägenhet,null,[Hammarbyhöjden],1695000,445000,2140000,1743,Mäklarhuset,465.16069589556696,Skarmarbrink
2016-06-16,Svedalavägen 10,Hammarbyhojden,GronSkarpnack,4,110,1,Lägenhet,2004,[Johanneshov],5975000,775000,6750000,5972,Svensk Fastighetsförmedling,271.9387876278913,Hammarbyhajden
2016-06-16,Malmövägen 10,Hammarbyhojden,GronSkarpnack,1,25,null,Lägenhet,null,[Hammarbyhöjden],1595000,750000,2345000,1247,Svenska Mäklarhuset,220.14121589524765,Hammarbyhajden
2016-06-15,Garagevägen 9,Hammarbyhojden,GronSkarpnack,4,82,3,Lägenhet,1992,[Hammarbyhöjden],3495000,315000,3810000,4291,Mäklarhuset,375.7885608417004,Skarmarbrink
2016-06-15,Hasselquistvägen 27,Hammarbyhojden,GronSkarpnack,2,43,2,Lägenhet,null,[Hammarbyhöjden],2195000,255000,2450000,2745,Hemverket,237.90112725145926,Hammarbyhajden
2016-06-14,Malmövägen 6,Hammarbyhojden,GronSkarpnack,1.5,42,2,Lägenhet,1949,[Johanneshov],2195000,755000,2950000,2094,Svensk Fastighetsförmedling,193.20258823717148,Hammarbyhajden
2016-06-14,Finn Malmgrens väg 8,Hammarbyhojden,GronSkarpnack,3,54,1,Lägenhet,1939,[Hammarbyhöjden],2695000,625000,3320000,3023,Mäklarhuset,352.1557884616635,Hammarbyhajden
2016-06-14,Palandergatan 31,Hammarbyhojden,GronSkarpnack,2,38,3,Lägenhet,1938,[Skärmarbrink],2095000,405000,2500000,2929,Fastighetsbyrån,75.26186830418553,Skarmarbrink
2016-06-14,Thunbergsgatan 20,Hammarbyhojden,GronSkarpnack,2,41,3,Lägenhet,1938,[Johanneshov],2195000,455000,2650000,3163,Svensk Fastighetsförmedling,220.54196778937842,Skarmarbrink
2016-06-13,Vingavägen 3,Hammarbyhojden,GronSkarpnack,2,64,3,Lägenhet,2013,[Blåsut],2995000,290000,3285000,3413,Bjurfors,136.94902354402018,Blasut
2016-06-12,Läckövägen 27,Hammarbyhojden,GronSkarpnack,2,41,3,Lägenhet,1943,[Hammarbyhöjden],2095000,505000,2600000,2419,Bjurfors,395.94571023302314,Hammarbyhajden
2016-06-11,Kalmgatan 43,Hammarbyhojden,GronSkarpnack,2.5,68,2,Lägenhet,1990,[Hammarbyhöjden],2950000,600000,3550000,3978,Bjurfors,606.9642424480572,Skarmarbrink
