date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-20,Högalidsgatan 50B,Hornstull,Sodermalm,1,18,4,Lägenhet,1926,[Södermalm Högalid],1895000,375000,2270000,1165,Bjurfors,258.9110282867312,Hornstull
2016-06-18,Bergsundsgatan 4,Hornstull,Sodermalm,2,36,2,Lägenhet,null,[Södermalm],2695000,455000,3150000,1792,Svenska Mäklarhuset,400.36482992948686,Hornstull
2016-06-18,Långholmsgatan 13A,Hornstull,Sodermalm,1,36,2,Lägenhet,1913,[Södermalm],2650000,400000,3050000,1919,Fantastic Frank Fastighetsmäkleri,144.82870330872703,Hornstull
2016-06-17,Hornsgatan 158C,Hornstull,Sodermalm,2.5,52,1,Lägenhet,1904,[Högalid],4150000,350000,4500000,2542,Svensk Fastighetsförmedling,98.53548041592683,Hornstull
2016-06-17,Heleneborgsgatan 3,Hornstull,Sodermalm,2,53,1,Lägenhet,1912,[Södermalm-Högalid],4350000,50000,4400000,2410,Södermäklarna,467.8145178473814,Hornstull
2016-06-17,Hornsgatan 144B,Hornstull,Sodermalm,1.5,42,2,Lägenhet,1892,[Södermalm],2995000,0,2995000,1694,Eliases Sthlm,331.09077201303114,Hornstull
2016-06-16,Heleneborgsgatan 5C,Hornstull,Sodermalm,2,54,2,Lägenhet,1914,[Hornstull],4250000,50000,4300000,3146,Fastighetsbyrån,451.844645782077,Hornstull
2016-06-16,Hornsgatan 180,Hornstull,Sodermalm,1,30,5,Lägenhet,1883,[Södermalm],2395000,605000,3000000,2249,Notar,110.21882844552376,Hornstull
2016-06-15,Lindvallsplan 4,Hornstull,Sodermalm,1,40,5,Lägenhet,1937,[Hornstull],2795000,355000,3150000,2347,Fastighetsbyrån,326.77775380803666,Hornstull
2016-06-15,Pålsundsgatan 5,Hornstull,Sodermalm,2,64.5,3,Lägenhet,1913,[Högalid],4750000,410000,5160000,3633,Fastighetsbyrån,312.6615499579089,Hornstull
2016-06-09,Folkskolegatan 20,Hornstull,Sodermalm,3,68,3,Lägenhet,1928,[Södermalm],5500000,-500000,5000000,4534,Södermäklarna,204.96797283531222,Hornstull
2016-06-09,Hornsgatan 178,Hornstull,Sodermalm,4,88,2,Lägenhet,1883,[Södermalm],7975000,0,7975000,4489,Länsförsäkringar Fastighetsförmedling,95.28664144675456,Hornstull
2016-06-09,Heleneborgsgatan 30A,Hornstull,Sodermalm,1.5,45,2,Lägenhet,1930,[Hornstull],3395000,405000,3800000,2688,Fastighetsbyrån,454.2781080642335,Hornstull
2016-06-09,Hornsgatan 180,Hornstull,Sodermalm,1,26,null,Lägenhet,1883,[Södermalm],2195000,705000,2900000,1895,Notar,110.21882844552376,Hornstull
2016-06-08,Folkskolegatan 20,Hornstull,Sodermalm,1.5,40,2,Lägenhet,1928,[Hornstull],2595000,245000,2840000,3340,Mäklarhuset,204.96797283531222,Hornstull
2016-06-03,Högalidsgatan 42A,Hornstull,Sodermalm,2.5,70.3,4,Lägenhet,1912,[Södermalm Högalid],4995000,305000,5300000,3313,HusmanHagberg,301.650879514919,Hornstull
2016-06-03,Högalidsgatan 29,Hornstull,Sodermalm,1,23,2,Lägenhet,null,[Södermalm],1975000,445000,2420000,1234,BOSTHLM,369.24661288947414,Hornstull
2016-06-02,Tobaksspinnargatan 10,Hornstull,Sodermalm,2,38,2,Lägenhet,1932,[Södermalm],2995000,505000,3500000,2208,Erik Olsson Fastighetsförmedling,252.14297644655215,Hornstull
2016-06-02,Tobaksspinnargatan 1,Hornstull,Sodermalm,2,57,2,Lägenhet,1930,[Hornstull],3950000,0,3950000,2980,Fastighetsbyrån,309.0319605849012,Hornstull
2016-06-01,Långholmsgatan 7A,Hornstull,Sodermalm,2.5,57,4,Lägenhet,1913,[Södermalm Högalid],4200000,550000,4750000,2667,HusmanHagberg,201.98720671954175,Hornstull
2016-06-01,Hornstulls Strand 1,Hornstull,Sodermalm,1.5,33,5,Lägenhet,1886,[Södermalm],2575000,1095000,3670000,1869,SkandiaMäklarna,200.8956587922645,Hornstull
2016-05-31,Högalidsgatan 38B,Hornstull,Sodermalm,3,97,6,Lägenhet,1913,[Södermalm],9500000,1000000,10500000,4752,Behrer & Partners,324.8381804503267,Hornstull
2016-05-31,Hornsgatan 117,Hornstull,Sodermalm,3,85,3,Lägenhet,1970,[Södermalm-Högalid],4850000,150000,5000000,3939,Södermäklarna,311.0833352733872,Hornstull
2016-05-30,Borgargatan 14,Hornstull,Sodermalm,4,105,7,Lägenhet,1965,[Södermalm],6500000,1500000,8000000,4794,ERA,119.43375060010935,Hornstull
2016-05-28,Högalidsgatan 44A,Hornstull,Sodermalm,2,66.7,1.5,Lägenhet,1913,[Södermalm],4695000,505000,5200000,3202,Fastighetsbyrån,287.91142337679736,Hornstull
2016-05-28,Högalidsgatan 11,Hornstull,Sodermalm,1,31,1,Lägenhet,null,[Södermalm],2475000,0,2475000,1422,Svenska Mäklarhuset,235.23740343289083,Hornstull
2016-05-28,Långholmsgatan 13A,Hornstull,Sodermalm,2,45,4,Lägenhet,1913,[Södermalm Hornstull],3495000,955000,4450000,2404,HusmanHagberg,144.82870330872703,Hornstull
2016-05-27,Tobaksspinnargatan 4,Hornstull,Sodermalm,2,43,null,Lägenhet,1931,[Södermalm Högalid],2995000,145000,3140000,1974,Bjurfors,322.4710614842801,Hornstull
2016-05-27,Folkskolegatan 12,Hornstull,Sodermalm,1.5,28,2,Lägenhet,1929,[Södermalm],2375000,345000,2720000,2324,Innerstadsspecialisten AB,274.881812447403,Hornstull
2016-05-26,Folkskolegatan 6,Hornstull,Sodermalm,1.5,45,2,Lägenhet,1931,[Södermalm],2795000,205000,3000000,3158,Svensk Fastighetsförmedling,339.2784353884451,Hornstull
2016-05-26,Tobaksspinnargatan 6,Hornstull,Sodermalm,1,24,3,Lägenhet,1930,[Södermalm],1995000,520000,2515000,1483,Mäklarcentrum,304.53560117217575,Hornstull
2016-05-26,Slipgatan 5,Hornstull,Sodermalm,1,35,2,Lägenhet,1939,[Södermalm],2790000,360000,3150000,1838,Fastighetsmäklarna,419.11995730175465,Hornstull
2016-05-26,Slipgatan 2,Hornstull,Sodermalm,2,40,3,Lägenhet,1939,[Hornstull],2995000,605000,3600000,2309,Fastighetsbyrån,465.3910468903272,Hornstull
2016-05-26,Tobaksspinnargatan 4,Hornstull,Sodermalm,2,43,0.5,Lägenhet,1931,[Hornstull],2895000,35000,2930000,2039,Mäklarhuset,322.4710614842801,Hornstull
2016-05-25,Hornsgatan 158A,Hornstull,Sodermalm,2,56,2,Lägenhet,1903,[Södermalm],3900000,540000,4440000,2724,Historiska Hem AB,127.72106304505904,Hornstull
2016-05-25,Långholmsgatan 18,Hornstull,Sodermalm,2,45,1,Lägenhet,1912,[Södermalm Hornstull],3950000,-25000,3925000,1558,HusmanHagberg,202.76521274759145,Hornstull
2016-05-24,Högalidsgatan 29,Hornstull,Sodermalm,1,24,3,Lägenhet,1929,[Hornstull],1975000,425000,2400000,1286,Fastighetsbyrån,369.24661288947414,Hornstull
2016-05-22,Högalidsgatan 52B,Hornstull,Sodermalm,1,34,1,Lägenhet,1911,[Södermalm Högalid],2350000,400000,2750000,1772,Bjurfors,282.08866222433113,Hornstull
2016-05-20,Långholmsgatan 9D,Hornstull,Sodermalm,1,36,2,Lägenhet,1913,[Södermalm-Högalid],2395000,365000,2760000,2157,Södermäklarna,170.4972003458154,Hornstull
2016-05-20,Folkskolegatan 22A,Hornstull,Sodermalm,3,69,5,Lägenhet,1930,[Högalid Södermalm],5150000,0,5150000,3686,HusmanHagberg,184.57686519851103,Hornstull
2016-05-20,Folkskolegatan 20,Hornstull,Sodermalm,1,25,5,Lägenhet,1928,[Södermalm-Högalid],1995000,80000,2075000,2228,Södermäklarna,204.96797283531222,Hornstull
2016-05-20,Tobaksspinnargatan 4,Hornstull,Sodermalm,3,98,2,Lägenhet,1931,[Södermalm],null,NaN,7220000,3585,Länsförsäkringar Fastighetsförmedling,322.4710614842801,Hornstull
2016-05-19,Högalidsgatan 34C,Hornstull,Sodermalm,1,33,null,Lägenhet,1914,[Södermalm Hornstull],2225000,505000,2730000,1288,HusmanHagberg,383.359942163526,Hornstull
2016-05-19,Tobaksspinnargatan 10,Hornstull,Sodermalm,1,28,5,Lägenhet,1932,[Hornstull],2050000,630000,2680000,1778,Fastighetsbyrån,252.14297644655215,Hornstull
2016-05-19,Hornsgatan 107,Hornstull,Sodermalm,1.5,33,1,Lägenhet,1967,[Högalid],1995000,625000,2620000,1444,Fastighetsbyrån,432.19390922246805,Hornstull
2016-05-19,Högalidsgatan 48C,Hornstull,Sodermalm,2,63,1,Lägenhet,1912,[Södermalm Högalid],4495000,505000,5000000,2706,Bjurfors,284.577960007152,Hornstull
2016-05-18,Folkskolegatan 12,Hornstull,Sodermalm,2,48,1,Lägenhet,1929,[Hornstull],2995000,205000,3200000,3700,Fastighetsbyrån,274.881812447403,Hornstull
2016-05-17,Bergsundsgatan 13,Hornstull,Sodermalm,2,37,5,Lägenhet,1930,[Södermalm],2995000,1005000,4000000,2445,Notar,303.78383785214123,Hornstull
2016-05-16,Bergsundsgatan 15,Hornstull,Sodermalm,2,49,1.5,Lägenhet,null,[Södermalm],3895000,405000,4300000,2153,BOSTHLM,290.3929216453168,Hornstull
2016-05-14,Folkskolegatan 22B,Hornstull,Sodermalm,3,64,1,Lägenhet,1930,[Södermalm Högalid],4500000,800000,5300000,3344,Bjurfors,178.5199459256006,Hornstull
2016-05-14,Bergsunds Strand 15,Hornstull,Sodermalm,1,33,2,Lägenhet,1939,[Södermalm],2475000,355000,2830000,2440,Länsförsäkringar Fastighetsförmedling,412.1074355778377,Hornstull
2016-05-12,Borgargatan 18,Hornstull,Sodermalm,1,25.5,1,Lägenhet,null,[Södermalm],1995000,635000,2630000,1170,Svenska Mäklarhuset,87.95774808950262,Hornstull
2016-05-12,Hornstulls Strand 1,Hornstull,Sodermalm,3,77,4,Lägenhet,1886,[Södermalm Högalid],6195000,1680000,7875000,4162,Bjurfors,200.8956587922645,Hornstull
2016-05-11,Hornsgatan 151,Hornstull,Sodermalm,1,27,1,Lägenhet,1931,[Södermalm Hornstull Högalid],1975000,575000,2550000,1482,HusmanHagberg,127.10582806548898,Hornstull
2016-05-11,Drakenbergsgatan 8,Hornstull,Sodermalm,1,37,1,Lägenhet,1969,[Södermalm],2350000,275000,2625000,1619,SkandiaMäklarna,453.145596108398,Hornstull
2016-05-11,Bergsundsgatan 14,Hornstull,Sodermalm,1,26,3,Lägenhet,1939,[Högalid],1995000,655000,2650000,1753,Fastighetsbyrån,327.31011045959644,Hornstull
2016-05-11,Pålsundsparken 12,Hornstull,Sodermalm,3.5,68,null,Lägenhet,1913,[Högalid],5500000,600000,6100000,3080,Fastighetsbyrån,543.5734559470101,Hornstull
2016-05-11,Heleneborgsgatan 15B,Hornstull,Sodermalm,2,66,1,Lägenhet,1911,[Södermalm],3950000,450000,4400000,4006,Erik Olsson Fastighetsförmedling,360.8966104301727,Hornstull
2016-05-10,Slipgatan 9,Hornstull,Sodermalm,1,32,2,Lägenhet,1939,[Högalid],2250000,710000,2960000,1990,Svensk Fastighetsförmedling,395.0019277952048,Hornstull
2016-05-09,Hornsgatan 117,Hornstull,Sodermalm,2,49,0,Lägenhet,1970,[Söddermalm],3150000,320000,3470000,2271,Mäklarhuset,311.0833352733872,Hornstull
2016-05-08,Högalidsgatan 42A,Hornstull,Sodermalm,2,48,2,Lägenhet,1913,[Södermalm-Högalid],3750000,530000,4280000,2360,Södermäklarna,301.650879514919,Hornstull
2016-05-07,Hornsgatan 141C,Hornstull,Sodermalm,3,86,5,Lägenhet,2010,[Södermalm-Högalid],6800000,0,6800000,4738,Södermäklarna,99.78084229818869,Hornstull
2016-05-06,Verkstadsgatan 11,Hornstull,Sodermalm,2,43,2,Lägenhet,1931,[Hornstull],2995000,705000,3700000,2243,Notar,285.8401790038421,Hornstull
2016-05-06,Bergsundsgatan 7,Hornstull,Sodermalm,1,31,3,Lägenhet,1932,[Södermalm],2250000,500000,2750000,2262,Notar,363.4591242238317,Hornstull
2016-05-06,Lignagatan 7,Hornstull,Sodermalm,4,92,4,Lägenhet,1970,[Södermalm-Högalid-Tanto],5350000,575000,5925000,3376,Södermäklarna,201.082631943649,Hornstull
2016-05-05,Bergsundsgatan 12,Hornstull,Sodermalm,2,36.1,2,Lägenhet,1938,[Södermalm],2750000,580000,3330000,2027,Erik Olsson Fastighetsförmedling,337.00815382005914,Hornstull
2016-05-04,Slipgatan 9,Hornstull,Sodermalm,2,38,3,Lägenhet,1939,[Södermalm Högalid],2995000,285000,3280000,2394,Bjurfors,395.0019277952048,Hornstull
2016-05-04,Högalidsgatan 11,Hornstull,Sodermalm,1,35,2,Lägenhet,1910,[Södermalm Hornstull],2495000,455000,2950000,1895,HusmanHagberg,235.23740343289083,Hornstull
2016-05-04,Kristinehovsgatan 5A,Hornstull,Sodermalm,1,25,2,Lägenhet,1941,[Högalid],1995000,480000,2475000,1578,Fastighetsbyrån,463.23818207195086,Zinkensdamm
2016-05-04,Folkskolegatan 4,Hornstull,Sodermalm,1.5,54,2,Lägenhet,1934,[Södermalm Hornstull],3250000,370000,3620000,2799,HusmanHagberg,355.050949609713,Hornstull
2016-05-04,Långholmsgatan 7A,Hornstull,Sodermalm,2,57,1,Lägenhet,1913,[Ög],3975000,0,3975000,2667,SkandiaMäklarna,201.98720671954175,Hornstull
2016-05-03,Folkskolegatan 4,Hornstull,Sodermalm,2,43,5,Lägenhet,1934,[Södermalm Högalid],3425000,1025000,4450000,2551,HusmanHagberg,355.050949609713,Hornstull
2016-05-03,Borgargatan 2,Hornstull,Sodermalm,1,27,0.5,Lägenhet,1910,[Södermalm Hornstull],1975000,600000,2575000,1390,HusmanHagberg,230.57782133573573,Hornstull
2016-05-03,Heleneborgsgatan 20,Hornstull,Sodermalm,2,36,3,Lägenhet,1935,[Hornstull],2750000,620000,3370000,1978,Fastighetsbyrån,498.39483490866644,Hornstull
2016-05-03,Hornstulls Strand 1,Hornstull,Sodermalm,3,76,2,Lägenhet,1886,[Hornstull],6195000,1405000,7600000,4162,Fastighetsbyrån,200.8956587922645,Hornstull
2016-05-03,Bergsunds Strand 38,Hornstull,Sodermalm,2,47,2,Lägenhet,1971,[Högalid],2995000,805000,3800000,2232,Svensk Fastighetsförmedling,147.65784209639023,Hornstull
2016-04-29,Drakenbergsgatan 8,Hornstull,Sodermalm,4,85,3,Lägenhet,1967,[Södermalm],4795000,325000,5120000,3719,SkandiaMäklarna,453.145596108398,Hornstull
2016-04-29,Heleneborgsgatan 19,Hornstull,Sodermalm,2,45,5,Lägenhet,1926,[Högalid],2895000,630000,3525000,1838,Fastighetsbyrån,334.44458670599954,Hornstull
2016-04-28,Tobaksspinnargatan 1,Hornstull,Sodermalm,1,36,0.5,Lägenhet,1930,[Högalid],2495000,355000,2850000,2022,Fastighetsbyrån,309.0319605849012,Hornstull
