date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2014-11-12,Sjöviksbacken 4,Liljeholmen,RodFruangen,3,71,2,Lägenhet,2006,[Liljeholmskajen],3595000,125000,3720000,4518,Fastighetsbyrån,703.5510719091101,Liljeholmen
2014-11-12,Liljeholmstorget 92,Liljeholmen,RodFruangen,1,34,1,Lägenhet,2003,[Liljeholmen],2095000,455000,2550000,1846,Notar,29.889261992847732,Liljeholmen
2014-11-08,Buteljgatan 30,Liljeholmen,RodFruangen,2,54,2,Lägenhet,2011,[Liljeholmen],3200000,670000,3870000,3043,Erik Olsson Fastighetsförmedling,458.2361593214377,Liljeholmen
2014-10-31,Nybohovsgränd 32,Liljeholmen,RodFruangen,3,76,4,Lägenhet,1962,[Liljeholmen],2995000,305000,3300000,3185,MäklarMäster,395.8010074342307,Liljeholmen
2014-10-30,Sturehillsvägen 46,Liljeholmen,RodFruangen,3,85,3,Lägenhet,2009,[Liljeholmskajen],3995000,505000,4500000,4624,Svenska Mäklarhuset,925.558184249212,Liljeholmen
2014-10-30,Marieviksgatan 45,Liljeholmen,RodFruangen,2,54,2,Lägenhet,2013,[Liljeholmskajen],3195000,0,3195000,2786,Södermäklarna,385.7372772112591,Liljeholmen
2014-10-30,Karaffgatan 5,Liljeholmen,RodFruangen,4,96,7,Lägenhet,2011,[Liljeholmskajen],6495000,180000,6675000,4598,SkandiaMäklarna,437.54826897498475,Liljeholmen
2014-10-29,Marieviksgatan 41,Liljeholmen,RodFruangen,2,46,6,Lägenhet,2011,[Liljeholmskajen],2695000,5000,2700000,3041,SkandiaMäklarna,378.5892216532709,Liljeholmen
2014-10-29,Marieviksgatan 43,Liljeholmen,RodFruangen,2,54,6,Lägenhet,2012,[Liljeholmskajen],3295000,0,3295000,3341,Notar,378.8254575788057,Liljeholmen
2014-10-29,Fredsborgsgatan 1,Liljeholmen,RodFruangen,3,81,6,Lägenhet,2009,[Liljeholmskajen],3995000,450000,4445000,5219,Erik Olsson Fastighetsförmedling,483.9950069559268,Liljeholmen
2014-10-28,Sjöviksvägen 76,Liljeholmen,RodFruangen,2,41,7,Lägenhet,null,[Liljeholmskajen],2395000,495000,2890000,2918,Svensk Fastighetsförmedling,759.3415297597718,Liljeholmen
2014-10-28,Hildebergsvägen 2,Liljeholmen,RodFruangen,3,76.5,null,Lägenhet,2006,[Liljeholmskajen],3495000,430000,3925000,4784,Södermäklarna,927.5492796658177,Liljeholmen
2014-10-28,Grönbrinksgatan 10,Liljeholmen,RodFruangen,4,96,null,Lägenhet,2009,[Liljeholmskajen],4695000,405000,5100000,5966,Södermäklarna,509.5895609048986,Liljeholmen
2014-10-27,Sturehillsvägen 42,Liljeholmen,RodFruangen,3,81,4,Lägenhet,2009,[Liljeholmskajen],3995000,-620000,3375000,4473,Södermäklarna,928.7812055685641,Liljeholmen
2014-10-24,Sjöviksbacken 15,Liljeholmen,RodFruangen,5,112,4,Lägenhet,2008,[Liljeholmskajen],4875000,300000,5175000,5913,Mäklarhuset,741.3772871824696,Liljeholmen
2014-10-24,Grönbrinksgatan 6,Liljeholmen,RodFruangen,2,58,4,Lägenhet,2009,[Liljeholmskajen],2995000,765000,3760000,4122,Södermäklarna,512.6685850684081,Liljeholmen
2014-10-23,Sjöviksvägen 34,Liljeholmen,RodFruangen,4,104.5,6,Lägenhet,2003,[Liljeholmskajen],5150000,300000,5450000,5203,Mäklarhuset,540.9559620214714,Liljeholmen
2014-10-22,Vingårdsgatan 5,Liljeholmen,RodFruangen,3,73,2,Lägenhet,2005,[Liljeholmskajen],3750000,590000,4340000,4537,SkandiaMäklarna,593.7021091334869,Liljeholmen
2014-10-22,Nybohovsbacken 68,Liljeholmen,RodFruangen,3,66,6,Lägenhet,2008,[Liljeholmen],3350000,145000,3495000,4453,Notar,637.4075447466053,Liljeholmen
2014-10-21,Vinodlargatan 11,Liljeholmen,RodFruangen,3,84.5,3,Villa,2007,[Liljeholmskajen],3990000,635000,4625000,null,Mäklarhuset,656.0448322271108,Liljeholmen
2014-10-20,Nybohovsgränd 26B,Liljeholmen,RodFruangen,2,57,null,Lägenhet,1960,[Liljeholmen],2495000,155000,2650000,2389,BOSTHLM,454.0227180646142,Liljeholmen
2014-10-18,Hildebergsvägen 6,Liljeholmen,RodFruangen,2,52.5,4,Lägenhet,2006,[Liljeholmen],2795000,0,2795000,3644,Södermäklarna,886.9576965192165,Liljeholmen
2014-10-16,Liljeholmsvägen 10,Liljeholmen,RodFruangen,4,117,4,Lägenhet,1915,[Liljeholmen],4995000,975000,5970000,5574,Notar,356.4109313994759,Liljeholmen
2014-10-16,Nybohovsgränd 42,Liljeholmen,RodFruangen,3,78,null,Lägenhet,1962,[Liljeholmen],2995000,125000,3120000,3263,MäklarMäster,389.4986320779583,Liljeholmen
2014-10-16,Sturehillsvägen 37,Liljeholmen,RodFruangen,3,79,5,Lägenhet,2009,[Liljeholmskajen],3995000,905000,4900000,4398,Länsförsäkringar Fastighetsförmedling,925.558184249212,Liljeholmen
2014-10-15,Nybodaringen 9,Liljeholmen,RodFruangen,4,90.5,2,Radhus,1998,[Liljeholmen],3975000,-325000,3650000,5928,Fantastic Frank Fastighetsmäkleri,578.2254153658331,Midsommarkransen
2014-10-15,Marieviksgatan 48,Liljeholmen,RodFruangen,4,89,4,Lägenhet,2010,[Liljeholmskajen],4295000,555000,4850000,4879,SkandiaMäklarna,359.80555174292886,Liljeholmen
2014-10-10,Liljeholmstorget 52,Liljeholmen,RodFruangen,3,86,null,Lägenhet,2004,[Liljeholmen],4295000,855000,5150000,4075,Notar,52.79538058676033,Liljeholmen
2014-10-09,Sturehillsvägen 39,Liljeholmen,RodFruangen,3,89,null,Lägenhet,2009,[Liljeholmskajen],3250000,480000,3730000,4774,Mäklarhuset,925.558184249212,Liljeholmen
2014-10-09,Nybohovsbacken 83,Liljeholmen,RodFruangen,4,97,5,Lägenhet,1960,[Liljeholmen],3795000,255000,4050000,3205,Notar,612.6497248221557,Liljeholmen
2014-10-08,Nybohovsbacken 61,Liljeholmen,RodFruangen,3,71,5,Lägenhet,1962,[Liljeholmen],2975000,315000,3290000,3459,MäklarMäster,492.1062886685474,Liljeholmen
2014-10-08,Fredsborgsgatan 3,Liljeholmen,RodFruangen,5,143,1,Lägenhet,2009,[Liljeholmskajen],4975000,475000,5450000,8025,Erik Olsson Fastighetsförmedling,494.6471131999048,Liljeholmen
2014-10-07,Buteljgatan 24,Liljeholmen,RodFruangen,2,45,3,Lägenhet,2011,[Liljeholmskajen],2750000,250000,3000000,2963,HusmanHagberg,404.388399185854,Liljeholmen
2014-10-03,Nybodaringen 39,Liljeholmen,RodFruangen,2,46,3,Lägenhet,null,[Liljeholmen],1895000,5000,1900000,3531,Svensk Fastighetsförmedling,568.1152955395955,Midsommarkransen
2014-10-02,Hildebergsvägen 4,Liljeholmen,RodFruangen,4,95,4,Lägenhet,2006,[Liljeholmskajen],4195000,630000,4825000,5286,Estate Fastighetsbyrå AB,913.9921808281197,Liljeholmen
2014-10-02,Nybohovsbacken 21,Liljeholmen,RodFruangen,2,58,13,Lägenhet,1962,[Liljeholmen],2795000,525000,3320000,3128,Notar,204.5976300783123,Liljeholmen
2014-09-30,Vingårdsgatan 48,Liljeholmen,RodFruangen,3,77,1,Lägenhet,2003,[Liljeholmskajen],3800000,0,3800000,4203,SkandiaMäklarna,620.9198264188736,Liljeholmen
2014-09-29,Nybohovsgränd 13,Liljeholmen,RodFruangen,4,80,1,Lägenhet,1962,[Nybohovsbacken],3395000,200000,3595000,3352,Svenska Mäklarhuset,311.7441017729773,Liljeholmen
2014-09-28,Nybodaringen 107,Liljeholmen,RodFruangen,4,95,2,Lägenhet,1998,[Nybodaringen],3700000,200000,3900000,6085,Södermäklarna,780.3050960681724,Liljeholmen
2014-09-27,Marieviksgatan 41,Liljeholmen,RodFruangen,3,76,5,Lägenhet,2012,[Liljeholmskajen],3995000,405000,4400000,4228,Södermäklarna,378.5892216532709,Liljeholmen
2014-09-26,Liljeholmstorget 84,Liljeholmen,RodFruangen,2,71,1,Lägenhet,2003,[Liljeholmen],3395000,615000,4010000,2994,Notar,21.004220622902924,Liljeholmen
