date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-19,Eolshällsvägen 7,Malarhojden,RodNorsborg,null,105,null,Villa,null,[Mälarhöjden],8995000,105000,9100000,null,Södermäklarna,639.7911137497524,Axelsberg
2016-06-17,Båtsmanskroken 38,Malarhojden,RodNorsborg,6,160,null,Villa,1946,[Mälarhöjden],14995000,-195000,14800000,null,Länsförsäkringar Fastighetsförmedling,947.5936899071232,Malarhajden
2016-06-17,Hjortsbergsvägen 72,Malarhojden,RodNorsborg,7,165,null,Villa,1939,[Mälarhöjden],7950000,900000,8850000,null,SkandiaMäklarna,503.11798775202175,Axelsberg
2016-06-09,Slättgårdsvägen 105A,Malarhojden,RodNorsborg,3,67,null,Lägenhet,1989,[Mälarhöjden],1985000,655000,2640000,3149,Mäklarhuset,916.6958778403193,Fruangen
2016-06-09,Hägerstensvägen 247,Malarhojden,RodNorsborg,5,125,null,Villa,null,[Mälarhöjden],8000000,575000,8575000,null,Södermäklarna,113.6518962524971,Axelsberg
2016-06-09,Brådstupsvägen 15,Malarhojden,RodNorsborg,2,50,null,Lägenhet,1943,[Mälarhöjden],2495000,0,2495000,2583,Länsförsäkringar Fastighetsförmedling,382.42148334458585,Malarhajden
2016-06-03,Mälarhöjdsvägen 29,Malarhojden,RodNorsborg,5,90,null,Villa,1958,[Mälarhöjden],7675000,850000,8525000,null,Mäklarringen,395.8879586818914,Malarhajden
2016-06-02,Brådstupsvägen 15,Malarhojden,RodNorsborg,2,50,2,Lägenhet,1944,[Mälarhöjden],3400000,-605000,2795000,2583,Länsförsäkringar Fastighetsförmedling,382.42148334458585,Malarhajden
2016-06-02,Klubbacken 39,Malarhojden,RodNorsborg,1,25,4,Lägenhet,1944,[Mälarhöjden],2280000,0,2280000,1460,BOSTHLM,558.3900806545316,Malarhajden
2016-05-28,Sankt Mickelsgatan 82,Malarhojden,RodNorsborg,7,149,null,Villa,1927,[Mälarhöjden],8975000,-250000,8725000,null,SkandiaMäklarna,599.1081982982885,Axelsberg
2016-05-27,Hägerstensbrinken 58,Malarhojden,RodNorsborg,7,171,null,Radhus,1969,[Mälarhöjden],7950000,1050000,9000000,null,Fastighetsbyrån,274.12651898788175,Axelsberg
2016-05-26,Slättgårdsvägen 105,Malarhojden,RodNorsborg,3,68,3,Lägenhet,1989,[Mälarhöjden],2475000,145000,2620000,3212,Södermäklarna,918.1060753524949,Fruangen
2016-05-20,Hökarvägen 21,Malarhojden,RodNorsborg,6,146,null,Villa,1922,[Mälarhöjden],8700000,0,8700000,null,Mäklarringen,238.81812401676095,Malarhajden
