date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-19,Brännkyrkagatan 38A,Maria,Sodermalm,6,159,2,Lägenhet,1750,[Maria],10880000,120000,11000000,6216,Fastighetsbyrån,288.05229324219005,Mariatorget
2016-06-17,Wollmar Yxkullsgatan 10,Maria,Sodermalm,3,77,3,Lägenhet,1927,[Södermalm],5995000,905000,6900000,2523,Fastighetsbyrån,31.74593334822444,Mariatorget
2016-06-17,Bengt Ekehjelmsgatan 13,Maria,Sodermalm,1,39,null,Lägenhet,1906,[Maria],2750000,0,2750000,2153,Notar,258.77734900391766,Mariatorget
2016-06-17,Västgötagränd 3,Maria,Sodermalm,3.5,83.5,2,Lägenhet,1991,[Maria],4995000,155000,5150000,5074,Svensk Fastighetsförmedling,279.8988971766121,Medborgarplatsen
2016-06-16,Fatburs Brunnsgata 29,Maria,Sodermalm,4,null,4,Lägenhet,1991,[Södermalm-Maria],4850000,-100000,4750000,5139,Södermäklarna,320.4013187304479,Medborgarplatsen
2016-06-15,Hornsgatan 45,Maria,Sodermalm,3,96,5,Lägenhet,1907,[Södermalm],7550000,860000,8410000,3528,Svensk Fastighetsförmedling,312.4518151002051,Mariatorget
2016-06-15,Mariatorget 4,Maria,Sodermalm,3,100,2,Lägenhet,1896,[Maria],8995000,1365000,10360000,4258,Svensk Fastighetsförmedling,165.88408553505224,Mariatorget
2016-06-14,Maria Prästgårdsgata 22,Maria,Sodermalm,1,46,null,Lägenhet,1882,[Södermalm],3950000,1320000,5270000,2278,Erik Olsson Fastighetsförmedling,98.97683113348086,Mariatorget
2016-06-10,Fatburs Kvarngata 16,Maria,Sodermalm,1.5,46,2,Lägenhet,1994,[Maria],2895000,0,2895000,2891,Fastighetsbyrån,509.89291377664733,Mariatorget
2016-06-10,Hornsgatan 33A,Maria,Sodermalm,4,111,1,Lägenhet,1907,[Södermalm],9500000,-640000,8860000,2319,MOHV,203.6240596157674,Mariatorget
