date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-17,Ekevägen 6B,Marieberg,Kungsholmen,3,81,3,Lägenhet,2011,[Adolfsberg],1795000,65000,1860000,2977,Fastighetsbyrån,150999.80521729172,Norsborg
2016-06-02,Anhaltsvägen 9,Marieberg,Kungsholmen,3,100,null,Villa,1939,[Marieberg],1695000,5000,1700000,null,Fastighetsbyrån,150578.09825270492,Norsborg
2016-05-31,Mariebergsvägen 15,Marieberg,Kungsholmen,6,145,null,Villa,1922,[Marieberg],3695000,160000,3855000,null,Länsförsäkringar Fastighetsförmedling,151496.52508751335,Norsborg
2016-05-26,Marieberg 208,Marieberg,Kungsholmen,6,222,null,Gård,2011,[Marieberg],5250000,1350000,6600000,null,Fastighetsbyrån,151572.3018719655,Norsborg
2016-05-23,Lars-Pettravägen 19,Marieberg,Kungsholmen,5,122,null,Villa,2016,[Drottningholm],3895000,0,3895000,null,Länsförsäkringar Fastighetsförmedling,151276.772988793,Norsborg
2016-05-21,Skogstorpsvägen 4H,Marieberg,Kungsholmen,2,68,1,Lägenhet,2011,[Adolfsberg],1245000,255000,1500000,4864,Fastighetsbyrån,151243.84615377357,Norsborg
2016-05-20,Norra Belltorpsvägen 13,Marieberg,Kungsholmen,5,196,null,Villa,2016,[Adolfsberg-Södra Lindhult],5995000,105000,6100000,null,Svensk Fastighetsförmedling,151317.77051095408,Norsborg
2016-05-20,Första Tvärgatan 26,Marieberg,Kungsholmen,7,146,null,Villa,1988,[Marieberg],3495000,335000,3830000,null,Fastighetsbyrån,151355.4105668498,Norsborg
2016-05-13,Kristinebergsvägen 3G,Marieberg,Kungsholmen,3,88,2,Lägenhet,null,[Marieberg],995000,90000,1085000,4638,SkandiaMäklarna,151461.55980001856,Norsborg
2016-05-02,Torkels väg 21,Marieberg,Kungsholmen,5,135,null,Villa,1928,[Marieberg],2195000,625000,2820000,null,Mäklarhuset,150663.67295636938,Norsborg
2016-04-27,Lindhultsvägen 12,Marieberg,Kungsholmen,5,128,null,Villa,1992,[Södra Lindhult],3995000,205000,4200000,null,SkandiaMäklarna,150911.29867485963,Norsborg
2016-04-22,Lektorpsvägen 27,Marieberg,Kungsholmen,6,142,null,Villa,1992,[Adolfsberg],3895000,-495000,3400000,null,Fastighetsbyrån,151228.52940191756,Norsborg
2016-04-15,Södra Belltorpsvägen 9,Marieberg,Kungsholmen,6,160,null,Villa,2013,[Adolfsberg],5195000,205000,5400000,null,Länsförsäkringar Fastighetsförmedling,151292.24675542404,Norsborg
2016-04-13,Norra Belltorpsvägen 14D,Marieberg,Kungsholmen,3,80,null,Radhus,2015,[Adolfsberg],1695000,85000,1780000,5134,Fastighetsbyrån,151259.05320564666,Norsborg
2016-03-13,Steneborgsvägen 14,Marieberg,Kungsholmen,6,198,null,Villa,2009,[Marieberg],4695000,155000,4850000,null,Notar,151086.27857639792,Norsborg
