date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Rosengatan 5,Norrmalm,City,5,128,2,Lägenhet,1949,[Vasastan],8950000,175000,9125000,6374,Innerstadsspecialisten AB,180.35880096248385,Radmansgatan
2016-06-17,Olof Palmes gata 12,Norrmalm,City,2,39,5,Lägenhet,1939,[Norrmalm],3495000,55000,3550000,1877,Edward & Partners Fastighetsmäklare AB,146.9748037984485,Hotorget
2016-06-16,Snickarbacken 5,Norrmalm,City,2,53,3,Lägenhet,null,[Norrmalm],4695000,1355000,6050000,2790,Svenska Mäklarhuset,403.8597675346949,Hotorget
2016-06-15,Kammakargatan 18,Norrmalm,City,2,47,1,Lägenhet,1940,[Norrmalm],3500000,0,3500000,3291,Vision Fastighetsmäkleri AB,218.79963823901562,Radmansgatan
2016-06-07,Regeringsgatan 85A,Norrmalm,City,4,106,4,Lägenhet,1929,[Vasastan],7500000,400000,7900000,3139,SkandiaMäklarna,318.3695150376002,Hotorget
2016-06-03,Tegnérgatan 9,Norrmalm,City,2,52,3,Lägenhet,1890,[Vasastan],4675000,355000,5030000,1946,Fastighetsbyrån,253.059867881823,Radmansgatan
2016-06-03,Regeringsgatan 83,Norrmalm,City,3,86,null,Lägenhet,1891,[Norrmalm],7475000,0,7475000,4462,Bostadsrättsspecialisten,301.8906352323524,Hotorget
2016-06-02,Luntmakargatan 36,Norrmalm,City,2,51,3,Lägenhet,1939,[Centrum Norrmalm Vasastan],4175000,0,4175000,2474,HusmanHagberg,252.23528883306284,Radmansgatan
2016-06-01,Dalagatan 8,Norrmalm,City,1,29,4,Lägenhet,1928,[Vasastan],2395000,355000,2750000,1513,Fastighetsbyrån,623.2795538800169,Radmansgatan
2016-06-01,Tegnerlunden 9,Norrmalm,City,5.5,153,4,Lägenhet,1914,[Norrmalm],16500000,500000,17000000,3132,Per Jansson Fastighetsförmedling,400.3272117510313,Radmansgatan
2016-05-31,Drottninghusgränd 2,Norrmalm,City,3,82,3,Lägenhet,1884,[Norrmalm],6995000,805000,7800000,3270,Fastighetsmäklarna,392.7280355274429,Hotorget
2016-05-31,Tegnérgatan 55A,Norrmalm,City,2,30,6,Lägenhet,null,[Vasastan],3300000,650000,3950000,2089,BOSTHLM,576.780779244409,Radmansgatan
2016-05-30,David Bagares gata 26B,Norrmalm,City,2,60,2,Lägenhet,1882,[Norrmalm],4250000,950000,5200000,2876,Behrer & Partners,236.86188886191678,Hotorget
2016-05-30,Regeringsgatan 95,Norrmalm,City,2,36,2,Lägenhet,1884,[Norrmalm],3450000,525000,3975000,1701,ERA,406.9640964738866,Hotorget
2016-05-28,Regeringsgatan 70E,Norrmalm,City,2,57,4,Lägenhet,1982,[Norrmalm],4975000,0,4975000,2741,Strindberg Mäkleri,373.7511743751428,Ostermalmstorg
2016-05-27,Döbelnsgatan 13,Norrmalm,City,2,51,1,Lägenhet,null,[Vasastan],5100000,-90000,5010000,2496,BOSTHLM,264.15566843713896,Radmansgatan
2016-05-26,Olof Palmes gata 14,Norrmalm,City,4,106,4,Lägenhet,1986,[Vasastan],7995000,1505000,9500000,4103,Fastighetsbyrån,161.09260862798197,Hotorget
2016-05-25,Blekholmsterrassen 3,Norrmalm,City,3,68,7,Lägenhet,null,[Norrmalm],4500000,700000,5200000,5231,Hans Göthe Fastighetsbyrå AB,376.22126680821185,T-Centralen
2016-05-23,Luntmakargatan 36,Norrmalm,City,1.5,50,4,Lägenhet,1939,[Centrum],3875000,225000,4100000,2474,Mäklarhuset,252.23528883306284,Radmansgatan
2016-05-23,Sveavägen 35,Norrmalm,City,2,49,6,Lägenhet,1929,[Norrmalm],3995000,930000,4925000,null,Erik Olsson Fastighetsförmedling,93.85293983548164,Hotorget
