date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Banérgatan 41,Ostermalm,City,2,41,5,Lägenhet,1924,[Östermalm],4100000,335000,4435000,1560,Fastighetsbyrån,282.0496206834908,Karlaplan
2016-06-21,Birger Jarlsgatan 104E,Ostermalm,City,1,26,0,Lägenhet,1928,[Östermalm],2295000,305000,2600000,2040,Fastighetsbyrån,552.0030751531222,Tekniska hagskolan
2016-06-20,Nybrogatan 73A,Ostermalm,City,2,61,2,Lägenhet,1882,[Östermalm],5475000,375000,5850000,1197,Bostadsrättsspecialisten,297.5829729703483,Stadion
2016-06-20,Sibyllegatan 54,Ostermalm,City,3,89,2,Lägenhet,1969,[Östermalm],5995000,805000,6800000,3412,Alexander White Fastighetsmäkleri,229.84778082954884,Stadion
2016-06-18,Surbrunnsgatan 5,Ostermalm,City,2,60,3,Lägenhet,1897,[Östermalm],5195000,105000,5300000,2213,Fastighetsbyrån,431.55741739064774,Tekniska hagskolan
2016-06-18,Banérgatan 44,Ostermalm,City,1,25,5,Lägenhet,1939,[Östermalm],2495000,255000,2750000,955,Notar,324.03700026559153,Karlaplan
2016-06-17,Torstenssonsgatan 15,Ostermalm,City,4,118,0.5,Lägenhet,1891,[Östermalm],11600000,200000,11800000,2194,Fastighetsbyrån,547.830636232563,Karlaplan
2016-06-17,Sturegatan 44A,Ostermalm,City,5,117,4,Lägenhet,null,[Östermalm],9950000,-450000,9500000,4144,Karlsson & Uddare,339.28077671046594,Stadion
2016-06-17,Birger Jarlsgatan 104M,Ostermalm,City,1,32,4,Lägenhet,1928,[Östermalm],3000000,-150000,2850000,2349,Länsförsäkringar Fastighetsförmedling,559.9222313663574,Tekniska hagskolan
2016-06-17,Linnegatan 83,Ostermalm,City,3,88,0.5,Lägenhet,1900,[Östermalm],7495000,5000,7500000,2335,Fastighetsbyrån,357.53796011259715,Karlaplan
2016-06-17,Artillerigatan 26A,Ostermalm,City,3,63,0,Lägenhet,1908,[Ög],4900000,330000,5230000,null,Per Jansson Fastighetsförmedling,428.11655456866146,Ostermalmstorg
2016-06-16,Valhallavägen 22B,Ostermalm,City,2,56,4,Lägenhet,1911,[Vasastan Östermalm],4275000,275000,4550000,2887,HusmanHagberg,565.6876061858662,Tekniska hagskolan
