date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Vinggatan 20,Skarpnack,GronSkarpnack,2,63.5,1,Lägenhet,1986,[Skarpnäck],1895000,65000,1960000,4006,HusmanHagberg,631.1867883391443,Skarpnack
2016-06-17,Horisontvägen 91,Skarpnack,GronSkarpnack,3,80,5,Lägenhet,1989,[Skarpnäck],2395000,20000,2415000,5911,Mäklarhuset,330.04860089229345,Skarpnack
2016-06-17,Gråhundsvägen 122,Skarpnack,GronSkarpnack,7,195,null,Villa,1969,[Norra Sköndal],4600000,20000,4620000,null,Fastighetsbyrån,858.3312207384982,Skarpnack
2016-06-10,Tätorpsvägen 3B,Skarpnack,GronSkarpnack,4,117,3,Lägenhet,1989,[Skarpnäck],2600000,-200000,2400000,7494,Fastighetsbyrån,477.5283961639656,Skarpnack
2016-06-10,Pilotgatan 17,Skarpnack,GronSkarpnack,2,57,1,Lägenhet,1983,[Skarpnäck],1795000,515000,2310000,3301,Notar,245.4377230169558,Skarpnack
2016-06-08,Pilottorget 6,Skarpnack,GronSkarpnack,4,99,2,Lägenhet,1986,[Skarpnäck],3300000,356250,3656250,5953,Notar,158.63618537935918,Skarpnack
2016-06-03,Segelflygsgatan 22,Skarpnack,GronSkarpnack,4,99,2,Lägenhet,1985,[Skarpnäck],2895000,765000,3660000,6388,Notar,177.40719121568526,Skarpnack
2016-06-02,Ballonggatan 1,Skarpnack,GronSkarpnack,4,99,3,Lägenhet,1985,[Skarpnäck],3500000,200000,3700000,6250,Fastighetsbyrån,140.20279674942805,Skarpnack
2016-05-31,Gondolgatan 3,Skarpnack,GronSkarpnack,3,74.5,1,Lägenhet,null,[Skarpnäck],2395000,0,2395000,4208,Mäklarringen,228.08102236989998,Skarpnack
2016-05-31,Skarpnäcks Allé 9,Skarpnack,GronSkarpnack,2,63.5,3,Lägenhet,null,[Skarpnäck],1895000,355000,2250000,4014,HusmanHagberg,561.2535234860105,Skarpnack
2016-05-30,Helikoptergatan 28,Skarpnack,GronSkarpnack,5,116.5,null,Radhus,2008,[Skarpnäck],4995000,-295000,4700000,5495,Mäklarringen,741.3282360810167,Skarpnack
2016-05-28,Horisontvägen 67,Skarpnack,GronSkarpnack,4,95,null,Lägenhet,null,[Skarpnäck],3150000,600000,3750000,6466,BOSTHLM,165.86436763810113,Skarpnack
2016-05-27,Pilvingegatan 48,Skarpnack,GronSkarpnack,2,56,5,Lägenhet,1986,[Skarpnäck],1925000,400000,2325000,3261,HusmanHagberg,447.4672177611212,Skarpnack
2016-05-27,Tätorpsvägen 130,Skarpnack,GronSkarpnack,5,112,null,Radhus,1985,[Skarpnäck],4495000,325000,4820000,null,Svensk Fastighetsförmedling,413.7034463039829,Skarpnack
2016-05-20,Gråhundsvägen 186,Skarpnack,GronSkarpnack,5,137,null,Radhus,1969,[Norra Sköndal],4195000,825000,5020000,null,HusmanHagberg,1008.5947639008763,Skarpnack
2016-05-19,Pilotgatan 22,Skarpnack,GronSkarpnack,3,71,3,Lägenhet,1984,[Skarpnäck],2650000,50000,2700000,4315,Fastighetsbyrån,137.01711292920626,Skarpnack
2016-05-19,Varmfrontsgatan 23,Skarpnack,GronSkarpnack,3,80,2,Lägenhet,1985,[Skarpnäck],2395000,605000,3000000,5476,HusmanHagberg,131.68575232635155,Skarpnack
2016-05-19,Pilotgatan 36,Skarpnack,GronSkarpnack,3,75.5,3,Lägenhet,1983,[Skarpnäck],2495000,105000,2600000,4451,HusmanHagberg,241.76837416657787,Skarpnack
2016-05-18,Fallskärmsgatan 4,Skarpnack,GronSkarpnack,3,76.3,0,Lägenhet,1985,[Skarpnäck],2395000,65000,2460000,4636,HusmanHagberg,179.52074007868436,Skarpnack
2016-05-17,Horisontvägen 85,Skarpnack,GronSkarpnack,4,88,1,Lägenhet,1984,[Skarpnäck],2495000,135000,2630000,5999,Fantastic Frank Fastighetsmäkleri,206.24041487355476,Skarpnack
2016-05-17,Pilvingegatan 83,Skarpnack,GronSkarpnack,2,44.5,0,Lägenhet,2005,[Skarpnäck],1995000,105000,2100000,3913,HusmanHagberg,517.9358842521781,Skarpnack
2016-05-11,Pilotgatan 5C,Skarpnack,GronSkarpnack,2,66,2,Lägenhet,1989,[Skarpnäck],1895000,435000,2330000,4584,Fastighetsbyrån,169.85921668968902,Skarpnack
2016-05-11,Pilotgatan 5C,Skarpnack,GronSkarpnack,2,67,3,Lägenhet,1989,[Skarpnäck],1895000,445000,2340000,4643,Notar,169.85921668968902,Skarpnack
2016-05-10,Vinggatan 24,Skarpnack,GronSkarpnack,3,77,null,Lägenhet,1984,[Skarpnäcks stadsdelsområde],2695000,415000,3110000,4674,SkandiaMäklarna,655.9423341387059,Skarpnack
2016-05-06,Drakflygargatan 5,Skarpnack,GronSkarpnack,4,94.5,3,Lägenhet,1984,[Skarpnäck],2975000,75000,3050000,5554,Notar,577.6124173578419,Skarpnack
2016-05-06,Drakflygargatan 3,Skarpnack,GronSkarpnack,2,59.5,3,Lägenhet,1984,[Skarpnäck],1895000,455000,2350000,3505,Länsförsäkringar Fastighetsförmedling,610.6849632478039,Skarpnack
2016-05-05,Skarpnäcks Allé 37,Skarpnack,GronSkarpnack,2,61.5,1,Lägenhet,1985,[Skarpnäck],1695000,620000,2315000,4193,Fastighetsbyrån,31.464200371418006,Skarpnack
2016-04-29,Vildapelvägen 2,Skarpnack,GronSkarpnack,5,131,null,Kedjehus,2010,[Enskededalen],5595000,885000,6480000,2660,Mäklarringen,1267.7461785832206,Skogskyrkogarden
2016-04-28,Vinggatan 20,Skarpnack,GronSkarpnack,5,104.5,0,Lägenhet,1984,[Skarpnäck],3495000,565000,4060000,5964,Fastighetsbyrån,631.1867883391443,Skarpnack
2016-04-28,Gråhundsvägen 234,Skarpnack,GronSkarpnack,6,147,null,Radhus,1969,[Norra Sköndal],4700000,1420000,6120000,null,Fastighetsbyrån,1040.7418206034079,Skarpnack
2016-04-28,Vinthundsvägen 111,Skarpnack,GronSkarpnack,5,137,null,Radhus,1970,[Norra Sköndal],4395000,635000,5030000,null,Länsförsäkringar Fastighetsförmedling,1416.8828756995285,Skarpnack
2016-04-28,Pilottorget 3,Skarpnack,GronSkarpnack,4,99,3,Lägenhet,1983,[Skarpnäck],3195000,435000,3630000,5383,Svensk Fastighetsförmedling,191.75124566878097,Skarpnack
2016-04-28,Fallskärmsgatan 4,Skarpnack,GronSkarpnack,3,80,1,Lägenhet,null,[Skarpnäck],2295000,465000,2760000,4788,Svensk Fastighetsförmedling,179.52074007868436,Skarpnack
2016-04-28,Pilotgatan 15,Skarpnack,GronSkarpnack,2,61.5,2,Lägenhet,1983,[Skarpnäck],1975000,625000,2600000,3720,HusmanHagberg,194.35604773880488,Skarpnack
