date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-15,Arkitektvägen 8,Abrahamsberg,Grön Hässelby,2,40,1,Lägenhet,null,[Bromma],1995000,305000,2300000,3168,Svenska Mäklarhuset,305.1141036853333,Abrahamsberg
2016-05-12,Registervägen 10,Abrahamsberg,Grön Hässelby,3,63,2,Lägenhet,null,[Bromma],2495000,420000,2915000,3811,Svenska Mäklarhuset,23.366595236780313,Abrahamsberg
2016-05-12,Murarvägen 11,Abrahamsberg,Grön Hässelby,2,40,1,Lägenhet,1939,[Abrahamsberg],2195000,375000,2570000,2325,Fastighetsbyrån,551.8864848171053,Abrahamsberg
2016-05-12,Rörläggarvägen 17,Abrahamsberg,Grön Hässelby,2,53,2,Lägenhet,null,[Bromma],2495000,625000,3120000,2716,Svenska Mäklarhuset,783.9718174714986,Abrahamsberg
2016-05-05,Arkitektvägen 37,Abrahamsberg,Grön Hässelby,2,45,3,Lägenhet,1943,[Abrahamsberg],2595000,105000,2700000,2351,Länsförsäkringar Fastighetsförmedling,507.26669646364974,Abrahamsberg
2016-05-03,Abrahamsbergsvägen 40,Abrahamsberg,Grön Hässelby,2.5,53,null,Lägenhet,1939,[Bromma Abrahamsberg],2950000,450000,3400000,3159,Mäklare Sjögren,379.8660834145091,Abrahamsberg
2016-04-29,Spannvägen 18,Abrahamsberg,Grön Hässelby,2,50,1,Lägenhet,1942,[Bromma],2395000,0,2395000,3238,Svensk Fastighetsförmedling,344.65660937228665,Abrahamsberg
2016-04-27,Registervägen 24,Abrahamsberg,Grön Hässelby,2,40,2,Lägenhet,1944,[Bromma Abrahamsberg],1990000,610000,2600000,1828,Notar,116.1001270685837,Abrahamsberg
2016-04-27,Abrahamsbergsvägen 80,Abrahamsberg,Grön Hässelby,2,46,2,Lägenhet,1939,[Abrahamsberg],2150000,550000,2700000,2850,Fastighetsbyrån,773.6634649835536,Abrahamsberg
2016-04-26,Stopvägen 71,Abrahamsberg,Grön Hässelby,2,41,3,Lägenhet,1940,[Bromma Abrahamsberg],2195000,435000,2630000,2781,Notar,324.53377082231543,Brommaplan
2016-04-22,Byggmästarvägen 22,Abrahamsberg,Grön Hässelby,2,48,3,Lägenhet,1938,[Bromma],2595000,235000,2830000,2621,Erik Olsson Fastighetsförmedling,430.9122934142526,Abrahamsberg
2016-04-21,Spannvägen 9,Abrahamsberg,Grön Hässelby,2,40,3,Lägenhet,1942,[Bromma Abrahamsberg],2150000,350000,2500000,2525,Notar,377.7884902606089,Abrahamsberg
2016-04-20,Arkitektvägen 30,Abrahamsberg,Grön Hässelby,2,59,1,Lägenhet,1939,[Bromma],2495000,455000,2950000,3885,Erik Olsson Fastighetsförmedling,405.0795889572837,Abrahamsberg
2016-04-20,Spannvägen 30,Abrahamsberg,Grön Hässelby,3,82,4,Lägenhet,2008,[Abrahamsberg],4395000,805000,5200000,5158,Länsförsäkringar Fastighetsförmedling,312.2801059361109,Abrahamsberg
2016-04-15,Byggmästarvägen 27,Abrahamsberg,Grön Hässelby,2,48,2,Lägenhet,1939,[Abrahamsberg],2495000,405000,2900000,3334,Länsförsäkringar Fastighetsförmedling,484.7529815787283,Abrahamsberg
2016-04-15,Abrahamsbergsvägen 40,Abrahamsberg,Grön Hässelby,2.5,53,2,Lägenhet,1939,[Abrahamsberg],2595000,1105000,3700000,3064,Fastighetsbyrån,379.8660834145091,Abrahamsberg
2016-04-15,Stopvägen 41,Abrahamsberg,Grön Hässelby,2,47,1,Lägenhet,null,[Bromma],2195000,365000,2560000,2578,Svenska Mäklarhuset,437.4473659356884,Abrahamsberg
2016-04-14,Byggmästarvägen 17,Abrahamsberg,Grön Hässelby,3,50,1,Lägenhet,1942,[Bromma Abrahamsberg],2495000,80000,2575000,3617,HusmanHagberg,421.7500553417335,Abrahamsberg
