date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-06,Trollesundsvägen 21,Bandhagen,Grön Hagsätra,4,87,null,Lägenhet,1992,[Bandhagen],2750000,300000,3050000,6100,Notar,131.95364636656086,Bandhagen
2016-05-06,Trollesundsvägen 21,Bandhagen,Grön Hagsätra,2,65,null,Lägenhet,1992,[Bandhagen],1595000,295000,1890000,4461,Notar,131.95364636656086,Bandhagen
2016-04-29,Skebokvarnsvägen 51B,Bandhagen,Grön Hagsätra,4,91,4,Lägenhet,2012,[Bandhagen],3295000,725000,4020000,5034,HusmanHagberg,330.35973388533034,Bandhagen
2016-04-28,Kallforsvägen 26,Bandhagen,Grön Hagsätra,2,57.5,3,Lägenhet,1953,[Bandhagen],2195000,405000,2600000,3258,Fastighetsbyrån,228.71486767305146,Bandhagen
2016-04-28,Fågelstavägen 10,Bandhagen,Grön Hagsätra,3,75,2,Lägenhet,1955,[Bandhagen],2645000,455000,3100000,4061,Mäklarhuset,95.53756101676073,Bandhagen
2016-04-28,Mosstenabacken 5,Bandhagen,Grön Hagsätra,2,56.5,2,Lägenhet,1958,[Bandhagen],2095000,515000,2610000,3154,Svensk Fastighetsförmedling,159.27521386814598,Bandhagen
2016-04-27,Skebokvarnsvägen 51D,Bandhagen,Grön Hagsätra,3,73,1,Lägenhet,2012,[Bandhagen],2595000,740000,3335000,3979,Fastighetsbyrån,458.65817344354406,Bandhagen
2016-04-26,Bandhagsplan 9,Bandhagen,Grön Hagsätra,2,58.5,9,Lägenhet,1953,[Bandhagen],1750000,800000,2550000,3578,Erik Olsson Fastighetsförmedling,80.09756925873374,Bandhagen
2016-04-23,Almnäsvägen 6,Bandhagen,Grön Hagsätra,4,93,null,Radhus,1955,[Bandhagen],4195000,1105000,5300000,null,Mäklarringen,708.6628958498443,Bandhagen
2016-04-22,Kallforsvägen 26,Bandhagen,Grön Hagsätra,1,30,null,Lägenhet,1953,[Enskede-Årsta-Vantör],1795000,125000,1920000,1899,SkandiaMäklarna,228.71486767305146,Bandhagen
2016-04-21,Kallforsvägen 34,Bandhagen,Grön Hagsätra,2,56,1,Lägenhet,1953,[Bandhagen],1995000,515000,2510000,3109,Notar,280.81905213264366,Bandhagen
2016-04-21,Sjösavägen 11,Bandhagen,Grön Hagsätra,2,56,2,Lägenhet,1953,[Bandhagen],1995000,255000,2250000,3260,Mäklarringen,601.2704082540362,Bandhagen
2016-04-21,Skebokvarnsvägen 99,Bandhagen,Grön Hagsätra,2,57,3,Lägenhet,1954,[Bandhagen],2150000,450000,2600000,3524,Fastighetsbyrån,543.5808074155655,Bandhagen
2016-04-12,Salbyvägen 5,Bandhagen,Grön Hagsätra,3,72,2,Lägenhet,1952,[Bandhagen],2500000,650000,3150000,4071,HusmanHagberg,146.89923827432492,Bandhagen
2016-04-07,Kallforsvägen 37,Bandhagen,Grön Hagsätra,2,56,1,Lägenhet,1955,[Bandhagen],1995000,535000,2530000,3054,Länsförsäkringar Fastighetsförmedling,310.4544029162199,Bandhagen
2016-04-07,Skebokvarnsvägen 51B,Bandhagen,Grön Hagsätra,4,91,null,Lägenhet,2012,[Bandhagen],3195000,705000,3900000,4914,HusmanHagberg,330.35973388533034,Bandhagen
2016-03-26,Kallforsvägen 17,Bandhagen,Grön Hagsätra,3,76,2,Lägenhet,null,[Bandhagen],2395000,480000,2875000,4139,Svensk Fastighetsförmedling,377.8571589730176,Bandhagen
