date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-13,Holbergsgatan 128,Blackeberg,Grön Hässelby,3,69,1,Lägenhet,1952,[Bromma Blackeberg],2490000,0,2490000,3682,Notar,373.8894876089025,Blackeberg
2016-05-12,Björnsonsgatan 58,Blackeberg,Grön Hässelby,3,69,5,Lägenhet,2005,[Bromma Blackeberg],2690000,0,2690000,4332,Notar,301.1810929388143,Blackeberg
2016-05-11,Sigrid Undsets gata 30E,Blackeberg,Grön Hässelby,1.5,34.1,1,Lägenhet,1952,[Bromma Blackeberg],1690000,375000,2065000,1711,Notar,199.83506677640705,Blackeberg
2016-05-11,Holbergsgatan 42,Blackeberg,Grön Hässelby,1,40,1,Lägenhet,1952,[Bromma Blackeberg],1690000,510000,2200000,1809,Notar,298.85959643877,Blackeberg
2016-05-11,Wergelandsgatan 6,Blackeberg,Grön Hässelby,2,58,2,Lägenhet,1951,[Bromma],2275000,25000,2300000,2912,Mäklarhuset,146.28321059302456,Blackeberg
2016-05-10,Cederströmsvägen 8,Blackeberg,Grön Hässelby,5,64,null,Villa,1939,[Norra Ängby],5250000,350000,5600000,null,Fastighetsbyrån,155.63077007742473,Islandstorget
2016-05-09,Holbergsgatan 46,Blackeberg,Grön Hässelby,2,54,2,Lägenhet,1952,[Bromma Blackeberg],2290000,110000,2400000,2442,Notar,262.88069596089093,Blackeberg
2016-05-09,Holbergsgatan 42,Blackeberg,Grön Hässelby,3,68,3,Lägenhet,1952,[Bromma Blackeberg],2490000,0,2490000,3076,Notar,298.85959643877,Blackeberg
2016-05-09,Elias Lönnrots väg 11,Blackeberg,Grön Hässelby,4,81,null,Radhus,1952,[Bromma Blackeberg],3390000,810000,4200000,4333,Notar,237.05920836239562,Blackeberg
2016-05-06,Johan Tillanders väg 39,Blackeberg,Grön Hässelby,3,73.5,3,Lägenhet,2012,[Bromma Ängby Park],3395000,145000,3540000,4043,Mäklarringen,809.5126308034052,Blackeberg
2016-05-05,Grundtvigsgatan 11,Blackeberg,Grön Hässelby,3,66,2,Lägenhet,1951,[Bromma],2690000,410000,3100000,2714,Länsförsäkringar Fastighetsförmedling,361.1194448632351,Islandstorget
2016-05-04,Nickelgränd 10,Blackeberg,Grön Hässelby,3,75,6,Lägenhet,1958,[Vällingby],2595000,405000,3000000,3349,Mäklarhuset,151.82256408063617,Racksta
2016-04-29,Drachmannsgatan 36,Blackeberg,Grön Hässelby,4,121,-1,Lägenhet,1993,[Bromma],2495000,10000,2505000,6313,Svensk Fastighetsförmedling,259.8622122993593,Islandstorget
2016-04-28,Ibsengatan 86,Blackeberg,Grön Hässelby,3,70,3,Lägenhet,1951,[Bromma Blackeberg],2690000,385000,3075000,3538,Notar,270.6033284459753,Blackeberg
2016-04-28,Holbergsgatan 131,Blackeberg,Grön Hässelby,2,59,1,Lägenhet,1952,[Bromma Blackeberg],2290000,210000,2500000,3500,Notar,534.2135190877915,Islandstorget
2016-04-28,Grundtvigsgatan 21,Blackeberg,Grön Hässelby,2,54,2,Lägenhet,1951,[Bromma Blackeberg],2290000,360000,2650000,2220,Notar,418.19269676121195,Islandstorget
2016-04-27,Holbergsgatan 44,Blackeberg,Grön Hässelby,1,24,1,Lägenhet,1952,[Bromma Blackeberg],1490000,410000,1900000,1086,Notar,283.19190311674623,Blackeberg
2016-04-26,Holbergsgatan 24,Blackeberg,Grön Hässelby,2,55,3,Lägenhet,null,[Bromma Blackeberg],2290000,370000,2660000,2430,Notar,334.62145337863933,Islandstorget
2016-04-26,Sigrid Undsets gata 13,Blackeberg,Grön Hässelby,2,53,3,Lägenhet,1952,[Bromma Blackeberg],2290000,340000,2630000,2398,Notar,250.43741072937854,Blackeberg
2016-04-22,Holbergsgatan 173,Blackeberg,Grön Hässelby,3,81,null,Radhus,1952,[Bromma Blackeberg],4500000,1060000,5560000,4245,Mäklarringen,661.3770085245144,Islandstorget
2016-04-22,Ibsengatan 84,Blackeberg,Grön Hässelby,2,54,0.5,Lägenhet,null,[Blackeberg],1950000,320000,2270000,2730,Fastighetsbyrån,284.2433511722041,Blackeberg
2016-04-21,Holbergsgatan 146,Blackeberg,Grön Hässelby,3,69,3,Lägenhet,1952,[Bromma Blackeberg],2490000,470000,2960000,3682,Notar,428.1959799912225,Blackeberg
2016-04-21,Ibsengatan 76,Blackeberg,Grön Hässelby,4,87,3,Lägenhet,1951,[Bromma],3195000,305000,3500000,4398,Bjurfors,339.9285745926881,Blackeberg
2016-04-20,Holbergsgatan 81,Blackeberg,Grön Hässelby,3,69,3,Lägenhet,null,[Bromma],2595000,580000,3175000,4250,Svenska Mäklarhuset,305.7139271263734,Blackeberg
2016-04-20,Nickelgränd 4,Blackeberg,Grön Hässelby,3,75,6,Lägenhet,1958,[Vällingby],2595000,305000,2900000,3349,Fastighetsbyrån,260.61449197386446,Racksta
2016-04-19,Björnsonsgatan 140,Blackeberg,Grön Hässelby,3,74,9,Lägenhet,1952,[Bromma Blackeberg],3990000,560000,4550000,3709,Notar,133.54801572957282,Blackeberg
2016-04-19,Holbergsgatan 104,Blackeberg,Grön Hässelby,1,42,2,Lägenhet,1952,[Bromma Blackeberg],1850000,380000,2230000,2528,Notar,285.6516197495248,Blackeberg
2016-04-19,Björnsonsgatan 138,Blackeberg,Grön Hässelby,2,57,2.5,Lägenhet,1952,[Bromma Blackeberg],2190000,435000,2625000,2857,Notar,179.76857629062306,Blackeberg
2016-04-14,Nickelgränd 14,Blackeberg,Grön Hässelby,5,108,1,Lägenhet,1998,[Hässelby-Vällingby],2250000,1100000,3350000,7978,SkandiaMäklarna,199.47471482784223,Racksta
2016-04-13,Holbergsgatan 81,Blackeberg,Grön Hässelby,3,69,2,Lägenhet,1951,[Bromma],2795000,275000,3070000,4250,SkandiaMäklarna,305.7139271263734,Blackeberg
