date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-11,Eksätravägen 112,Bredang,Röd Norsborg,5,140,null,Villa,1965,[Skärholmen],3650000,800000,4450000,null,Notar,777.1877126968028,Bredang
2016-05-07,Eksätravägen 166,Bredang,Röd Norsborg,5,122,null,Kedjehus,1966,[Bredäng],4475000,25000,4500000,null,Mäklarringen,732.0962084361231,Bredang
2016-05-04,Ålgrytebacken 13,Bredang,Röd Norsborg,4,94,2,Lägenhet,1963,[Skärholmen],2795000,755000,3550000,4174,Södermäklarna,465.51607336067724,Bredang
2016-04-28,Kråksätrabacken 31,Bredang,Röd Norsborg,6,177,null,Kedjehus,1966,[Sätra],4390000,1020000,5410000,null,Fastighetsbyrån,798.8630824659868,Bredang
2016-04-20,Aspsätravägen 7,Bredang,Röd Norsborg,1.5,44,0,Lägenhet,1965,[Sätra],1690000,460000,2150000,2346,Fastighetsbyrån,472.35641029835574,Satra
2016-04-08,Ålgrytebacken 6,Bredang,Röd Norsborg,4,94,1,Lägenhet,1963,[Bredäng],2790000,210000,3000000,4133,Fastighetsbyrån,388.05826108067976,Bredang
2016-04-06,Odd Fellowvägen 51,Bredang,Röd Norsborg,2.5,67,0,Lägenhet,1991,[Bredäng],2600000,-210000,2390000,3890,Fastighetsbyrån,253.534605049363,Bredang
2016-03-24,Tankebyggarbacken 101,Bredang,Röd Norsborg,6,132,null,Radhus,1969,[Skärholmen],3450000,450000,3900000,null,Fastighetsbyrån,342.1890733404272,Bredang
2016-03-02,Lilla Sällskapets väg 5B,Bredang,Röd Norsborg,2.5,77.5,0,Lägenhet,1999,[Bredäng],2490000,710000,3200000,4303,Fastighetsbyrån,638.1405956365655,Bredang
2016-02-25,Odd Fellowvägen 30,Bredang,Röd Norsborg,4,91,1,Lägenhet,1992,[Skärholmen],2650000,600000,3250000,4386,Erik Olsson Fastighetsförmedling,358.42404474686657,Bredang
2016-02-19,Lilla Sällskapets väg 7A,Bredang,Röd Norsborg,3,77.5,0,Lägenhet,1999,[Bredäng],2490000,1020000,3510000,4303,Fastighetsbyrån,643.3425652953327,Bredang
2016-02-05,Järnbärarvägen 12,Bredang,Röd Norsborg,2,48,null,Lägenhet,1966,[Bredäng],1625000,385000,2010000,2374,Bukowskis Mäklarbyrå,373.2870542025261,Bredang
2016-01-30,Eksätravägen 162,Bredang,Röd Norsborg,5,121,null,Kedjehus,1966,[Bredäng],4475000,900000,5375000,null,Mäklarringen,727.1005034512222,Bredang
2016-01-28,Kråksätrabacken 79,Bredang,Röd Norsborg,7,179,null,Kedjehus,1967,[Skärholmen],4495000,105000,4600000,null,SkandiaMäklarna,723.0040103049939,Satra
2016-01-22,Odd Fellowvägen 9,Bredang,Röd Norsborg,4,104,2,Lägenhet,1965,[Bredäng],2995000,715000,3710000,3901,HusmanHagberg,611.8502961546551,Bredang
2016-01-18,Aspsätravägen 27,Bredang,Röd Norsborg,1.5,48,2,Lägenhet,1964,[Skärholmen],1695000,445000,2140000,2526,Tomas Mäklarbyrå,434.6763701826431,Satra
2016-01-15,Odd Fellowvägen 30,Bredang,Röd Norsborg,1.5,45.5,2,Lägenhet,null,[Bredäng],1695000,685000,2380000,2440,Svenska Mäklarhuset,358.42404474686657,Bredang
2015-12-17,Odd Fellowvägen 35,Bredang,Röd Norsborg,2,67,2,Lägenhet,1992,[Bredäng-Mälarhöjden],1975000,325000,2300000,3897,Mäklarringen,353.1050491031254,Bredang
2015-12-11,Ålgrytebacken 3,Bredang,Röd Norsborg,3,80,2,Lägenhet,1963,[Skärholmen],2100000,420000,2520000,3485,Tomas Mäklarbyrå,437.34066012152437,Bredang
2015-11-30,Järnbärarvägen 2,Bredang,Röd Norsborg,1,36,null,Lägenhet,1966,[Bredäng],1295000,705000,2000000,1927,Notar,488.0050666912438,Bredang
2015-11-30,Ålgrytebacken 9,Bredang,Röd Norsborg,3,80,1,Lägenhet,1963,[Bredäng],2095000,575000,2670000,3485,Notar,468.4160015780135,Bredang
2015-10-13,Järnbärarvägen 2,Bredang,Röd Norsborg,4,102,4,Lägenhet,1966,[Bredäng],2190000,760000,2950000,4943,Fastighetsbyrån,488.0050666912438,Bredang
2015-10-09,Järnbärarvägen 12,Bredang,Röd Norsborg,3,82,1,Lägenhet,1966,[Skärholmen],1875000,645000,2520000,3931,Mäklarhuset,373.2870542025261,Bredang
2015-10-05,Aspsätravägen 17,Bredang,Röd Norsborg,3,80,2,Lägenhet,1965,[Sätra],2195000,325000,2520000,3905,Notar,501.05309498048035,Satra
2015-09-29,Odd Fellowvägen 9,Bredang,Röd Norsborg,4,104,2,Lägenhet,1965,[Bredäng-Mälarhöjden],2795000,315000,3110000,3715,Mäklarringen,611.8502961546551,Bredang
2015-09-29,Aspsätravägen 27,Bredang,Röd Norsborg,3,80,3,Lägenhet,1965,[Skärholmen],2250000,300000,2550000,3904,Fastighetsmäklarna,434.6763701826431,Satra
2015-09-21,Odd Fellowvägen 37,Bredang,Röd Norsborg,3.5,86,1,Lägenhet,1992,[Bredäng-Mälarhöjden],2295000,305000,2600000,4686,Mäklarringen,342.52129944233747,Bredang
2015-09-21,Ålgrytebacken 10,Bredang,Röd Norsborg,3,80,null,Lägenhet,1963,[Bredäng],2250000,430000,2680000,3451,Länsförsäkringar Fastighetsförmedling,369.73328515825517,Bredang
2015-09-12,Odd Fellowvägen 7,Bredang,Röd Norsborg,4,104,1,Lägenhet,1965,[Bredäng],2690000,810000,3500000,3715,Fastighetsbyrån,632.5364182737869,Bredang
2015-09-08,Järnbärarvägen 6,Bredang,Röd Norsborg,2,62,6,Lägenhet,1966,[Bredäng],1590000,610000,2200000,3044,Fastighetsbyrån,456.4089490724218,Bredang
2015-08-26,Lilla Sällskapets väg 19A,Bredang,Röd Norsborg,3,77.5,0,Lägenhet,1999,[Bredäng],1990000,1185000,3175000,4303,Fastighetsbyrån,629.1657180989098,Bredang
2015-07-16,Ålgrytebacken 10,Bredang,Röd Norsborg,4,94,3,Lägenhet,1963,[Bredäng],2490000,260000,2750000,4052,Fastighetsbyrån,369.73328515825517,Bredang
2015-06-11,Eksätravägen 164,Bredang,Röd Norsborg,6,121,null,Kedjehus,1965,[Bredäng],3790000,410000,4200000,null,Fastighetsbyrån,726.696692218396,Bredang
2015-06-02,Odd Fellowvägen 39,Bredang,Röd Norsborg,2.5,67,1,Lägenhet,1991,[Bredäng],1690000,330000,2020000,3897,Fastighetsbyrån,326.44461889399724,Bredang
2015-05-27,Ålgrytebacken 4,Bredang,Röd Norsborg,2,46,0,Lägenhet,1963,[Bredäng],1390000,475000,1865000,2107,Fastighetsbyrån,390.9680696045306,Bredang
2015-05-27,Järnbärarvägen 14,Bredang,Röd Norsborg,2,72,null,Lägenhet,1966,[Bredäng],1690000,260000,1950000,3432,Fastighetsbyrån,362.22160453249086,Bredang
2015-05-27,Odd Fellowvägen 39,Bredang,Röd Norsborg,2.5,67,1,Lägenhet,1991,[Bredäng],1690000,440000,2130000,3897,Fastighetsbyrån,326.44461889399724,Bredang
2015-05-22,Ålgrytebacken 17,Bredang,Röd Norsborg,1,32.5,0,Lägenhet,1963,[Bredäng],1490000,340000,1830000,1540,Fastighetsbyrån,446.6455942757053,Bredang
2015-05-21,Ålgrytebacken 3,Bredang,Röd Norsborg,4,94,2,Lägenhet,1963,[Bredäng],2950000,0,2950000,4012,Fastighetsbyrån,437.34066012152437,Bredang
2015-05-16,Ålgrytebacken 4,Bredang,Röd Norsborg,3,80,2,Lägenhet,1963,[Skärholmen],2095000,355000,2450000,3416,Svensk Fastighetsförmedling,390.9680696045306,Bredang
2015-04-30,Ålgrytebacken 8,Bredang,Röd Norsborg,3,80,2,Lägenhet,1963,[Bredäng],1950000,810000,2760000,3486,Fastighetsbyrån,377.0986916232566,Bredang
2015-04-17,Järnbärarvägen 16,Bredang,Röd Norsborg,3,78,6,Lägenhet,1966,[Bredäng],1875000,720000,2595000,3711,Notar,348.1791481139045,Bredang
2015-03-22,Odd Fellowvägen 55,Bredang,Röd Norsborg,2.5,67,2,Lägenhet,1992,[Bredäng-Mälarhöjden],1795000,720000,2515000,4807,Mäklarringen,246.97651711258658,Bredang
2015-03-17,Järnbärarvägen 2,Bredang,Röd Norsborg,1.5,48,null,Lägenhet,1966,[Bredäng],1295000,575000,1870000,2377,Fastighetsbyrån,488.0050666912438,Bredang
