date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-11,Doktor Widerströms gata 42,Fruängen,Röd Fruängen,1,25,3,Lägenhet,1953,[Fruängen],1495000,565000,2060000,1870,Notar,432.30790143478794,Fruangen
2016-05-11,Ellen Keys gata 37,Fruängen,Röd Fruängen,3,79.3,1,Lägenhet,1957,[Hägersten],2895000,0,2895000,3957,Svensk Fastighetsförmedling,216.50669602999574,Fruangen
2016-05-06,Doktor Widerströms gata 80,Fruängen,Röd Fruängen,1,27,4,Lägenhet,1953,[Fruängen],1875000,340000,2215000,1878,Notar,393.40131905680227,Fruangen
2016-05-06,Ada Nilssons gata 13,Fruängen,Röd Fruängen,3,76,null,Lägenhet,2007,[Fruängen],3800000,0,3800000,4077,Länsförsäkringar Fastighetsförmedling,619.9417678700404,Fruangen
2016-05-06,Eva Bonniers gata 2,Fruängen,Röd Fruängen,3,72,null,Lägenhet,1955,[Fruängen],2850000,400000,3250000,3591,Länsförsäkringar Fastighetsförmedling,177.18031860447098,Fruangen
2016-05-05,Vantörsvägen 264,Fruängen,Röd Fruängen,3,74,1,Lägenhet,2013,[Fruängen],3295000,205000,3500000,4495,Länsförsäkringar Fastighetsförmedling,628.7096143793108,Fruangen
2016-05-05,Anna Sandströms gata 18,Fruängen,Röd Fruängen,4,80,2,Lägenhet,1957,[Hägersten-Liljeholmen],3490000,15000,3505000,3630,SkandiaMäklarna,200.0766266672523,Fruangen
2016-05-05,Eva Bonniers gata 15,Fruängen,Röd Fruängen,1,43,1,Lägenhet,null,[Fruängen-Hägersten],1895000,505000,2400000,2398,Svenska Mäklarhuset,251.7211159104591,Fruangen
2016-05-04,Doktor Widerströms gata 14,Fruängen,Röd Fruängen,1,25,2,Lägenhet,1955,[Fruängen],1750000,460000,2210000,1870,Edward & Partners Fastighetsmäklare AB,452.8708441034092,Fruangen
2016-05-04,Ellen Keys gata 37,Fruängen,Röd Fruängen,3,79.3,2,Lägenhet,1957,[Fruängen],3200000,0,3200000,3990,Fastighetsbyrån,216.50669602999574,Fruangen
2016-05-04,Eva Bonniers gata 21,Fruängen,Röd Fruängen,1,44,-1,Lägenhet,1956,[Fruängen],1895000,505000,2400000,2401,HusmanHagberg,286.4680571396162,Fruangen
2016-05-04,Ada Nilssons gata 13,Fruängen,Röd Fruängen,2,65,7,Lägenhet,2009,[Fruängen],2650000,775000,3425000,3487,Länsförsäkringar Fastighetsförmedling,619.9417678700404,Fruangen
