date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Nynäsvägen 341,Gamla Enskede,Grön Hagsätra,2.5,78,2,Lägenhet,1930,[Enskede],3295000,505000,3800000,4229,Svensk Fastighetsförmedling,223.1210032605016,Sandsborg
2016-05-13,Svampvägen 126,Gamla Enskede,Grön Hagsätra,4,89,null,Parhus,1926,[Gamla Enskede],7500000,1375000,8875000,null,Fastighetsbyrån,685.1268579832565,Sockenplan
2016-05-13,Nynäsvägen 310,Gamla Enskede,Grön Hagsätra,2,51,1,Lägenhet,1909,[Enskede-Årsta-Vantör],2795000,465000,3260000,2480,SkandiaMäklarna,251.56287207751149,Sandsborg
2016-05-11,Nynäsvägen 342A,Gamla Enskede,Grön Hagsätra,2,57,1,Lägenhet,1943,[Gamla Enskede],2695000,125000,2820000,3834,Fastighetsbyrån,267.61018106324747,Sandsborg
2016-05-11,Nynäsvägen 337,Gamla Enskede,Grön Hagsätra,3,75,2,Lägenhet,1926,[Enskede],3595000,1175000,4770000,3839,Svensk Fastighetsförmedling,185.85681457011657,Sandsborg
2016-05-10,Stora Gungans väg 4,Gamla Enskede,Grön Hagsätra,4,98.5,1,Lägenhet,1914,[Gamla Enskede],6500000,1300000,7800000,5335,HusmanHagberg,219.37172784486012,Sandsborg
2016-05-04,Handelsvägen 138,Gamla Enskede,Grön Hagsätra,2,61,null,Lägenhet,1963,[Gamla Enskede],2980000,960000,3940000,3436,Mäklarhuset,416.21250440589813,Sockenplan
2016-04-29,Grusåsgränd 141,Gamla Enskede,Grön Hagsätra,2,67.5,null,Lägenhet,1980,[Enskededalen],2275000,475000,2750000,3154,Svensk Fastighetsförmedling,265.79530014966434,Sandsborg
2016-04-29,Grusåsgränd 155,Gamla Enskede,Grön Hagsätra,3,82,null,Lägenhet,1980,[Enskededalen],3195000,625000,3820000,3861,MäklarMäster,292.6350657931696,Sandsborg
2016-04-28,Nynäsvägen 364,Gamla Enskede,Grön Hagsätra,2,44,2,Lägenhet,1939,[Enskede],1995000,155000,2150000,4931,Notar,297.3166521701529,Skogskyrkogarden
2016-04-28,Nynäsvägen 341,Gamla Enskede,Grön Hagsätra,4,107,2,Lägenhet,1930,[Gamla Enskede],4595000,955000,5550000,5773,Notar,223.1210032605016,Sandsborg
2016-04-28,Grusåsgränd 185,Gamla Enskede,Grön Hagsätra,2.5,64,2,Lägenhet,1980,[Enskededalen],2500000,410000,2910000,3013,HusmanHagberg,266.5026407110067,Sandsborg
2016-04-27,Täppgränd 81,Gamla Enskede,Grön Hagsätra,6,130,1,Lägenhet,1982,[Enskededalen],4495000,1215000,5710000,5982,HusmanHagberg,373.205989579092,Sandsborg
2016-04-24,Sockenvägen 363,Gamla Enskede,Grön Hagsätra,2,40,2,Lägenhet,1940,[Gamla Enskede],2295000,355000,2650000,2361,Fantastic Frank Fastighetsmäkleri,168.3993515026853,Sockenplan
2016-04-21,Sockenvägen 423,Gamla Enskede,Grön Hagsätra,1,38,1,Lägenhet,1911,[Enskede],1995000,555000,2550000,2434,HusmanHagberg,719.1085726678235,Sandsborg
