date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-06,Fregattvägen 67,Gröndal,Röd Norsborg,2,46,2,Lägenhet,1943,[Gröndal],2195000,830000,3025000,3303,Notar,749.6727587274838,Aspudden
2016-05-05,Gröndalsvägen 106,Gröndal,Röd Norsborg,2,43,3,Lägenhet,1957,[Gröndal],2350000,360000,2710000,2560,Mäklarhuset,1003.4902040794123,Aspudden
2016-05-05,Lustigkullavägen 7,Gröndal,Röd Norsborg,2,62,null,Lägenhet,1986,[Gröndal],2795000,805000,3600000,3604,Notar,793.0662438611068,Liljeholmen
2016-05-04,Ekensbergsvägen 15,Gröndal,Röd Norsborg,3,80,1,Lägenhet,1981,[Gröndal],3995000,605000,4600000,2535,Notar,1003.200384842653,Ornsberg
2016-05-04,Maskinistgatan 17,Gröndal,Röd Norsborg,1,41,1,Lägenhet,1911,[Gröndal],2395000,820000,3215000,1978,Notar,814.6906317097794,Liljeholmen
2016-05-03,Fregattvägen 85,Gröndal,Röd Norsborg,2,46,3,Lägenhet,null,[Gröndal],2195000,555000,2750000,3303,Svenska Mäklarhuset,805.4612210116603,Aspudden
2016-04-29,Gröndalsvägen 141,Gröndal,Röd Norsborg,4,91,1,Lägenhet,1981,[Gröndal],4495000,805000,5300000,4031,Notar,927.2073755550592,Ornsberg
2016-04-28,Sannadalsvägen 4,Gröndal,Röd Norsborg,1,33,2,Lägenhet,1938,[Gröndal],1995000,525000,2520000,2332,Notar,674.1501808331539,Liljeholmen
2016-04-28,Fregattvägen 59,Gröndal,Röd Norsborg,2,46,2,Lägenhet,1943,[Gröndal],2195000,430000,2625000,3303,Notar,788.1669078602747,Aspudden
2016-04-22,Ekensbergsvägen 118,Gröndal,Röd Norsborg,1,25,1,Lägenhet,1947,[Gröndal],2250000,0,2250000,1394,BOSTHLM,1052.7135972482408,Aspudden
2016-04-22,Jungmansgränd 14,Gröndal,Röd Norsborg,5,112,null,Lägenhet,1949,[Gröndal],7500000,1975000,9475000,6874,BOSTHLM,1007.2185362659259,Liljeholmen
2016-04-21,Gröndalsvägen 164,Gröndal,Röd Norsborg,3,68,null,Lägenhet,1981,[Gröndal],3695000,905000,4600000,2154,Notar,943.2437227182793,Ornsberg
2016-04-19,Gröndalsvägen 120,Gröndal,Röd Norsborg,3,74,5,Lägenhet,1959,[Gröndal],3695000,555000,4250000,3606,Notar,994.9973588091256,Aspudden
2016-04-19,Lustigkullavägen 7,Gröndal,Röd Norsborg,4,83.5,null,Lägenhet,1986,[Gröndal],4495000,1380000,5875000,4745,Notar,793.0662438611068,Liljeholmen
2016-04-18,Sjöbjörnsvägen 4,Gröndal,Röd Norsborg,4,58,1,Lägenhet,null,[Gröndal],3295000,380000,3675000,3650,Svenska Mäklarhuset,933.8127790616779,Liljeholmen
2016-04-18,Sjöbjörnsvägen 31,Gröndal,Röd Norsborg,6,126,null,Villa,null,[Gröndal],10250000,1400000,11650000,null,Svenska Mäklarhuset,1261.6989084881097,Aspudden
2016-04-14,Fregattvägen 74,Gröndal,Röd Norsborg,2,53,3,Lägenhet,1943,[Gröndal],2495000,905000,3400000,3808,Notar,841.5291316639731,Aspudden
2016-04-14,Lustigkullavägen 4,Gröndal,Röd Norsborg,2,73,1,Lägenhet,1913,[Gröndal],4195000,1030000,5225000,3328,Bjurfors,787.3834050000445,Liljeholmen
2016-04-14,Gröndalsvägen 115,Gröndal,Röd Norsborg,4,87,5,Lägenhet,2009,[Gröndal],4995000,580000,5575000,4789,Fastighetsbyrån,963.8313418535242,Aspudden
2016-04-12,Grenljusbacken 26,Gröndal,Röd Norsborg,3,74.5,8,Lägenhet,1959,[Gröndal],3995000,505000,4500000,3637,Notar,780.4889122038155,Liljeholmen
2016-04-09,Sjöbjörnsvägen 38,Gröndal,Röd Norsborg,2.5,58,1,Lägenhet,1946,[Gröndal],3195000,225000,3420000,3651,Fastighetsbyrån,1006.5547819677076,Liljeholmen
2016-04-06,Sjöbjörnsvägen 46,Gröndal,Röd Norsborg,2.5,58,1,Lägenhet,1946,[Gröndal],3195000,230000,3425000,3650,Notar,1018.3508707157561,Liljeholmen
2016-03-31,Ljusstöparbacken 5,Gröndal,Röd Norsborg,1,22,null,Lägenhet,1961,[Gröndal],1495000,530000,2025000,1123,Svensk Fastighetsförmedling,776.1320894840586,Liljeholmen
