date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-13,Kyrkbacken 13,Hagalund,Blå Solna,3,84,1,Lägenhet,1973,[Hagalund],2495000,505000,3000000,4875,Fastighetsbyrån,596.2991217607297,Solna centrum
2016-05-11,Hagalundsgatan 14,Hagalund,Blå Solna,3,67,3,Lägenhet,1973,[Hagalund],2795000,405000,3200000,3310,Fastighetsbyrån,738.4262265593696,Solna centrum
2016-05-10,Fyrgränd 4,Hagalund,Blå Solna,3,67,2,Lägenhet,1950,[Haga Norra],2875000,535000,3410000,2541,Edward & Partners Fastighetsmäklare AB,915.708223183637,Solna centrum
2016-05-05,Solgatan 28,Hagalund,Blå Solna,4,91.5,4,Lägenhet,2012,[Rudviken],4500000,650000,5150000,4869,Magnusson Mäkleri,623.7698488559857,Solna centrum
2016-05-03,Hagalundsgatan 42,Hagalund,Blå Solna,3,67.5,12,Lägenhet,1972,[Hagalund],2695000,1305000,4000000,2734,MOHV,956.644747627791,Solna centrum
2016-05-03,Hagalundsgatan 12,Hagalund,Blå Solna,3,74,0,Lägenhet,null,[Hagalund],2795000,105000,2900000,3656,Fastighetsbyrån,700.607716023162,Solna centrum
2016-04-30,Regnstigen 18,Hagalund,Blå Solna,2,43,3,Lägenhet,1985,[Rudviken],2475000,225000,2700000,1985,ERA,632.7774358541362,Solna centrum
2016-04-28,Regnstigen 8,Hagalund,Blå Solna,2,36.5,4,Lägenhet,1985,[Solna Rudviken],1995000,575000,2570000,1766,ERA,600.7048268865416,Solna centrum
2016-04-27,Nordstjärnegatan 2,Hagalund,Blå Solna,2,65,null,Lägenhet,1909,[Haga Norra],3395000,555000,3950000,2764,Fastighetsbyrån,992.7634451215932,Solna centrum
2016-04-26,Nordstjärnegatan 2,Hagalund,Blå Solna,4,131.6,1,Lägenhet,null,[Haga Norra],5995000,905000,6900000,5141,Svenska Mäklarhuset,992.7634451215932,Solna centrum
2016-04-23,Hagalundsgatan 44,Hagalund,Blå Solna,4,99,8,Lägenhet,1973,[Hagalund],2995000,605000,3600000,3820,Fastighetsbyrån,954.6924211534431,Solna centrum
2016-04-21,Blomgatan 18,Hagalund,Blå Solna,3,73,1,Lägenhet,1985,[Hagalundsparken],3495000,555000,4050000,2920,Fastighetsbyrån,530.0470081364502,Solna centrum
2016-04-20,Solgatan 14,Hagalund,Blå Solna,3,69,6,Lägenhet,2012,[Rudviken],3795000,515000,4310000,3943,Fastighetsbyrån,655.7008167243639,Solna centrum
2016-04-19,Solgatan 16,Hagalund,Blå Solna,3,70,6,Lägenhet,2011,[Rudviken],3895000,305000,4200000,4000,Notar,640.1709386218299,Solna centrum
2016-04-16,Solgatan 20,Hagalund,Blå Solna,5,113.5,null,Lägenhet,2012,[Hagalundsparken],4795000,525000,5320000,5821,Svensk Fastighetsförmedling,547.1930427850507,Solna centrum
2016-04-13,Kyrkbacken 35,Hagalund,Blå Solna,3,80.5,2,Lägenhet,1973,[Hagalund],2495000,565000,3060000,4688,Hemverket,609.968292827633,Solna centrum
2016-04-11,Västra vägen 19,Hagalund,Blå Solna,3,78,3,Lägenhet,1985,[Rudviken],3450000,290000,3740000,3256,Länsförsäkringar Fastighetsförmedling,508.2622022977259,Solna centrum
2016-04-09,Slottsvägen 7,Hagalund,Blå Solna,2,42,0.5,Lägenhet,1948,[Haga Norra],2095000,705000,2800000,2342,Fastighetsbyrån,1189.8157697765914,Solna centrum
2016-04-08,Kyrkbacken 14,Hagalund,Blå Solna,1,18.5,1,Lägenhet,null,[Hagalund],1395000,405000,1800000,1366,Svenska Mäklarhuset,675.917695833955,Solna centrum
