date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Karolinagatan 10A,Huvudsta,Blå Sundbyberg,1,41,1,Lägenhet,null,[Gamla Huvudsta],1995000,10000,2005000,1804,Svenska Mäklarhuset,633.3194970679268,Huvudsta
2016-05-12,Lundagatan 3A,Huvudsta,Blå Sundbyberg,3,76,3,Lägenhet,1952,[Huvudsta],2975000,355000,3330000,3882,Svensk Fastighetsförmedling,657.3549913688072,Solna centrum
2016-05-12,Johan Enbergs väg 32B,Huvudsta,Blå Sundbyberg,3,80,6,Lägenhet,1969,[Västra Skogen],3495000,380000,3875000,3686,Länsförsäkringar Fastighetsförmedling,53.70665856269224,Vastra skogen
2016-05-11,Storgatan 54,Huvudsta,Blå Sundbyberg,2,60.6,null,Lägenhet,1983,[Huvudsta],2495000,65000,2560000,2974,SkandiaMäklarna,145.2420418984609,Huvudsta
2016-05-11,Jungfrudansen 6,Huvudsta,Blå Sundbyberg,1,36,2,Lägenhet,1970,[Huvudsta],1995000,625000,2620000,1786,MOHV,176.04337671428416,Huvudsta
2016-05-09,Wiboms väg 8,Huvudsta,Blå Sundbyberg,4,103,7,Lägenhet,1967,[Huvudsta],3995000,805000,4800000,5172,One Fastighetsmäkleri,486.4061167139673,Vastra skogen
2016-05-05,Göran Perssons väg 27,Huvudsta,Blå Sundbyberg,3,80,4,Lägenhet,1971,[Huvudsta],2695000,345000,3040000,4319,Länsförsäkringar Fastighetsförmedling,526.3994485319699,Huvudsta
2016-05-05,Jungfrudansen 22,Huvudsta,Blå Sundbyberg,3,78,3,Lägenhet,1971,[Huvudsta],3995000,305000,4300000,3618,Fastighetsbyrån,231.69553992298916,Huvudsta
2016-05-05,Jungfrudansen 15,Huvudsta,Blå Sundbyberg,3,81,1,Lägenhet,1973,[Huvudsta],2995000,455000,3450000,4456,Fastighetsbyrån,265.8523489239584,Huvudsta
2016-05-04,Jungfrudansen 10,Huvudsta,Blå Sundbyberg,2,64,3,Lägenhet,1971,[Huvudsta],2895000,505000,3400000,3175,Mäklarhuset,197.69965572408393,Huvudsta
2016-05-04,Armégatan 7,Huvudsta,Blå Sundbyberg,3,66,5,Lägenhet,2008,[Huvudsta],3195000,455000,3650000,3944,Fastighetsbyrån,592.6177865445015,Vastra skogen
2016-05-04,Bygatan 5,Huvudsta,Blå Sundbyberg,2,59,2,Lägenhet,null,[Huvudsta],2495000,425000,2920000,2904,Svenska Mäklarhuset,313.62022158138774,Huvudsta
2016-05-04,Infanterigatan 19,Huvudsta,Blå Sundbyberg,2,56.5,2,Lägenhet,1962,[Huvudsta],2595000,10000,2605000,2775,Fastighetsbyrån,483.9353398444884,Vastra skogen
2016-05-03,Armégatan 7,Huvudsta,Blå Sundbyberg,5,111.5,7,Lägenhet,2008,[Västra Skogen],5895000,10000,5905000,6750,Länsförsäkringar Fastighetsförmedling,592.6177865445015,Vastra skogen
2016-04-29,Jungfrudansen 9,Huvudsta,Blå Sundbyberg,2,48,1,Lägenhet,1972,[Jungfrudansen],1995000,435000,2430000,2745,Notar,166.65750087300756,Huvudsta
2016-04-29,Johan Enbergs väg 32A,Huvudsta,Blå Sundbyberg,2,48,1,Lägenhet,1969,[Västra Skogen],2450000,300000,2750000,2493,Notar,47.59630536011344,Vastra skogen
2016-04-29,Lundagatan 2B,Huvudsta,Blå Sundbyberg,2,63,5,Lägenhet,2013,[Västra Skogen],3395000,115000,3510000,3100,Svensk Fastighetsförmedling,654.6000840420008,Vastra skogen
2016-04-28,Johan Enbergs väg 46B,Huvudsta,Blå Sundbyberg,3,80.4,2,Lägenhet,1969,[Huvudsta],3495000,695000,4190000,4020,Länsförsäkringar Fastighetsförmedling,196.06734568604557,Vastra skogen
2016-04-28,Krysshammarvägen 22,Huvudsta,Blå Sundbyberg,3,81.6,2,Lägenhet,1966,[Västra Skogen],3395000,105000,3500000,2903,Svensk Fastighetsförmedling,477.9795140361325,Huvudsta
2016-04-28,Infanterigatan 7,Huvudsta,Blå Sundbyberg,2,56.5,2,Lägenhet,1962,[Huvudsta],2495000,405000,2900000,2781,Länsförsäkringar Fastighetsförmedling,438.868163839047,Vastra skogen
