date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-13,Bokbindarvägen 84,Hägerstensåsen,Röd Fruängen,2,57,4,Lägenhet,null,[Hägerstensåsen],2795000,655000,3450000,2483,Svenska Mäklarhuset,532.5286877427218,Axelsberg
2016-05-12,Lotterivägen 14,Hägerstensåsen,Röd Fruängen,2,56,3,Lägenhet,1948,[Hägersten],2495000,715000,3210000,3408,Erik Olsson Fastighetsförmedling,272.1492102708468,Hagerstensasen
2016-05-12,Förskottsvägen 6,Hägerstensåsen,Röd Fruängen,2,55,1,Lägenhet,1947,[Hägersten],2495000,455000,2950000,3108,Erik Olsson Fastighetsförmedling,395.3093037928552,Hagerstensasen
2016-05-11,Lotterivägen 3,Hägerstensåsen,Röd Fruängen,3,55,3,Lägenhet,1946,[Hägerstensåsen],2495000,565000,3060000,2953,Länsförsäkringar Fastighetsförmedling,294.6151558683451,Hagerstensasen
2016-05-07,Riksdalervägen 9,Hägerstensåsen,Röd Fruängen,3,69,4,Lägenhet,null,[Hägerstensåsen],3195000,805000,4000000,2613,Svenska Mäklarhuset,362.34190626964073,Hagerstensasen
2016-05-07,Sparbanksvägen 72,Hägerstensåsen,Röd Fruängen,2,42,3,Lägenhet,1945,[Hägerstensåsen],1995000,645000,2640000,3179,Notar,365.74558200302664,Hagerstensasen
2016-05-04,Sparbanksvägen 64,Hägerstensåsen,Röd Fruängen,3,56,1,Lägenhet,1945,[Hägerstensåsen],2395000,375000,2770000,4388,Fastighetsbyrån,330.6890118563677,Hagerstensasen
2016-05-04,Bokbindarvägen 78,Hägerstensåsen,Röd Fruängen,2,50,3,Lägenhet,1944,[Hägerstensåsen],2395000,405000,2800000,3980,Fastighetsbyrån,526.1640458162977,Axelsberg
2016-05-04,Arvodesvägen 19,Hägerstensåsen,Röd Fruängen,2,53,3,Lägenhet,null,[Hägerstensåsen],2595000,85000,2680000,3569,Fastighetsbyrån,532.6842533340202,Hagerstensasen
2016-05-04,Arvodesvägen 6,Hägerstensåsen,Röd Fruängen,2,48,1,Lägenhet,1944,[Hägerstensåsen],2195000,5000,2200000,4381,HusmanHagberg,491.7011878441392,Hagerstensasen
