date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-13,Harpsundsvägen 105,Högdalen,Grön Hagsätra,3,81,2,Lägenhet,1955,[Högdalens Centrum],2595000,355000,2950000,3981,HusmanHagberg,227.34383419578302,Hagdalen
2016-05-13,Skebokvarnsvägen 277,Högdalen,Grön Hagsätra,3,75,3,Lägenhet,1956,[Högdalen],1995000,475000,2470000,3922,Mäklarringen,403.96742311719777,Hagdalen
2016-05-11,Skebokvarnsvägen 366,Högdalen,Grön Hagsätra,3,66,12,Lägenhet,2008,[Högdalen],1995000,715000,2710000,4654,Mäklarhuset,270.35771006779817,Hagdalen
2016-05-11,Harpsundsvägen 117,Högdalen,Grön Hagsätra,4,80,2,Lägenhet,null,[Högdalen],2595000,505000,3100000,3909,Svenska Mäklarhuset,299.8150522353257,Hagdalen
2016-05-06,Trollesundsvägen 151,Högdalen,Grön Hagsätra,2,60,null,Lägenhet,1955,[Högdalen],1995000,405000,2400000,2888,Notar,490.6346785204245,Hagdalen
2016-05-04,Trollesundsvägen 106,Högdalen,Grön Hagsätra,3.5,80,3,Lägenhet,null,[Enskede-Årsta-Vantör],2495000,495000,2990000,4045,SkandiaMäklarna,402.36427248234264,Hagdalen
2016-05-04,Edestavägen 24,Högdalen,Grön Hagsätra,2,62,4,Lägenhet,null,[Högdalen],2395000,215000,2610000,3776,Svenska Mäklarhuset,339.8027775683366,Hagdalen
2016-04-29,Skebokvarnsvägen 245,Högdalen,Grön Hagsätra,5,108,11,Lägenhet,null,[Bandhagen],3495000,30000,3525000,5725,Svensk Fastighetsförmedling,470.9047032488954,Hagdalen
2016-04-27,Harpsundsvägen 84A,Högdalen,Grön Hagsätra,2,41,null,Lägenhet,2013,[Högdalen],1895000,475000,2370000,2571,Notar,262.4577546993003,Hagdalen
2016-04-27,Önskehemsgatan 10,Högdalen,Grön Hagsätra,3,58,1,Lägenhet,1956,[Bandhagen],2195000,355000,2550000,3066,Notar,398.280247926213,Hagdalen
2016-04-26,Trollesundsvägen 153,Högdalen,Grön Hagsätra,4,81,null,Lägenhet,1955,[Högdalen],2495000,615000,3110000,4045,Notar,480.63891667575695,Hagdalen
2016-04-23,Trollesundsvägen 143,Högdalen,Grön Hagsätra,2,61,2,Lägenhet,1954,[Bandhagen],2050000,180000,2230000,2975,Svensk Fastighetsförmedling,475.1772171617425,Hagdalen
2016-04-22,Harpsundsvägen 49,Högdalen,Grön Hagsätra,4,83,3,Lägenhet,1954,[Högdalen],2995000,115000,3110000,4149,Länsförsäkringar Fastighetsförmedling,172.6310092272846,Hagdalen
2016-04-21,Harpsundsvägen 107,Högdalen,Grön Hagsätra,2,37.5,null,Lägenhet,1955,[Högdalen],1895000,245000,2140000,1971,Fastighetsbyrån,234.62871927002445,Hagdalen
2016-04-20,Skebokvarnsvägen 267,Högdalen,Grön Hagsätra,3,74,2,Lägenhet,1956,[Högdalen],2400000,430000,2830000,3859,Mäklarhuset,400.2971092060784,Hagdalen
2016-04-19,Trollesundsvägen 153,Högdalen,Grön Hagsätra,4,80.5,null,Lägenhet,null,[Högdalen],3160000,0,3160000,3593,Länsförsäkringar Fastighetsförmedling,480.63891667575695,Hagdalen
