date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-13,Fridensborgsvägen 149,Järvastaden,Blå Solna,3,80,2,Lägenhet,2015,[Järvastaden],3795000,0,3795000,4346,Notar,926.054416071792,Hallonbergen
2016-05-12,Brotorps Allé 5,Järvastaden,Blå Solna,1,33.5,1,Lägenhet,2016,[Järvastaden],2100000,0,2100000,1973,Mäklarringen,833.6664344255788,Hallonbergen
2016-05-12,Fridensborgsvägen 43,Järvastaden,Blå Solna,3,80,2,Lägenhet,null,[Järvastaden],3695000,355000,4050000,4139,Svenska Mäklarhuset,1369.9069242425219,Hallonbergen
2016-05-12,Fridensborgsvägen 42,Järvastaden,Blå Solna,2,40,3,Lägenhet,null,[Järvastaden],2395000,205000,2600000,2193,Svenska Mäklarhuset,1474.3912494229849,Hallonbergen
2016-05-11,Vinthundsgatan 113,Järvastaden,Blå Solna,3,80,4,Lägenhet,2012,[Brotorp],4295000,405000,4700000,3840,Fastighetsbyrån,781.9957788289726,Hallonbergen
2016-05-11,Fridensborgsvägen 145,Järvastaden,Blå Solna,3,69,2,Lägenhet,2016,[Järvastaden],3750000,-100000,3650000,4163,Fastighetsmäklarna,926.054416071792,Hallonbergen
2016-05-05,Honnörsgatan 26,Järvastaden,Blå Solna,3,75,2,Lägenhet,2008,[Järvastaden],3595000,355000,3950000,4821,Svensk Fastighetsförmedling,1367.5774782137796,Hallonbergen
2016-05-05,Brukshundsvägen 28,Järvastaden,Blå Solna,2,64,3,Lägenhet,2015,[Brotorp],3895000,400000,4295000,3653,Fastighetsbyrån,790.2168903003841,Hallonbergen
2016-05-04,Dammtorps Allé 1,Järvastaden,Blå Solna,3,83,2,Lägenhet,2014,[Järvastaden],3895000,105000,4000000,4266,Fastighetsbyrån,1096.626827019287,Hallonbergen
2016-05-03,Brukshundsvägen 28,Järvastaden,Blå Solna,4,108,null,Lägenhet,2014,[Järvastaden],4975000,555000,5530000,6165,Erik Olsson Fastighetsförmedling,790.2168903003841,Hallonbergen
2016-05-03,Fridensborgsvägen 19,Järvastaden,Blå Solna,2,53,3,Lägenhet,2009,[Järvastaden],2525000,325000,2850000,3058,Notar,1494.502581668873,Hallonbergen
2016-05-03,Brotorps Allé 8,Järvastaden,Blå Solna,3,84.5,1,Lägenhet,null,[Järvastaden],4195000,0,4195000,4267,Notar,834.0801364413715,Hallonbergen
2016-05-03,Fridensborgsvägen 50,Järvastaden,Blå Solna,2,41,2,Lägenhet,2009,[Järvastaden],2395000,185000,2580000,2225,Erik Olsson Fastighetsförmedling,1459.1159851222437,Hallonbergen
2016-05-03,Fridensborgsvägen 143,Järvastaden,Blå Solna,2,43,3,Lägenhet,2016,[Järvastaden],2550000,50000,2600000,3090,Erik Olsson Fastighetsförmedling,926.054416071792,Hallonbergen
2016-05-02,Fridensborgsvägen 145,Järvastaden,Blå Solna,5,111,1,Lägenhet,2016,[Järvastaden],5795000,-195000,5600000,5855,HusmanHagberg,926.054416071792,Hallonbergen
2016-05-02,Honnörsgatan 9,Järvastaden,Blå Solna,4,89,3,Lägenhet,2007,[Järvastaden],3995000,155000,4150000,5119,Notar,1252.622072305516,Hallonbergen
2016-05-02,Brogatan 4,Järvastaden,Blå Solna,2,57,4,Lägenhet,2014,[Järvastaden],2395000,505000,2900000,3081,Notar,726.8690941419057,Hallonbergen
2016-04-28,Dammtorps Allé 2,Järvastaden,Blå Solna,4,99,2,Lägenhet,2013,[Järvastaden],4595000,330000,4925000,4986,Notar,1095.1336915645345,Hallonbergen
2016-04-28,Honnörsgatan 19,Järvastaden,Blå Solna,3,84,1,Lägenhet,2008,[Järvastaden],3895000,5000,3900000,3838,Hemverket,1406.994399328809,Hallonbergen
2016-04-27,Honnörsgatan 23,Järvastaden,Blå Solna,2,57,3,Lägenhet,2008,[Järvastaden],2695000,425000,3120000,2924,Fastighetsbyrån,1383.1814356339603,Hallonbergen
2016-04-27,Fridensborgsvägen 112,Järvastaden,Blå Solna,5,110,3,Lägenhet,null,[Järvastaden],5950000,0,5950000,5358,Fastighetsbyrån,1065.0568305479133,Hallonbergen
2016-04-26,Fridensborgsvägen 141,Järvastaden,Blå Solna,3,76,2,Lägenhet,2015,[Järvastaden],3995000,205000,4200000,4198,Fastighetsbyrån,1039.763106908648,Hallonbergen
2016-04-26,Dammtorps Allé 19,Järvastaden,Blå Solna,4,87,3,Lägenhet,2015,[Järvastaden],3995000,280000,4275000,4541,MOHV,961.6128274046318,Hallonbergen
2016-04-23,Brotorps Allé 5,Järvastaden,Blå Solna,2,42,1,Lägenhet,2015,[Järvastaden],2495000,50000,2545000,2324,Erik Olsson Fastighetsförmedling,833.6664344255788,Hallonbergen
2016-04-22,Brotorpsvägen 28,Järvastaden,Blå Solna,7,154,null,Radhus,2016,[Järvastaden],7350000,1175000,8525000,null,Susanne Persson Fastighetsförmedling AB,995.4401535164664,Hallonbergen
2016-04-21,Vinthundsgatan 88,Järvastaden,Blå Solna,2,57,3,Lägenhet,2015,[Järvastaden],2395000,805000,3200000,2968,Notar,765.7281186322933,Hallonbergen
2016-04-21,Brogatan 12,Järvastaden,Blå Solna,4,87.5,1,Lägenhet,2014,[Brotorp],3995000,255000,4250000,4627,Fastighetsbyrån,687.4843483973435,Hallonbergen
2016-04-20,Fridensborgsvägen 21,Järvastaden,Blå Solna,2,64,2,Lägenhet,2009,[Järvastaden],2950000,360000,3310000,3439,Erik Olsson Fastighetsförmedling,1484.5904278801902,Hallonbergen
2016-04-20,Brotorpsvägen 9,Järvastaden,Blå Solna,2,72,4,Lägenhet,2013,[Järvastaden],3250000,350000,3600000,3838,Erik Olsson Fastighetsförmedling,787.1555616995754,Hallonbergen
2016-04-20,Fridensborgsvägen 16,Järvastaden,Blå Solna,2,44,null,Lägenhet,2010,[Järvastaden],2600000,-75000,2525000,2695,Fastighetsbyrån,1507.2702644411875,Hallonbergen
2016-04-20,Fridensborgsvägen 62,Järvastaden,Blå Solna,5,102,2,Lägenhet,2011,[Järvastaden],4995000,780000,5775000,4039,Fastighetsbyrån,1527.7497082339894,Hallonbergen
2016-04-20,Honnörsgatan 26,Järvastaden,Blå Solna,2,60,2,Lägenhet,2007,[Järvastaden],2875000,5000,2880000,4174,Erik Olsson Fastighetsförmedling,1367.5774782137796,Hallonbergen
2016-04-19,Fridensborgsvägen 14,Järvastaden,Blå Solna,4,92,2,Lägenhet,2010,[Järvastaden],4295000,230000,4525000,4638,Notar,1545.9720250540893,Hallonbergen
2016-04-19,Fridensborgsvägen 145,Järvastaden,Blå Solna,3,69,5,Lägenhet,2015,[Järvastaden],3850000,0,3850000,3943,Notar,926.054416071792,Hallonbergen
2016-04-18,Fridensborgsvägen 36,Järvastaden,Blå Solna,5,112,5,Lägenhet,2011,[Järvastaden],5900000,-175000,5725000,5412,Fastighetsbyrån,1541.3750122920667,Hallonbergen
2016-04-15,Brogatan 16,Järvastaden,Blå Solna,1.5,34,4,Lägenhet,2009,[Järvastaden],1995000,165000,2160000,2459,Länsförsäkringar Fastighetsförmedling,638.7307192381455,Hallonbergen
2016-04-14,Brogatan 6,Järvastaden,Blå Solna,3,79.5,1,Lägenhet,2015,[Sundbyberg Brotorp],3495000,-90000,3405000,4340,Notar,713.967983976657,Hallonbergen
2016-04-13,Våtmarksvägen 60,Järvastaden,Blå Solna,2,43,4,Lägenhet,null,[Järvastaden],2775000,-315000,2460000,2598,Svenska Mäklarhuset,900.643414096387,Hallonbergen
2016-04-12,Mönstringsvägen 10,Järvastaden,Blå Solna,4,95,5,Lägenhet,2008,[Järvastaden],4195000,805000,5000000,4667,Fastighetsbyrån,1366.3290971021124,Hallonbergen
2016-04-12,Honnörsgatan 9,Järvastaden,Blå Solna,2,53,2,Lägenhet,2007,[Järvastaden],2595000,305000,2900000,3340,Fastighetsbyrån,1252.622072305516,Hallonbergen
2016-04-12,Dammtorps Allé 19,Järvastaden,Blå Solna,2,55,4,Lägenhet,2015,[Järvastaden],2495000,105000,2600000,3334,Fastighetsbyrån,961.6128274046318,Hallonbergen
2016-04-09,Järva Skjutbaneväg 56,Järvastaden,Blå Solna,3,80,2,Lägenhet,null,[Järvastaden],3795000,705000,4500000,3449,Svenska Mäklarhuset,1164.4928240050406,Hallonbergen
2016-04-08,Dammtorps Allé 19,Järvastaden,Blå Solna,2,55,3,Lägenhet,2015,[Järvastaden],2495000,55000,2550000,3128,BOSTHLM,961.6128274046318,Hallonbergen
2016-04-08,Brotorps Allé 6,Järvastaden,Blå Solna,2,42,1,Lägenhet,2015,[Järvastaden],2400000,0,2400000,2324,Länsförsäkringar Fastighetsförmedling,849.8600674398095,Hallonbergen
2016-04-06,Brotorpsvägen 11,Järvastaden,Blå Solna,2,64,1,Lägenhet,null,[Järvastaden],2895000,0,2895000,3757,Diplomat Fastighetsmäkleri AB,805.2437723082819,Hallonbergen
2016-04-06,Vinthundsgatan 84,Järvastaden,Blå Solna,2,44.5,3,Lägenhet,2015,[Järvastaden],2495000,195000,2690000,2432,Hemverket,928.202037314954,Hallonbergen
2016-04-06,Fridensborgsvägen 147,Järvastaden,Blå Solna,2,65,1,Lägenhet,2015,[Järvastaden],3450000,0,3450000,3721,Notar,926.054416071792,Hallonbergen
2016-04-06,Brotorpsvägen 3,Järvastaden,Blå Solna,2,56,4,Lägenhet,2012,[Järvastaden],2795000,55000,2850000,3269,Erik Olsson Fastighetsförmedling,796.0291341131458,Hallonbergen
2016-04-05,Våtmarksvägen 62,Järvastaden,Blå Solna,2,52,3,Lägenhet,2015,[Järvastaden],2645000,-45000,2600000,3195,Hemverket,880.2992582152973,Hallonbergen
2016-03-31,Våtmarksvägen 60,Järvastaden,Blå Solna,1,36,4,Lägenhet,2015,[Järvastaden],1995000,355000,2350000,2454,Mäklarringen,900.643414096387,Hallonbergen
2016-03-31,Dammtorps Allé 10,Järvastaden,Blå Solna,2,48,1,Lägenhet,2013,[Järvastaden],2450000,430000,2880000,2692,Erik Olsson Fastighetsförmedling,976.1725512126025,Hallonbergen
2016-03-30,Dammtorps Allé 17,Järvastaden,Blå Solna,4,89,null,Lägenhet,2015,[Järvastaden],4450000,-125000,4325000,4910,Fastighetsmäklarna,915.7786576198451,Hallonbergen
