date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-11,Roddargatan 8,Katarina,Södermalm,3,73,1,Lägenhet,1974,[Katarina],4995000,1505000,6500000,2653,Fastighetsbyrån,373.8251718598227,Slussen
2016-05-06,Tjärhovsgatan 22,Katarina,Södermalm,1,19,4,Lägenhet,1940,[Södermalm-Katarina-Sofo],1795000,505000,2300000,2128,Södermäklarna,274.0277827296389,Medborgarplatsen
2016-05-05,Folkungagatan 53,Katarina,Södermalm,2.5,60,4,Lägenhet,1932,[Södermalm],3990000,370000,4360000,2433,Fantastic Frank Fastighetsmäkleri,120.73784847899095,Medborgarplatsen
2016-05-01,Tjärhovsgatan 12,Katarina,Södermalm,4,93,2,Lägenhet,1913,[Södermalm Katarina],7500000,35000,7535000,2901,Bjurfors,174.66839260198935,Medborgarplatsen
2016-04-30,Folkungagatan 71,Katarina,Södermalm,5,114,4,Lägenhet,1971,[Södermalm],7495000,905000,8400000,3338,Innerstadsspecialisten AB,293.4660892340899,Medborgarplatsen
2016-04-29,Tjärhovsgatan 10,Katarina,Södermalm,1,29.2,4,Lägenhet,1930,[Södermalm],2490000,310000,2800000,1360,Länsförsäkringar Fastighetsförmedling,162.60335857076984,Medborgarplatsen
2016-04-29,Östgötagatan 29,Katarina,Södermalm,1,34,3,Lägenhet,1912,[Södermalm],2495000,415000,2910000,797,Erik Olsson Fastighetsförmedling,227.51970217091718,Medborgarplatsen
2016-04-24,Svartensgatan 10,Katarina,Södermalm,2,37,2,Lägenhet,null,[Södermalm],2995000,435000,3430000,2383,Länsförsäkringar Fastighetsförmedling,249.9283113023046,Slussen
2016-04-22,Folkungagatan 61,Katarina,Södermalm,5,167,2,Lägenhet,1912,[Södermalm],11500000,-250000,11250000,4305,Tradition Fastighetsmäkleri AB,200.51052454685652,Medborgarplatsen
2016-04-21,Svartensgatan 10,Katarina,Södermalm,1,21,3,Lägenhet,1930,[Södermalm Katarina],1995000,580000,2575000,1376,HusmanHagberg,249.9283113023046,Slussen
2016-04-21,Östgötagatan 18,Katarina,Södermalm,3,84,1,Lägenhet,1910,[Katarina],6495000,1105000,7600000,1434,Fastighetsbyrån,224.97872253366967,Medborgarplatsen
2016-04-19,Folkungagatan 53,Katarina,Södermalm,2,45,4,Lägenhet,1932,[Södermalm],3195000,105000,3300000,1954,Erik Olsson Fastighetsförmedling,120.73784847899095,Medborgarplatsen
2016-04-19,Tjärhovsgatan 22,Katarina,Södermalm,1,19,5,Lägenhet,1940,[Södermalm-Katarina],1875000,225000,2100000,2128,Södermäklarna,274.0277827296389,Medborgarplatsen
2016-04-12,Svartensgatan 10,Katarina,Södermalm,1,21,2,Lägenhet,1930,[Södermalm Katarina],1995000,630000,2625000,1376,Bjurfors,249.9283113023046,Slussen
2016-04-12,Östgötagatan 19,Katarina,Södermalm,4,98,3,Lägenhet,1885,[Katarina],5995000,1355000,7350000,5361,Fastighetsbyrån,302.93889362088186,Medborgarplatsen
2016-03-17,Götgatan 25,Katarina,Södermalm,3,104,1,Lägenhet,null,[Katarina],7450000,900000,8350000,3013,Fastighetsbyrån,249.17290237888213,Slussen
2016-03-17,Tjärhovsgatan 40,Katarina,Södermalm,2,59,2,Lägenhet,1906,[Södermalm],4500000,300000,4800000,2349,Per Jansson Fastighetsförmedling,489.7901447073399,Medborgarplatsen
2016-03-17,Katarina Västra Kyrkogata 6B,Katarina,Södermalm,2,59,1.5,Lägenhet,1914,[Södermalm],4495000,895000,5390000,2409,Svensk Fastighetsförmedling,363.1824483798167,Medborgarplatsen
2016-03-17,Nytorgsgatan 19,Katarina,Södermalm,2,62.4,2,Lägenhet,1911,[Södermalm],4500000,900000,5400000,1116,Mäklarringen,486.26296857922057,Medborgarplatsen
2016-02-26,Folkungagatan 61,Katarina,Södermalm,5,145,2,Lägenhet,1912,[Södermalm],10500000,1750000,12250000,3628,Erik Olsson Fastighetsförmedling,200.51052454685652,Medborgarplatsen
2016-02-25,Tjärhovsgatan 22,Katarina,Södermalm,1,19,4,Lägenhet,1940,[Södermalm],1895000,415000,2310000,2128,Mäklarhuset,274.0277827296389,Medborgarplatsen
2016-02-25,Tjärhovsgatan 40,Katarina,Södermalm,3,70,2,Lägenhet,1906,[Södermalm Katarina],5950000,775000,6725000,2629,HusmanHagberg,489.7901447073399,Medborgarplatsen
2016-02-23,Svartensgatan 26,Katarina,Södermalm,3,88,1,Lägenhet,1910,[Södermalm],7590000,1810000,9400000,4736,Mäklarhuset,300.78146952543403,Slussen
2016-02-19,Svartensgatan 1,Katarina,Södermalm,4.5,106,2,Lägenhet,null,[Södermalm],9500000,0,9500000,3061,BOSTHLM,241.02456872092714,Slussen
2016-02-19,Hökens gata 1,Katarina,Södermalm,5,151,null,Lägenhet,1984,[Södermalm],9995000,2355000,12350000,2165,Innerstadsspecialisten AB,169.60741710901533,Slussen
2016-02-18,Högbergsgatan 30B,Katarina,Södermalm,3,79,3,Lägenhet,1901,[Södermalm],5295000,1905000,7200000,2712,Notar,297.30562318111015,Slussen
2016-01-29,Tjärhovsgatan 22,Katarina,Södermalm,1,19,3,Lägenhet,1940,[Södermalm Katarina],1875000,175000,2050000,2257,Bjurfors,274.0277827296389,Medborgarplatsen
2016-01-28,Tjärhovsgatan 22,Katarina,Södermalm,1,24,5,Lägenhet,1940,[Södermalm-Katarina],2250000,200000,2450000,2688,Södermäklarna,274.0277827296389,Medborgarplatsen
2016-01-27,Folkungagatan 91,Katarina,Södermalm,2,68,null,Lägenhet,1903,[Södermalm-Sofo],4995000,1205000,6200000,2926,Innerstadsspecialisten AB,512.4485040455885,Medborgarplatsen
2016-01-21,Folkungagatan 97,Katarina,Södermalm,3,80,4,Lägenhet,1898,[Katarina],6650000,1100000,7750000,3101,Notar,573.0957996145702,Medborgarplatsen
2016-01-20,Kapellgränd 6,Katarina,Södermalm,1,26,0,Lägenhet,1884,[Södermalm-Katarina],2150000,650000,2800000,1363,Södermäklarna,271.4492278746145,Medborgarplatsen
2016-01-14,Högbergsgatan 24,Katarina,Södermalm,3,62,1,Lägenhet,1930,[Katarina],4495000,1085000,5580000,3622,Fastighetsbyrån,352.2030483406401,Slussen
2015-12-11,Tjärhovsgatan 14,Katarina,Södermalm,2,51.5,5,Lägenhet,1914,[Katarina],3975000,725000,4700000,1332,Fastighetsbyrån,188.220622897803,Medborgarplatsen
2015-12-09,Tjärhovsgatan 10,Katarina,Södermalm,1,28.9,2,Lägenhet,1930,[Katarina],2250000,775000,3025000,1287,Fastighetsbyrån,162.60335857076984,Medborgarplatsen
2015-12-04,Mosebacke Torg 14,Katarina,Södermalm,2,35,2,Lägenhet,1864,[Södermalm-Mosebacke],3250000,650000,3900000,1881,Södermäklarna,256.04309255057984,Slussen
2015-12-03,Svartensgatan 28A,Katarina,Södermalm,1.5,40.5,2,Lägenhet,1887,[Södermalm Katarina],3050000,1010000,4060000,1836,HusmanHagberg,320.8213441189571,Slussen
2015-12-02,Katarina Västra Kyrkogata 4,Katarina,Södermalm,2,60,4,Lägenhet,1914,[Södermalm],3975000,475000,4450000,3172,SkandiaMäklarna,364.0438584750243,Medborgarplatsen
2015-12-02,Folkungagatan 97,Katarina,Södermalm,2,52,1,Lägenhet,1898,[Katarina],3995000,575000,4570000,2028,Svensk Fastighetsförmedling,573.0957996145702,Medborgarplatsen
2015-12-02,Folkungagatan 81,Katarina,Södermalm,3,85,5,Lägenhet,1906,[Katarina],6495000,1085000,7580000,2858,Fastighetsbyrån,398.7395555830442,Medborgarplatsen
