date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Sorögatan 17,Kista,Blå Solna,2,68,-1,Lägenhet,null,[Kista],1995000,0,1995000,3772,Fastighetsbyrån,181.77449444827027,Kista
2016-05-13,Helsingörsgatan 34,Kista,Blå Solna,3,81,3,Lägenhet,1978,[Kista],2200000,300000,2500000,4619,HusmanHagberg,350.4533294929945,Kista
2016-05-13,Själlandsgatan 87,Kista,Blå Solna,4,102,null,Radhus,1979,[Kista],3295000,225000,3520000,null,Länsförsäkringar Fastighetsförmedling,669.7097920611328,Kista
2016-05-13,Langelandsgatan 53,Kista,Blå Solna,1,36.5,3,Lägenhet,1980,[Kista],1700000,260000,1960000,2072,HusmanHagberg,423.8592654735747,Kista
2016-05-13,Sorögatan 7,Kista,Blå Solna,5,118,3,Lägenhet,1978,[Kista],2995000,70000,3065000,6718,HusmanHagberg,161.1420472427535,Kista
2016-05-13,Helsingörsgatan 50,Kista,Blå Solna,3,81,2,Lägenhet,1978,[Rinkeby-Kista],2495000,215000,2710000,4571,SkandiaMäklarna,422.14943287232046,Kista
2016-05-12,Köpenhamnsgatan 8,Kista,Blå Solna,2,45,1,Lägenhet,1978,[Kista],1895000,165000,2060000,2716,Fastighetsbyrån,197.7844294880572,Kista
2016-05-12,Borgarfjordsgatan 21A,Kista,Blå Solna,3,75,33,Lägenhet,2015,[Kista],3995000,-95000,3900000,4160,BOSTHLM,205.90074542290048,Kista
2016-05-11,Helsingörsgatan 19,Kista,Blå Solna,3,74.5,-1,Lägenhet,1979,[Kista],2495000,515000,3010000,3189,Fastighetsbyrån,343.415672279593,Kista
2016-05-11,Sorögatan 107,Kista,Blå Solna,6,118,3,Lägenhet,1977,[Kista],2990000,0,2990000,7999,HusmanHagberg,483.3030906694873,Kista
2016-05-11,Ringstedsgatan 33,Kista,Blå Solna,4,103.5,null,Lägenhet,1980,[Kista],2795000,205000,3000000,5796,Fastighetsbyrån,594.70830238977,Kista
2016-05-11,Lollandsgatan 31,Kista,Blå Solna,3,83.5,1,Lägenhet,1980,[Kista],2295000,155000,2450000,4187,Svensk Fastighetsförmedling,584.7600667772186,Kista
2016-05-11,Kastrupgatan 16,Kista,Blå Solna,3,81,3,Lägenhet,1977,[Kista],2750000,300000,3050000,4576,HusmanHagberg,285.9640726910327,Kista
2016-05-10,Sorögatan 3,Kista,Blå Solna,2,56,null,Lägenhet,null,[Kista],2175000,0,2175000,3290,Falgert FastighetsFörmedling AB,136.78484567347473,Kista
2016-05-04,Själlandsgatan 93,Kista,Blå Solna,4,102,null,Parhus,1979,[Kista],3195000,155000,3350000,null,Fastighetsbyrån,657.4203477429007,Kista
2016-05-04,Sorögatan 7,Kista,Blå Solna,1,36.5,4,Lägenhet,1976,[Kista],1645000,295000,1940000,2227,ERA,161.1420472427535,Kista
2016-05-02,Borgarfjordsgatan 21A,Kista,Blå Solna,2,59,30,Lägenhet,2016,[Kista],3200000,-125000,3075000,3646,SthlmFast,205.90074542290048,Kista
2016-04-29,Ringstedsgatan 33,Kista,Blå Solna,4,99.5,2,Lägenhet,1979,[Kista],2995000,125000,3120000,5988,HusmanHagberg,594.70830238977,Kista
2016-04-28,Helsingörsgatan 37,Kista,Blå Solna,2,45,1,Lägenhet,1978,[Kista],1895000,215000,2110000,2880,Fastighetsbyrån,432.9713872874477,Kista
2016-04-28,Helsingörsgatan 40,Kista,Blå Solna,3,77,1,Lägenhet,1978,[Kista],2295000,105000,2400000,4153,HusmanHagberg,378.772450740502,Kista
2016-04-23,Kastrupgatan 14,Kista,Blå Solna,1,36.5,4,Lägenhet,1978,[Kista],2050000,-100000,1950000,2405,HusmanHagberg,237.61299869597653,Kista
2016-04-22,Helsingörsgatan 34,Kista,Blå Solna,2,56,1,Lägenhet,1978,[Kista],1975000,120000,2095000,3282,Fastighetsbyrån,350.4533294929945,Kista
2016-04-22,Helsingörsgatan 5,Kista,Blå Solna,2,45,1,Lägenhet,1978,[Kista],1795000,255000,2050000,2573,HusmanHagberg,280.40426475464443,Kista
2016-04-19,Köpenhamnsgatan 16,Kista,Blå Solna,3,81,2,Lägenhet,1978,[Kista],2675000,225000,2900000,3560,Fastighetsbyrån,232.3829276957411,Kista
2016-04-19,Helsingörsgatan 29,Kista,Blå Solna,3,79.5,1,Lägenhet,1978,[Kista],2575000,25000,2600000,4309,Fastighetsbyrån,382.2522476659916,Kista
2016-04-19,Borgarfjordsgatan 21A,Kista,Blå Solna,2,66,20,Lägenhet,null,[Kista Centrum],2795000,0,2795000,3977,Notar,205.90074542290048,Kista
2016-04-18,Borgarfjordsgatan 21A,Kista,Blå Solna,3,75,25,Lägenhet,2015,[Rinkeby-Kista],3295000,105000,3400000,4490,SkandiaMäklarna,205.90074542290048,Kista
2016-04-15,Helsingörsgatan 42,Kista,Blå Solna,2,45,1,Lägenhet,1978,[Kista],1800000,220000,2020000,2547,HusmanHagberg,375.64421664678406,Kista
2016-04-14,Ringstedsgatan 4,Kista,Blå Solna,5,105,1,Lägenhet,1979,[Kista],2990000,0,2990000,6411,HusmanHagberg,646.2248928447746,Kista
