date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-11,Fyrskeppsvägen 38,Kärrtorp,Grön Skarpnäck,2,58,2,Lägenhet,1949,[Kärrtorp],2195000,380000,2575000,3542,Mäklarhuset,686.0377550729821,Blasut
2016-05-05,Vikstensvägen 11,Kärrtorp,Grön Skarpnäck,3.5,69,3,Lägenhet,1950,[Johanneshov],3300000,220000,3520000,4370,Erik Olsson Fastighetsförmedling,79.34241844398326,Karrtorp
2016-05-02,Fyrskeppsvägen 56,Kärrtorp,Grön Skarpnäck,2,52,1,Lägenhet,null,[Kärrtorp],2500000,-205000,2295000,3175,Mäklarhuset,716.7965236440027,Karrtorp
2016-04-28,Fyrskeppsvägen 66,Kärrtorp,Grön Skarpnäck,2,58,null,Lägenhet,1949,[Kärrtorp],2295000,405000,2700000,3541,MäklarMäster,662.1659488695716,Karrtorp
2016-04-28,Kärrtorpsvägen 34,Kärrtorp,Grön Skarpnäck,1,26,6,Lägenhet,null,[Johanneshov],1795000,355000,2150000,1647,Svensk Fastighetsförmedling,49.07831076219705,Karrtorp
2016-04-26,Fyrskeppsvägen 106,Kärrtorp,Grön Skarpnäck,2,56,3,Lägenhet,1949,[Kärrtorp],2150000,310000,2460000,3614,Notar,358.8642571308031,Karrtorp
2016-04-23,Fyrskeppsvägen 85,Kärrtorp,Grön Skarpnäck,2,55,1,Lägenhet,1949,[Johanneshov],2295000,105000,2400000,3550,Svensk Fastighetsförmedling,379.53698796882276,Karrtorp
2016-04-22,Arkövägen 1,Kärrtorp,Grön Skarpnäck,3,69,2,Lägenhet,1949,[Johanneshov],3295000,255000,3550000,3163,Svensk Fastighetsförmedling,335.47262686282835,Karrtorp
2016-04-21,Söderarmsvägen 25,Kärrtorp,Grön Skarpnäck,2,46,2,Lägenhet,2008,[Johanneshov],2195000,630000,2825000,3451,Notar,231.97447727691414,Karrtorp
2016-04-20,Vikstensvägen 48,Kärrtorp,Grön Skarpnäck,1,23,1,Lägenhet,1952,[Kärrtorp],1825000,175000,2000000,1525,Hemverket,448.20268971550445,Karrtorp
2016-04-15,Vikstensvägen 21,Kärrtorp,Grön Skarpnäck,3,69,2,Lägenhet,1949,[Kärrtorp],3095000,525000,3620000,4370,Fastighetsbyrån,156.91320329014172,Karrtorp
2016-04-15,Fyrskeppsvägen 86,Kärrtorp,Grön Skarpnäck,4,79,1,Lägenhet,1949,[Kärrtorp],3895000,105000,4000000,4299,MäklarMäster,503.65533104157424,Karrtorp
2016-04-15,Fyrskeppsvägen 81,Kärrtorp,Grön Skarpnäck,3,72,1,Lägenhet,1949,[Kärrtorp],2500000,720000,3220000,4646,HusmanHagberg,389.5059961290194,Karrtorp
2016-04-13,Fyrskeppsvägen 81,Kärrtorp,Grön Skarpnäck,2,55,3,Lägenhet,1949,[Kärrtorp],1995000,725000,2720000,3550,HusmanHagberg,389.5059961290194,Karrtorp
2016-04-07,Fyrskeppsvägen 77,Kärrtorp,Grön Skarpnäck,2,55,null,Lägenhet,1949,[Kärrtorp],2295000,325000,2620000,3550,MäklarMäster,392.0373023226608,Karrtorp
2016-03-29,Kärrtorpsvägen 93,Kärrtorp,Grön Skarpnäck,3,75,3,Lägenhet,1950,[Kärrtorp],2895000,505000,3400000,4961,Notar,192.40701841486586,Karrtorp
2016-03-25,Fyrskeppsvägen 15,Kärrtorp,Grön Skarpnäck,4,88,1,Lägenhet,1949,[Kärrtorp],3795000,105000,3900000,5627,Mäklarhuset,604.7791936580077,Blasut
2016-03-24,Vikstensvägen 25,Kärrtorp,Grön Skarpnäck,3,69,2,Lägenhet,1949,[Kärrtorp],2995000,715000,3710000,4370,Fastighetsbyrån,180.5022869848502,Karrtorp
2016-03-24,Fyrskeppsvägen 130,Kärrtorp,Grön Skarpnäck,2,55,3,Lägenhet,1949,[Johanneshov],2350000,450000,2800000,3317,Svensk Fastighetsförmedling,309.0307908651985,Karrtorp
2016-03-24,Fyrskeppsvägen 50,Kärrtorp,Grön Skarpnäck,3,71,3,Lägenhet,1949,[Kärrtorp],2950000,840000,3790000,4589,Bjurfors,702.6602400208063,Karrtorp
2016-03-24,Kärrtorpsvägen 6,Kärrtorp,Grön Skarpnäck,2,59,2,Lägenhet,2009,[Kärrtorp],2495000,585000,3080000,3163,HusmanHagberg,304.8312925416716,Karrtorp
2016-03-11,Fyrskeppsvägen 34,Kärrtorp,Grön Skarpnäck,2.5,61,2,Lägenhet,null,[Kärrtorp],2395000,505000,2900000,3978,Mäklarringen,649.3388893431635,Sandsborg
2016-03-10,Gåshällsvägen 8,Kärrtorp,Grön Skarpnäck,3,71,1,Lägenhet,1952,[Kärrtorp],2600000,1075000,3675000,4027,Bjurfors,417.3849501288166,Karrtorp
2016-03-10,Gåshällsvägen 4,Kärrtorp,Grön Skarpnäck,3,59,2,Lägenhet,1952,[Kärrtorp],2150000,870000,3020000,3402,Bjurfors,404.09989784356407,Karrtorp
2016-03-09,Fyrskeppsvägen 100,Kärrtorp,Grön Skarpnäck,3,69,2,Lägenhet,1949,[Kärrtorp],2995000,805000,3800000,4453,Fastighetsbyrån,335.94056218111774,Karrtorp
2016-03-04,Fyrskeppsvägen 41,Kärrtorp,Grön Skarpnäck,3,70,2,Lägenhet,1949,[Kärrtorp],2795000,410000,3205000,4528,HusmanHagberg,674.7591757762384,Karrtorp
2016-03-03,Vikstensvägen 48,Kärrtorp,Grön Skarpnäck,3,71,1,Lägenhet,1952,[Kärrtorp],2995000,55000,3050000,4027,Södermäklarna,448.20268971550445,Karrtorp
2016-02-25,Arkövägen 7,Kärrtorp,Grön Skarpnäck,3,69,1,Lägenhet,1949,[Johanneshov],2995000,605000,3600000,3163,Svensk Fastighetsförmedling,301.4385798315395,Karrtorp
2016-02-25,Kärrtorpsvägen 93,Kärrtorp,Grön Skarpnäck,1,27,3,Lägenhet,1950,[Kärrtorp],1595000,465000,2060000,2057,HusmanHagberg,192.40701841486586,Karrtorp
2016-02-24,Fyrskeppsvägen 62,Kärrtorp,Grön Skarpnäck,2,52,3,Lägenhet,null,[Kärrtorp],2350000,425000,2775000,3421,Svenska Mäklarhuset,686.2595188136687,Karrtorp
2016-02-20,Söderarmsvägen 10,Kärrtorp,Grön Skarpnäck,3,73,1,Lägenhet,1949,[Kärrtorp],2995000,175000,3170000,4013,HusmanHagberg,418.04279350594754,Karrtorp
2016-02-18,Kärrtorpsvägen 91,Kärrtorp,Grön Skarpnäck,1,27,1,Lägenhet,1950,[Kärrtorp],1695000,455000,2150000,2152,Fastighetsbyrån,185.6773290255334,Karrtorp
2016-02-12,Vikstensvägen 9,Kärrtorp,Grön Skarpnäck,3,69,2,Lägenhet,1950,[Johanneshov],2995000,725000,3720000,4370,Svensk Fastighetsförmedling,59.81605683098531,Karrtorp
2016-02-11,Söderarmsvägen 12,Kärrtorp,Grön Skarpnäck,3,68,2,Lägenhet,1949,[Kärrtorp],2995000,0,2995000,3793,Länsförsäkringar Fastighetsförmedling,404.09625734181634,Karrtorp
2016-02-11,Vikstensvägen 48,Kärrtorp,Grön Skarpnäck,1,23,2,Lägenhet,1952,[Kärrtorp],1650000,270000,1920000,1525,Bjurfors,448.20268971550445,Karrtorp
2016-02-09,Kärrtorpsvägen 34,Kärrtorp,Grön Skarpnäck,3,66,null,Lägenhet,1950,[Kärrtorp],2695000,345000,3040000,4180,MäklarMäster,49.07831076219705,Karrtorp
2016-01-29,Fyrskeppsvägen 50,Kärrtorp,Grön Skarpnäck,3,71,3,Lägenhet,1949,[Kärrtorp],3195000,380000,3575000,4589,HusmanHagberg,702.6602400208063,Karrtorp
2016-01-28,Vikstensvägen 9,Kärrtorp,Grön Skarpnäck,3,69,null,Lägenhet,1950,[Johanneshov],2695000,665000,3360000,4370,Svensk Fastighetsförmedling,59.81605683098531,Karrtorp
2016-01-20,Kärrtorpsvägen 7,Kärrtorp,Grön Skarpnäck,2,46,3,Lägenhet,2010,[Kärrtorp],2350000,350000,2700000,2821,Mäklarringen,312.4332267881468,Karrtorp
