date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-12,Vinodlargatan 9,Liljeholmen,Röd Fruängen,3,85,2,Lägenhet,2007,[Liljeholmskajen],4795000,305000,5100000,5195,Svensk Fastighetsförmedling,655.6161115127644,Liljeholmen
2016-05-12,Sturehillsvägen 13,Liljeholmen,Röd Fruängen,3,71,-2,Lägenhet,2012,[Liljeholmskajen],4295000,240000,4535000,3998,Svensk Fastighetsförmedling,893.613102483757,Liljeholmen
2016-05-12,Sjöviksbacken 55,Liljeholmen,Röd Fruängen,2,44,2,Lägenhet,null,[Liljeholmskajen],2695000,625000,3320000,3014,Svenska Mäklarhuset,951.5746665070299,Liljeholmen
2016-05-11,Vingårdsgatan 3,Liljeholmen,Röd Fruängen,3,78,6,Lägenhet,2004,[Hägersten-Liljeholmen],5175000,925000,6100000,4811,Erik Olsson Fastighetsförmedling,602.798138639248,Liljeholmen
2016-05-11,Sjöviksvägen 88,Liljeholmen,Röd Fruängen,2,51,4,Lägenhet,null,[Liljeholmskajen],2995000,705000,3700000,3254,Svenska Mäklarhuset,824.1816747963634,Liljeholmen
2016-05-11,Lövholmsvägen 19,Liljeholmen,Röd Fruängen,2,84,2,Lägenhet,1986,[Gröndal],3195000,1015000,4210000,4542,Living Fastighetsmäkleri,343.2050032767304,Liljeholmen
2016-05-10,Sjöviksvägen 26,Liljeholmen,Röd Fruängen,2,73,1,Lägenhet,2008,[Liljeholmskajen],3495000,405000,3900000,4542,Fastighetsbyrån,478.5461940127046,Liljeholmen
2016-05-10,Nybodaringen 45,Liljeholmen,Röd Fruängen,1,27,3,Lägenhet,1936,[Nybodahöjden],1875000,310000,2185000,2376,Mäklarhuset,617.3644480105693,Midsommarkransen
2016-05-09,Vingårdsgatan 6,Liljeholmen,Röd Fruängen,3,85,2,Lägenhet,2008,[Liljeholmskajen],4895000,405000,5300000,4336,Södermäklarna,578.7703515920196,Liljeholmen
2016-05-07,Liljeholmsvägen 12,Liljeholmen,Röd Fruängen,3,78,2,Lägenhet,null,[Liljeholmen],4400000,0,4400000,4485,Svenska Mäklarhuset,321.27266135232355,Liljeholmen
2016-05-06,Årgångsgatan 7,Liljeholmen,Röd Fruängen,3,85,null,Lägenhet,2016,[Hägersten-Liljeholmen],4995000,0,4995000,4530,SkandiaMäklarna,792.9701162337665,Liljeholmen
2016-05-06,Katrinebergsbacken 32,Liljeholmen,Röd Fruängen,3,85,1,Lägenhet,1993,[Liljeholmen],4795000,355000,5150000,4199,Notar,234.13590034228878,Liljeholmen
2016-05-05,Fredsborgsgatan 17,Liljeholmen,Röd Fruängen,2.5,72,2,Lägenhet,2003,[Liljeholmskajen],4295000,255000,4550000,3565,Mäklarhuset,546.3493391555204,Liljeholmen
