date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-12,Mariehällsvägen 18,Mariehäll,Blå Sundbyberg,3,78.5,2,Lägenhet,2004,[Mariehäll],3795000,445000,4240000,5192,Länsförsäkringar Fastighetsförmedling,809.9263092689029,Sundbybergs centrum
2016-05-11,Askängsbacken 3,Mariehäll,Blå Sundbyberg,1,27,3,Lägenhet,null,[Bromma],1795000,280000,2075000,1928,Svenska Mäklarhuset,748.543342834153,Sundbybergs centrum
2016-05-06,Adolfsbergsvägen 42,Mariehäll,Blå Sundbyberg,4,124,null,Radhus,1989,[Bromma],5495000,825000,6320000,null,Svensk Fastighetsförmedling,1092.0832763966735,Sundbybergs centrum
2016-05-06,Svalvägen 3,Mariehäll,Blå Sundbyberg,3,73,2,Lägenhet,1951,[Mariehäll],2995000,205000,3200000,4904,Fastighetsbyrån,1183.5143315566409,Sundbybergs centrum
2016-05-05,Askängsbacken 16,Mariehäll,Blå Sundbyberg,3,78,1,Lägenhet,2012,[Mariehäll],3795000,505000,4300000,4651,Fastighetsbyrån,688.2861479594973,Sundbybergs centrum
2016-05-05,Alpvägen 14,Mariehäll,Blå Sundbyberg,3,76,null,Lägenhet,2008,[Bromma Mariehäll],3495000,0,3495000,4962,Notar,842.7114704862273,Duvbo
2016-05-02,Solbergsvägen 47,Mariehäll,Blå Sundbyberg,1.5,30,2,Lägenhet,1938,[Mariehäll],1795000,605000,2400000,1759,Fastighetsbyrån,1216.0941449122938,Sundbybergs centrum
2016-04-27,Mariehällsvägen 4,Mariehäll,Blå Sundbyberg,3,70,6,Lägenhet,2005,[Bromma Mariehäll],3695000,725000,4420000,4608,Notar,828.426296626654,Sundbybergs centrum
2016-04-26,Hagelstavägen 12,Mariehäll,Blå Sundbyberg,2,42,3,Lägenhet,null,[Bromma],1995000,535000,2530000,3142,Svenska Mäklarhuset,1338.423152487963,Sundbybergs centrum
2016-04-25,Askängsbacken 12,Mariehäll,Blå Sundbyberg,4,87,3,Lägenhet,null,[Bromma],4795000,180000,4975000,5123,Svenska Mäklarhuset,703.8539631479439,Sundbybergs centrum
