date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Valborgsmässovägen 16,Midsommarkransen,Röd Fruängen,3,66,4,Lägenhet,2008,[Telefonplan],3475000,400000,3875000,3551,Länsförsäkringar Fastighetsförmedling,338.4057858100592,Telefonplan
2016-05-14,Hökmossevägen 36A,Midsommarkransen,Röd Fruängen,2,40,2,Lägenhet,1944,[Telefonplan],1975000,300000,2275000,2680,Länsförsäkringar Fastighetsförmedling,837.8133337487224,Telefonplan
2016-05-13,Vattenledningsvägen 85,Midsommarkransen,Röd Fruängen,2,43,1,Lägenhet,1946,[Midsommarkransen],2195000,605000,2800000,2853,Fastighetsbyrån,424.7304312626286,Midsommarkransen
2016-05-13,Radiusbacken 6,Midsommarkransen,Röd Fruängen,2,55,4,Lägenhet,2011,[Telefonplan],2975000,825000,3800000,3493,Notar,341.4833636704507,Telefonplan
2016-05-13,Nioörtsvägen 42,Midsommarkransen,Röd Fruängen,2,55.3,2,Lägenhet,1984,[Midsommarkransen],2295000,475000,2770000,3259,Notar,166.5793263121584,Midsommarkransen
2016-05-13,Flygelgatan 4,Midsommarkransen,Röd Fruängen,2.5,44,2,Lägenhet,null,[Midsommarkransen],2495000,405000,2900000,3028,Svenska Mäklarhuset,220.94842293764594,Telefonplan
2016-05-13,Tegelbruksvägen 40,Midsommarkransen,Röd Fruängen,2,36,3,Lägenhet,1910,[Midsommarkransen],2495000,230000,2725000,1888,Bjurfors,168.2386216775065,Midsommarkransen
2016-05-12,Midsommargränd 6,Midsommarkransen,Röd Fruängen,2,61,2,Lägenhet,2009,[Hägersten],2990000,735000,3725000,2732,BOSTHLM,427.90319546955556,Telefonplan
2016-05-12,Cedergrensvägen 57,Midsommarkransen,Röd Fruängen,2,34.5,3,Lägenhet,1939,[Hägersten-Liljeholmen],2095000,255000,2350000,2203,Hägerstens mäklare,220.95116112776282,Telefonplan
2016-05-12,Tegelbruksvägen 12,Midsommarkransen,Röd Fruängen,2,48,2,Lägenhet,1938,[Hägersten-Liljeholmen],2495000,405000,2900000,3106,Hägerstens mäklare,161.3533142346637,Midsommarkransen
2016-05-12,Mejselvägen 41,Midsommarkransen,Röd Fruängen,1.5,32,3,Lägenhet,null,[Telefonplan],1895000,305000,2200000,2224,Svenska Mäklarhuset,561.2575554748653,Hagerstensasen
2016-05-12,Snickerigatan 10,Midsommarkransen,Röd Fruängen,3,67,1,Lägenhet,2012,[Telefonplan],3695000,105000,3800000,4074,Länsförsäkringar Fastighetsförmedling,414.75916083737127,Telefonplan
2016-05-11,Nypongränd 4,Midsommarkransen,Röd Fruängen,1,33,2,Lägenhet,1940,[Hägersten],1995000,515000,2510000,1577,Erik Olsson Fastighetsförmedling,196.97747584038322,Midsommarkransen
2016-05-11,Valborgsmässovägen 23,Midsommarkransen,Röd Fruängen,2,50.7,2,Lägenhet,1939,[Telefonplan],2695000,455000,3150000,2866,Länsförsäkringar Fastighetsförmedling,148.03856720149076,Telefonplan
2016-05-11,Bäckvägen 82,Midsommarkransen,Röd Fruängen,2,47,3,Lägenhet,null,[Hägerstensåsen],2395000,605000,3000000,2788,Svenska Mäklarhuset,434.48933014038505,Ornsberg
2016-05-11,Tellusborgsvägen 100,Midsommarkransen,Röd Fruängen,1,37,2,Lägenhet,1917,[Telefonplan],2695000,205000,2900000,2093,HusmanHagberg,244.77774860264867,Telefonplan
