date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-11,Anundsvägen 42,Norra Ångby,,Grön Hässelby,6,133,null,Villa,1954,[Norra Ängby],7700000,450000,8150000,null,Fastighetsbyrån,528.4091774410123,Racksta
2016-04-29,Hirdvägen 6,Norra Ångby,,Grön Hässelby,5,81,null,Villa,1936,[Bromma],5495000,105000,5600000,null,Svensk Fastighetsförmedling,450.1810617210035,Islandstorget
2016-04-29,Kiviksvägen 2,Norra Ångby,,Grön Hässelby,7,149,null,Villa,1934,[Bromma],12300000,600000,12900000,null,Bjurfors,752.5416734652237,Angbyplan
2016-04-22,Ruriksvägen 9,Norra Ångby,,Grön Hässelby,6,116,null,Villa,1932,[Bromma],8200000,600000,8800000,null,Bjurfors,332.39053715758223,Islandstorget
2016-04-22,Adilsvägen 5,Norra Ångby,,Grön Hässelby,5,66,null,Villa,1936,[Bromma],5900000,470000,6370000,null,Bjurfors,483.5539725101515,Islandstorget
2016-04-21,Frösövägen 6,Norra Ångby,,Grön Hässelby,7,133,null,Villa,1970,[Norra Ängby],8995000,50000,9045000,null,Fastighetsbyrån,908.7384646392194,Islandstorget
2016-04-15,Islandsvägen 4,Norra Ångby,,Grön Hässelby,6,90,null,Villa,1936,[Norra Ängby],7495000,1105000,8600000,null,Fastighetsbyrån,501.96321656228224,Islandstorget
2016-04-06,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,2,Lägenhet,1967,[Bromma Norra Ängby],1645000,605000,2250000,1850,HusmanHagberg,458.9843663866506,Racksta
2016-03-24,Jomsborgsvägen 17,Norra Ångby,,Grön Hässelby,8,149,null,Villa,1940,[Bromma],9600000,950000,10550000,null,Bjurfors,417.4805834685571,Angbyplan
2016-03-23,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,54,4,Lägenhet,1967,[Norra Ängby],1995000,515000,2510000,3568,Fastighetsbyrån,458.9843663866506,Racksta
2016-03-22,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,2,Lägenhet,1967,[Bromma Norra Ängby],1595000,505000,2100000,1850,HusmanHagberg,424.08088533962217,Racksta
2016-03-19,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,48,4,Lägenhet,1967,[Bromma Norra Ängby],1895000,300000,2195000,3172,HusmanHagberg,458.9843663866506,Racksta
2016-03-18,Vereliusvägen 14,Norra Ångby,,Grön Hässelby,7,168,null,Villa,1932,[Bromma],8900000,75000,8975000,null,Bjurfors,572.5651259370169,Islandstorget
2016-03-18,Bällstavägen 249,Norra Ångby,,Grön Hässelby,6,91.5,null,Villa,1932,[Norra Ängby],7750000,675000,8425000,null,Fastighetsbyrån,771.423046925029,Islandstorget
2016-03-17,Brennervägen 18,Norra Ångby,,Grön Hässelby,5,77,null,Villa,1932,[Norra Ängby],7495000,755000,8250000,null,Fastighetsbyrån,562.1851604494385,Islandstorget
2016-02-25,Hågavägen 7,Norra Ångby,,Grön Hässelby,7,142,null,Villa,1933,[Bromma],10900000,1200000,12100000,null,Bjurfors,682.8277727506216,Angbyplan
2016-02-24,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,54,4,Lägenhet,1967,[Bromma Norra Ängby],1995000,305000,2300000,3568,HusmanHagberg,458.9843663866506,Racksta
2016-02-20,Möjbrovägen 13,Norra Ångby,,Grön Hässelby,6,115,null,Villa,1937,[Bromma],10600000,0,10600000,null,Bjurfors,282.7192350349653,Akeshov
2016-02-18,Hågavägen 40,Norra Ångby,,Grön Hässelby,6,114,null,Villa,1932,[Bromma],8900000,150000,9050000,null,Bjurfors,678.0998638260273,Angbyplan
2016-02-17,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,3,Lägenhet,1967,[Bromma Norra Ängby],1595000,505000,2100000,1850,HusmanHagberg,424.08088533962217,Racksta
2016-02-05,Peringskiöldsvägen 56,Norra Ångby,,Grön Hässelby,7,133,null,Villa,1932,[Bromma],9400000,1650000,11050000,null,Bjurfors,752.3854851209352,Islandstorget
2016-01-18,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,48,4,Lägenhet,1960,[Bromma Norra Ängby],1990000,160000,2150000,3172,Notar,424.08088533962217,Racksta
2016-01-13,Bergslagsvägen 178C,Norra Ångby,,Grön Hässelby,5,153,null,Radhus,2013,[Bromma],7795000,655000,8450000,null,Magnusson Mäkleri,106.66577699978932,Angbyplan
2015-11-20,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,3,Lägenhet,null,[Norra Ängby],1595000,275000,1870000,1850,Svenska Mäklarhuset,424.08088533962217,Racksta
2015-11-19,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,48,5,Lägenhet,1967,[Bromma Norra Ängby],1995000,455000,2450000,3172,HusmanHagberg,458.9843663866506,Racksta
2015-11-18,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,48,5,Lägenhet,1967,[Bromma Norra Ängby],1995000,455000,2450000,3172,HusmanHagberg,458.9843663866506,Racksta
2015-11-04,Björketorpsvägen 9,Norra Ångby,,Grön Hässelby,3.5,77,4,Lägenhet,2009,[Norra Ängby],2995000,805000,3800000,4240,Fastighetsbyrån,432.4527223685671,Racksta
2015-11-03,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,48,0,Lägenhet,1967,[Bromma],1775000,155000,1930000,3172,Svensk Fastighetsförmedling,458.9843663866506,Racksta
2015-11-02,Ramsundsvägen 3,Norra Ångby,,Grön Hässelby,5,72,null,Villa,1936,[Bromma],5400000,1300000,6700000,null,Bjurfors,918.1699594058325,Islandstorget
2015-10-24,Hirdvägen 34,Norra Ångby,,Grön Hässelby,5,91,null,Villa,1952,[Bromma],4800000,825000,5625000,null,Bjurfors,532.3525362282251,Blackeberg
2015-10-14,Brennervägen 14,Norra Ångby,,Grön Hässelby,5,73,null,Villa,1931,[Norra Ängby],7650000,1250000,8900000,null,Fastighetsbyrån,590.2816717234481,Islandstorget
2015-10-08,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,54,5,Lägenhet,1967,[Bromma],2095000,330000,2425000,3568,Svensk Fastighetsförmedling,424.08088533962217,Racksta
2015-10-01,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,0,Lägenhet,1967,[Bromma Norra Ängby],1595000,455000,2050000,1850,HusmanHagberg,424.08088533962217,Racksta
2015-09-29,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,48,4,Lägenhet,null,[Norra Ängby],2400000,0,2400000,3172,BOSTHLM,424.08088533962217,Racksta
2015-09-17,Spångavägen 49,Norra Ångby,,Grön Hässelby,4,87,1,Lägenhet,1940,[Bromma],2995000,330000,3325000,6167,Notar,460.5713998546239,Akeshov
2015-09-11,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,0.5,Lägenhet,1963,[Norra Ängby],1695000,305000,2000000,1850,Länsförsäkringar Fastighetsförmedling,424.08088533962217,Racksta
2015-08-21,Beckombergavägen 63,Norra Ångby,,Grön Hässelby,6,83,null,Villa,null,[Norra Ängby],6295000,605000,6900000,null,Svenska Mäklarhuset,551.7845285058622,Akeshov
2015-08-20,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,2,Lägenhet,1963,[Norra Ängby],1595000,230000,1825000,1850,Länsförsäkringar Fastighetsförmedling,458.9843663866506,Racksta
2015-07-28,Stockholm Runsavägen 1,Norra Ångby,,Grön Hässelby,4,78,null,Villa,1935,[Bromma],5495000,1255000,6750000,null,Feretti Mäkleri,189.76232388096676,Akeshov
2015-07-10,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,0,Lägenhet,1967,[Bromma Norra Ängby],1495000,420000,1915000,1850,HusmanHagberg,424.08088533962217,Racksta
2015-07-03,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,3,Lägenhet,1967,[Bromma Norra Ängby],1450000,525000,1975000,1850,HusmanHagberg,458.9843663866506,Racksta
2015-06-24,Björketorpsvägen 7,Norra Ångby,,Grön Hässelby,2,43,2,Lägenhet,2009,[Bromma],1895000,305000,2200000,2543,Erik Olsson Fastighetsförmedling,466.2537341761929,Racksta
2015-06-18,Beckombergavägen 172,Norra Ångby,,Grön Hässelby,6,97,null,Villa,1993,[Norra Ängby],7995000,1155000,9150000,null,Fastighetsbyrån,682.9767386923119,Islandstorget
2015-06-16,Bromma Spångavägen 37,Norra Ångby,,Grön Hässelby,3,60,2,Lägenhet,1940,[Brommaplan Bromma],1800000,515000,2315000,4602,Olle Lind AB,484.58975091534205,Akeshov
2015-06-11,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,2,Lägenhet,1967,[Bromma Norra Ängby],1450000,320000,1770000,1850,HusmanHagberg,424.08088533962217,Racksta
2015-06-10,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,1,Lägenhet,null,[Norra Ängby],1495000,330000,1825000,1850,BOSTHLM,458.9843663866506,Racksta
2015-05-29,Snorrevägen 17,Norra Ångby,,Grön Hässelby,7,142,null,Villa,1933,[Bromma],9800000,1900000,11700000,null,Bjurfors,786.4819045600474,Angbyplan
2015-05-29,Hedebyvägen 16,Norra Ångby,,Grön Hässelby,4,117,null,Villa,1932,[Bromma],5495000,1155000,6650000,null,Svensk Fastighetsförmedling,314.83867826236946,Islandstorget
2015-05-25,Hirdvägen 15,Norra Ångby,,Grön Hässelby,7,73,null,Villa,1938,[Norra Ängby],6395000,105000,6500000,null,Länsförsäkringar Fastighetsförmedling,510.2979987417151,Islandstorget
2015-05-14,Björketorpsvägen 7,Norra Ångby,,Grön Hässelby,4,96,6,Lägenhet,2009,[Norra Ängby],2995000,1005000,4000000,5188,Fastighetsbyrån,466.2537341761929,Racksta
2015-05-13,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,2,Lägenhet,1967,[Bromma Norra Ängby],1495000,405000,1900000,1850,HusmanHagberg,424.08088533962217,Racksta
2015-05-05,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,1967,[Bromma],1395000,325000,1720000,null,Svensk Fastighetsförmedling,424.08088533962217,Racksta
2015-05-01,Anundsvägen 3,Norra Ångby,,Grön Hässelby,5,66,null,Villa,1938,[Bromma],5900000,300000,6200000,null,Bjurfors,613.4389251151345,Islandstorget
2015-04-30,Franklandsvägen 42,Norra Ångby,,Grön Hässelby,6,73,null,Villa,1937,[Bromma],5300000,50000,5350000,null,Bjurfors,763.2966752740326,Racksta
2015-04-29,Adilsvägen 19,Norra Ångby,,Grön Hässelby,7,68,null,Villa,1937,[Norra Ängby],5895000,5000,5900000,null,Fastighetsbyrån,572.0432344037084,Islandstorget
2015-04-23,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,2,Lägenhet,1967,[Bromma Norra Ängby],1395000,505000,1900000,1850,HusmanHagberg,458.9843663866506,Racksta
2015-04-17,Björketorpsvägen 7,Norra Ångby,,Grön Hässelby,2,43,5,Lägenhet,2009,[Bromma],1795000,405000,2200000,2544,Länsförsäkringar Fastighetsförmedling,466.2537341761929,Racksta
2015-04-10,Björketorpsvägen 17,Norra Ångby,,Grön Hässelby,3.5,79,2,Lägenhet,2009,[Bromma],2590000,560000,3150000,4340,Notar,492.26026843511295,Racksta
2015-04-03,Bergslagsvägen 74,Norra Ångby,,Grön Hässelby,2,64,4,Lägenhet,2008,[Bromma Norra Ängby],2875000,225000,3100000,3576,Mäklarringen,81.14636431445258,Akeshov
2015-03-23,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,48,4,Lägenhet,1967,[Bromma Norra Ängby],1595000,455000,2050000,3172,Notar,424.08088533962217,Racksta
2015-03-19,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,48,4,Lägenhet,1967,[Bromma Norra Ängby],1595000,325000,1920000,3172,HusmanHagberg,424.08088533962217,Racksta
2015-03-11,Franklandsvägen 23,Norra Ångby,,Grön Hässelby,6,98,null,Villa,1937,[Bromma Norra Ängby],5790000,1610000,7400000,null,Notar,724.2585692000885,Islandstorget
2015-02-05,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,54,4,Lägenhet,1967,[Bromma Norra Ängby],1795000,160000,1955000,3568,HusmanHagberg,458.9843663866506,Racksta
2015-02-04,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,2,Lägenhet,1967,[Bromma Norra Ängby],1295000,375000,1670000,1850,HusmanHagberg,424.08088533962217,Racksta
2015-01-14,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,48,3,Lägenhet,1967,[Bromma Norra Ängby],1495000,292000,1787000,3172,HusmanHagberg,424.08088533962217,Racksta
2014-12-19,Bergslagsvägen 212,Norra Ångby,,Grön Hässelby,6,93,null,Villa,1935,[Bromma Norra Ängby],4490000,1140000,5630000,null,HusmanHagberg,313.7054206249655,Angbyplan
2014-11-29,Islandsvägen 15,Norra Ångby,,Grön Hässelby,6,62,null,Villa,1936,[Bromma],4650000,465000,5115000,null,Bjurfors,383.45893129109754,Islandstorget
2014-11-29,Bergslagsvägen 256,Norra Ångby,,Grön Hässelby,5,85,null,Villa,1938,[Bromma],4995000,-245000,4750000,null,BOSTHLM,122.77804446542568,Islandstorget
2014-11-21,Bergslagsvägen 78,Norra Ångby,,Grön Hässelby,3,82,4,Lägenhet,2008,[Norra Ängby],3550000,20000,3570000,4201,Länsförsäkringar Fastighetsförmedling,137.95407801646613,Akeshov
2014-11-20,Björketorpsvägen 17,Norra Ångby,,Grön Hässelby,2,43,null,Lägenhet,2009,[Bromma],1595000,415000,2010000,2494,Notar,492.26026843511295,Racksta
2014-11-16,Långskeppsgatan 49,Norra Ångby,,Grön Hässelby,5,76,null,Villa,1937,[Bromma],6400000,350000,6750000,null,Bjurfors,721.4638619082405,Racksta
