date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-13,Reimersholmsgatan 29,Reimersholme,Södermalm,3,95.5,1,Lägenhet,1980,[Reimersholme],5475000,525000,6000000,5060,Fastighetsbyrån,636.4623627200866,Hornstull
2016-05-12,Anders Reimers väg 14,Reimersholme,Södermalm,1,21,0.5,Lägenhet,1943,[Reimersholme],1695000,755000,2450000,1371,Fastighetsbyrån,636.009026232965,Hornstull
2016-04-28,Vindragarvägen 8,Reimersholme,Södermalm,3,78,3,Lägenhet,1945,[Reimersholme],5450000,2225000,7675000,4259,Fastighetsbyrån,900.9250991550618,Hornstull
2016-04-27,Vindragarvägen 2,Reimersholme,Södermalm,2,61,2,Lägenhet,1945,[Reimersholme],3995000,605000,4600000,3260,Svensk Fastighetsförmedling,814.7158598364823,Hornstull
2016-04-22,Reimersholmsgatan 59,Reimersholme,Södermalm,4,104.5,5,Lägenhet,1981,[Södermalm],7800000,1800000,9600000,5753,Mäklarringen,724.1002337550837,Hornstull
2016-04-21,Vindragarvägen 23,Reimersholme,Södermalm,2,56.5,2,Lägenhet,1945,[Reimersholme],3995000,1055000,5050000,3181,Fastighetsbyrån,899.463153992276,Liljeholmen
2016-04-20,Anders Reimers väg 6,Reimersholme,Södermalm,2,44,null,Lägenhet,null,[Södermalm],3425000,875000,4300000,2993,Reimersholme Fastighetsmäkleri AB,589.2238988468364,Hornstull
2016-04-15,Pokalvägen 6,Reimersholme,Södermalm,4.5,99,1,Lägenhet,1944,[Reimersholme],6595000,1705000,8300000,4369,Svensk Fastighetsförmedling,704.1256580804514,Hornstull
2016-04-13,Vindragarvägen 4,Reimersholme,Södermalm,3,62,7,Lägenhet,1945,[Reimersholme],4795000,955000,5750000,3567,Fastighetsbyrån,856.5868465383769,Hornstull
2016-04-12,Vindragarvägen 7,Reimersholme,Södermalm,3,56.5,4,Lägenhet,null,[Södermalm Högalid],4450000,1150000,5600000,3181,Bjurfors,835.5566976010824,Liljeholmen
2016-04-11,Reimersholmsgatan 23,Reimersholme,Södermalm,4,109,4,Lägenhet,null,[Södermalm],7900000,1475000,9375000,6061,Reimersholme Fastighetsmäkleri AB,599.3579145162456,Hornstull
2016-03-31,Pokalvägen 3,Reimersholme,Södermalm,2.5,58,4,Lägenhet,1944,[Reimersholme],4195000,1455000,5650000,3045,Svensk Fastighetsförmedling,743.924812527861,Hornstull
2016-03-24,Vindragarvägen 2,Reimersholme,Södermalm,2,42,3,Lägenhet,1945,[Högalid],2950000,410000,3360000,2489,Länsförsäkringar Fastighetsförmedling,814.7158598364823,Hornstull
2016-03-19,Pokalvägen 6,Reimersholme,Södermalm,2,58,null,Lägenhet,null,[Södermalm],3995000,1025000,5020000,2976,Reimersholme Fastighetsmäkleri AB,704.1256580804514,Hornstull
2016-03-03,Anders Reimers väg 9,Reimersholme,Södermalm,1,35.5,2,Lägenhet,1942,[Reimersholme],2450000,970000,3420000,2440,Svensk Fastighetsförmedling,686.4126262655146,Hornstull
2016-02-27,Pokalvägen 3,Reimersholme,Södermalm,2,58,1,Lägenhet,1944,[Södermalm],3995000,455000,4450000,2757,Fastighetsbyrån,743.924812527861,Hornstull
2016-02-20,Reimersholmsgatan 73,Reimersholme,Södermalm,4,104.5,null,Lägenhet,null,[Södermalm],7850000,550000,8400000,5803,Reimersholme Fastighetsmäkleri AB,780.7273434003952,Liljeholmen
2016-02-18,Anders Reimers väg 1,Reimersholme,Södermalm,3,66,2,Lägenhet,null,[Södermalm],4700000,950000,5650000,3972,Mäklarhuset,580.6104960347885,Hornstull
2016-02-13,Vindragarvägen 12,Reimersholme,Södermalm,4,107,null,Lägenhet,null,[Södermalm],8500000,520000,9020000,5459,Reimersholme Fastighetsmäkleri AB,936.7594157065832,Liljeholmen
2016-02-13,Reimersholmsgatan 37,Reimersholme,Södermalm,3,86,null,Lägenhet,null,[Södermalm],5350000,900000,6250000,4742,Reimersholme Fastighetsmäkleri AB,679.3969043642649,Hornstull
2016-02-05,Reimersholmsgatan 47,Reimersholme,Södermalm,1.5,48.5,1,Lägenhet,1981,[Reimersholme],2950000,460000,3410000,2888,Fastighetsbyrån,681.3789170498765,Hornstull
2016-02-04,Anders Reimers väg 9,Reimersholme,Södermalm,1,32,2,Lägenhet,1943,[Södermalm],2200000,700000,2900000,2149,SkandiaMäklarna,686.4126262655146,Hornstull
2016-02-03,Anders Reimers väg 8,Reimersholme,Södermalm,2,44,2,Lägenhet,1942,[Södermalm],2595000,825000,3420000,2853,Erik Olsson Fastighetsförmedling,593.9521277436576,Hornstull
2016-01-20,Vindragarvägen 8,Reimersholme,Södermalm,1,22,4,Lägenhet,null,[Södermalm],1975000,375000,2350000,1309,Reimersholme Fastighetsmäkleri AB,900.9250991550618,Hornstull
2016-01-16,Anders Reimers väg 9,Reimersholme,Södermalm,2,49,1,Lägenhet,1943,[Södermalm],3750000,490000,4240000,3215,Länsförsäkringar Fastighetsförmedling,686.4126262655146,Hornstull
2016-01-14,Anders Reimers väg 11,Reimersholme,Södermalm,2,40,3,Lägenhet,1942,[Södermalm],2695000,625000,3320000,2416,Erik Olsson Fastighetsförmedling,723.2752611135157,Hornstull
2015-12-17,Vindragarvägen 23,Reimersholme,Södermalm,2,56.5,4,Lägenhet,1945,[Reimersholme],3850000,650000,4500000,3181,Fastighetsbyrån,899.463153992276,Liljeholmen
2015-12-04,Reimersholmsgatan 77,Reimersholme,Södermalm,3,86,4,Lägenhet,1981,[Reimersholme],5495000,155000,5650000,4962,Fastighetsbyrån,813.4439168384106,Liljeholmen
