date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-12,Spetsvägen 13,Riksby,Grön Hässelby,2.5,60,1,Lägenhet,null,[Bromma],2450000,450000,2900000,3573,Svenska Mäklarhuset,605.0942245964559,Brommaplan
2016-05-11,Kvarnbacksvägen 105,Riksby,Grön Hässelby,2,53.5,1,Lägenhet,1942,[Bromma Riksby],2190000,330000,2520000,2893,Notar,407.26052544041863,Brommaplan
2016-05-07,Stramaljvägen 34,Riksby,Grön Hässelby,2,51,1,Lägenhet,1942,[Riksby],2695000,285000,2980000,2519,Länsförsäkringar Fastighetsförmedling,401.44146421206443,Abrahamsberg
2016-05-06,Riksbyvägen 26,Riksby,Grön Hässelby,2,41,1,Lägenhet,1942,[Bromma],2095000,220000,2315000,2282,SkandiaMäklarna,428.42214533201945,Brommaplan
2016-05-01,Drottningholmsvägen 380,Riksby,Grön Hässelby,3,68,2,Lägenhet,1938,[Bromma Riksby],3000000,300000,3300000,3358,Notar,397.1996078517679,Brommaplan
2016-04-27,Galonvägen 9,Riksby,Grön Hässelby,2,51,2,Lägenhet,null,[Bromma],2475000,465000,2940000,2519,Svenska Mäklarhuset,357.13954537172367,Abrahamsberg
2016-04-23,Barrstigen 28,Riksby,Grön Hässelby,3.5,74,1,Lägenhet,1957,[Bromma],3695000,205000,3900000,2901,Svensk Fastighetsförmedling,410.99656380455457,Abrahamsberg
2016-04-22,Dukvägen 30,Riksby,Grön Hässelby,2,51,3,Lägenhet,1944,[Riksby],2395000,255000,2650000,2519,Fastighetsbyrån,329.9470885444278,Abrahamsberg
2016-04-21,Kvarnbacksvägen 103,Riksby,Grön Hässelby,2,41,3,Lägenhet,1942,[Bromma Riksby],1990000,510000,2500000,2282,Notar,445.7305871681795,Brommaplan
2016-04-21,Vadmalsvägen 4,Riksby,Grön Hässelby,2,53.5,1,Lägenhet,1942,[Riksby],2495000,315000,2810000,2893,Fastighetsbyrån,370.3404865173758,Brommaplan
2016-04-21,Dukvägen 39,Riksby,Grön Hässelby,1.5,39,2,Lägenhet,1942,[Bromma Riksby],2075000,425000,2500000,1927,HusmanHagberg,383.1739790832827,Abrahamsberg
2016-04-16,Stramaljvägen 10,Riksby,Grön Hässelby,2,51,2,Lägenhet,1942,[Bromma],2495000,335000,2830000,2519,Svensk Fastighetsförmedling,300.4829917436941,Abrahamsberg
2016-04-14,Synålsvägen 23,Riksby,Grön Hässelby,2,60,null,Lägenhet,null,[Bromma],2595000,455000,3050000,2864,SkandiaMäklarna,487.46684217917175,Abrahamsberg
2016-04-07,Spetsvägen 12,Riksby,Grön Hässelby,2.5,61,2,Lägenhet,1945,[Bromma Riksby],2495000,655000,3150000,3632,HusmanHagberg,700.836473054358,Brommaplan
2016-04-06,Spetsvägen 15,Riksby,Grön Hässelby,3,78,2,Lägenhet,1947,[Bromma],2995000,680000,3675000,4645,Svensk Fastighetsförmedling,591.0611312732401,Brommaplan
