date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-12,Lerbäcksgränd 17,Rågsved,Grön Hagsätra,2,61,1,Lägenhet,1959,[Bandhagen],2200000,-240000,1960000,3791,Svensk Fastighetsförmedling,529.8210503291106,Ragsved
2016-05-08,Bjursätragatan 98,Rågsved,Grön Hagsätra,3,69,3,Lägenhet,1957,[Enskede-Årsta-Vantör],1995000,285000,2280000,3828,SkandiaMäklarna,429.00375257495193,Ragsved
2016-05-05,Porlabacken 1,Rågsved,Grön Hagsätra,3,74,null,Lägenhet,1958,[Hagsätra],1995000,0,1995000,5123,Notar,546.3123160415405,Hagsatra
2016-04-18,Vintrosagatan 52,Rågsved,Grön Hagsätra,3,73,2,Lägenhet,1959,[Hagsätra],1895000,510000,2405000,3900,Mäklarringen,443.38291994116224,Hagsatra
2016-04-15,Vintrosagatan 50,Rågsved,Grön Hagsätra,3,80,1,Lägenhet,1958,[Bandhagen],1950000,320000,2270000,4166,Svensk Fastighetsförmedling,443.38291994116224,Hagsatra
2016-04-15,Axbergsgränd 27,Rågsved,Grön Hagsätra,3,73,3,Lägenhet,1958,[Hagsätra],1895000,175000,2070000,4482,Mäklarringen,570.1680039536274,Ragsved
2016-04-14,Axbergsgränd 15,Rågsved,Grön Hagsätra,2,61,1,Lägenhet,1959,[Hagsätra],1920000,0,1920000,3740,Länsförsäkringar Fastighetsförmedling,571.681706119825,Ragsved
2016-04-13,Bjursätragatan 33,Rågsved,Grön Hagsätra,2,54,1,Lägenhet,2011,[Bandhagen],1525000,235000,1760000,3580,Ansvar Fastighetsförmedling,498.4492657811494,Ragsved
2016-04-11,Vintrosagatan 52,Rågsved,Grön Hagsätra,3,73,6,Lägenhet,1958,[Bandhagen],2050000,470000,2520000,3900,Svensk Fastighetsförmedling,443.38291994116224,Hagsatra
2016-04-09,Bäverdammsgränd 92,Rågsved,Grön Hagsätra,5,108.5,null,Lägenhet,1983,[Rågsved],1895000,405000,2300000,6430,HusmanHagberg,616.1523757573158,Ragsved
2016-04-08,Axbergsgränd 23,Rågsved,Grön Hagsätra,3,73,2,Lägenhet,null,[Hagsätra],1895000,355000,2250000,4470,BOSTHLM,599.3126054219679,Ragsved
2016-04-07,Lerbäcksgränd 15,Rågsved,Grön Hagsätra,3,73,3,Lägenhet,1959,[Hagsätra],1895000,455000,2350000,4460,Mäklarhuset,516.2262859578092,Ragsved
2016-04-07,Axbergsgränd 9,Rågsved,Grön Hagsätra,3,73,3,Lägenhet,1958,[Hagsätra],1850000,175000,2025000,4444,Mäklarhuset,530.0262541561159,Ragsved
2016-04-06,Lerbäcksgränd 18,Rågsved,Grön Hagsätra,3,73,2,Lägenhet,1959,[Bandhagen],1795000,625000,2420000,4461,Svensk Fastighetsförmedling,478.2968825887305,Ragsved
2016-03-21,Vedevågslingan 25,Rågsved,Grön Hagsätra,3,82.9,null,Lägenhet,2008,[Bandhagen],2095000,5000,2100000,5663,Notar,470.4525465464765,Hagsatra
2016-03-18,Porlabacken 45,Rågsved,Grön Hagsätra,2,53,null,Lägenhet,1958,[Hagsätra],1795000,605000,2400000,3866,Notar,464.8311938840824,Hagsatra
2016-03-17,Bjursätragatan 33,Rågsved,Grön Hagsätra,3,66,5,Lägenhet,2011,[Rågsved],2195000,405000,2600000,4342,HusmanHagberg,498.4492657811494,Ragsved
2016-03-16,Axbergsgränd 19,Rågsved,Grön Hagsätra,2,61,3,Lägenhet,1958,[Bandhagen Hagsätra],1700000,550000,2250000,3751,Husfokus Mäklarbyrå,605.8997890023235,Ragsved
2016-03-11,Bäckdalsvägen 27,Rågsved,Grön Hagsätra,5,134,null,Villa,1972,[Älvsjö/Farsta/Vantör],5750000,0,5750000,null,SkandiaMäklarna,622.7515849262346,Ragsved
2016-03-10,Göksholmsbacken 24,Rågsved,Grön Hagsätra,3,75,2,Lägenhet,1958,[Bandhagen],1995000,165000,2160000,4011,Svensk Fastighetsförmedling,502.7117015468481,Hagsatra
2016-03-04,Vintrosagatan 56,Rågsved,Grön Hagsätra,2,57,7,Lägenhet,1958,[Bandhagen],1750000,700000,2450000,3294,Svensk Fastighetsförmedling,496.1639602101713,Ragsved
2016-03-03,Bjursätragatan 35,Rågsved,Grön Hagsätra,3,65.5,4,Lägenhet,2011,[Rågsved],2195000,365000,2560000,4342,Fastighetsbyrån,496.2877307609579,Ragsved
