date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Parkvägen 23,Råsunda,Blå Solna,1,45,1.5,Lägenhet,null,[Gamla Råsunda],2495000,255000,2750000,2209,Svenska Mäklarhuset,556.197912684105,Nackrosen
2016-05-13,Gustafsvägen 8,Råsunda,Blå Solna,2,33,1,Lägenhet,null,[Vasalund],1995000,330000,2325000,1998,Svenska Mäklarhuset,747.6552865841003,Solna centrum
2016-05-12,Plogvägen 3,Råsunda,Blå Solna,1.5,47.5,null,Lägenhet,1944,[Råsunda],2395000,455000,2850000,2287,SkandiaMäklarna,791.0009290576676,Solna centrum
2016-05-12,Östervägen 16B,Råsunda,Blå Solna,1,33,0,Lägenhet,1945,[Råsunda],1795000,535000,2330000,1426,Fastighetsbyrån,540.547699961325,Solna centrum
2016-05-12,Trappgränd 4,Råsunda,Blå Solna,1,41,2,Lägenhet,1912,[Råsunda],2495000,705000,3200000,1946,Notar,676.7671851101608,Solna centrum
2016-05-12,Parkvägen 15,Råsunda,Blå Solna,2,52,3,Lägenhet,null,[Gamla Råsunda],2995000,305000,3300000,2801,Svenska Mäklarhuset,619.2060527754705,Nackrosen
2016-05-12,Evenemangsgatan 30,Råsunda,Blå Solna,3,72,20,Lägenhet,2016,[Råsunda],4095000,305000,4400000,4560,SkandiaMäklarna,1038.269394288532,Nackrosen
2016-05-11,Råsundavägen 69,Råsunda,Blå Solna,4,107,1,Lägenhet,1931,[Råsunda],4295000,105000,4400000,5378,Fastighetsbyrån,845.6832878083832,Solna centrum
2016-05-11,Parkvägen 23,Råsunda,Blå Solna,1.5,45,3,Lägenhet,1937,[Råsunda],2495000,505000,3000000,2209,Fastighetsbyrån,556.197912684105,Nackrosen
2016-05-11,Sommarvägen 6,Råsunda,Blå Solna,3.5,75,1,Lägenhet,1953,[Råsunda],3395000,405000,3800000,3676,Fastighetsbyrån,602.0540563142991,Solna centrum
