date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-05,Palissadvägen 14,Segeltorp,Röd Norsborg,3,79,2,Lägenhet,2012,[Segeltorp],3175000,-155000,3020000,4904,Fastighetsbyrån,579.8225041459406,Satra
2016-05-03,Värnstigen 36,Segeltorp,Röd Norsborg,2,36,2,Lägenhet,1994,null,1650000,300000,1950000,3049,BoLiving,800.7061446088264,Satra
2016-04-29,Gamla Södertäljevägen 200A,Segeltorp,Röd Norsborg,6,145,null,Parhus,2013,[Segeltorp],5995000,685000,6680000,null,Erik Olsson Fastighetsförmedling,934.3403109585774,Skarholmen
2016-04-29,Lövdungevägen 8,Segeltorp,Röd Norsborg,5,121,null,Parhus,1983,[Segeltorp],3995000,1065000,5060000,null,Fastighetsbyrån,1271.9440915200407,Fruangen
2016-04-29,Visirvägen 9,Segeltorp,Röd Norsborg,4,90,4,Lägenhet,2008,[Segeltorp],3250000,-175000,3075000,5227,Länsförsäkringar Fastighetsförmedling,852.938905323245,Satra
2016-04-28,Slåttervägen 35A,Segeltorp,Röd Norsborg,6,244,null,Villa,2012,[Segeltorp],7995000,1905000,9900000,null,Erik Olsson Fastighetsförmedling,1190.3482166872486,Satra
2016-04-28,Domherrevägen 6,Segeltorp,Röd Norsborg,6,125,null,Villa,1962,[Segeltorp],4995000,1505000,6500000,null,Länsförsäkringar Fastighetsförmedling,2327.632718121654,Fruangen
2016-04-28,Visirvägen 10,Segeltorp,Röd Norsborg,4,96,0,Lägenhet,2013,[Segeltorp],3150000,550000,3700000,5344,Fastighetsbyrån,733.5520028229207,Satra
2016-04-28,Gamla Södertäljevägen 136A,Segeltorp,Röd Norsborg,3,80,1,Lägenhet,2012,[Segeltorp],3150000,120000,3270000,4519,Svensk Fastighetsförmedling,1312.8785397441493,Satra
2016-04-26,Värnstigen 5,Segeltorp,Röd Norsborg,3,70,null,Lägenhet,1995,[Segeltorp],1995000,255000,2250000,5447,Notar,845.4848863400338,Satra
2016-04-26,Restavägen 44,Segeltorp,Röd Norsborg,9,201,null,Villa,1965,[Segeltorp],6600000,0,6600000,null,Notar,2341.9844391025113,Fruangen
2016-04-22,Gamla Södertäljevägen 212E,Segeltorp,Röd Norsborg,2,33.5,null,Lägenhet,2011,[Segeltorp],1695000,15000,1710000,2275,Jan Stigen AB Fastighetskonsult,842.8418227652112,Skarholmen
2016-04-22,Gamla Södertäljevägen 134A,Segeltorp,Röd Norsborg,3,79,1,Lägenhet,2012,[Segeltorp],3600000,-300000,3300000,4516,Fastighetsbyrån,1255.3697933744816,Satra
2016-04-22,Malmvägen 83,Segeltorp,Röd Norsborg,3,85,null,Radhus,1978,[Segeltorp],3300000,800000,4100000,null,BoLiving,831.1056622802882,Fruangen
2016-04-19,Slåttervägen 8D,Segeltorp,Röd Norsborg,2,47,null,Lägenhet,1999,[Segeltorp],1695000,575000,2270000,3343,Svensk Fastighetsförmedling,1211.8524320743586,Satra
2016-04-13,Gamla Södertäljevägen 184D,Segeltorp,Röd Norsborg,4,114,null,Kedjehus,1998,[Smista],3995000,1055000,5050000,null,SkandiaMäklarna,1055.972354832464,Satra
2016-04-12,Släggvägen 8,Segeltorp,Röd Norsborg,5,126,null,Villa,1938,[Segeltorp],5800000,350000,6150000,null,BoLiving,1055.8595081824749,Satra
2016-04-09,Värnstigen 38,Segeltorp,Röd Norsborg,2,44,3,Lägenhet,null,[Segeltorp],1595000,475000,2070000,3567,Svensk Fastighetsförmedling,871.564823352199,Satra
2016-04-09,Värnstigen 11,Segeltorp,Röd Norsborg,2,58.5,3,Lägenhet,1994,[Segeltorp],1375000,455000,1830000,5660,Fastighetsbyrån,809.4084191958376,Satra
2016-03-31,Hagvägen 81,Segeltorp,Röd Norsborg,5,132,null,Villa,2010,[Segeltorp],6650000,0,6650000,null,Fastighetsbyrån,1315.8920300187692,Skarholmen
2016-03-29,Gårdsvägen 20B,Segeltorp,Röd Norsborg,7,251,null,Villa,1989,[Segeltorp],7450000,300000,7750000,null,Notar,1248.687717409292,Satra
2016-03-24,Slåttervägen 8J,Segeltorp,Röd Norsborg,5,95,null,Radhus,null,[Segeltorp],3195000,560000,3755000,6255,Svensk Fastighetsförmedling,1214.1306454937621,Satra
2016-03-24,Stigfinnarvägen 20,Segeltorp,Röd Norsborg,5,107.4,null,Radhus,1998,[Segeltorp],3275000,325000,3600000,6905,Fastighetsbyrån,762.1251876825435,Skarholmen
2016-03-23,Patron Bergs väg 1C,Segeltorp,Röd Norsborg,6,158,null,Parhus,2006,[Segeltorp],6250000,1250000,7500000,null,Erik Olsson Fastighetsförmedling,1121.714916977271,Satra
2016-03-22,Brantstigen 23,Segeltorp,Röd Norsborg,4,119,null,Radhus,1963,[Segeltorp],4795000,1005000,5800000,null,HusmanHagberg,833.9992649725065,Fruangen
2016-03-19,Visirvägen 9,Segeltorp,Röd Norsborg,4,90,4,Lägenhet,2008,[Segeltorp],3395000,5000,3400000,5227,Fastighetsbyrån,852.938905323245,Satra
2016-03-18,Värnstigen 30,Segeltorp,Röd Norsborg,2,36.5,2,Lägenhet,1995,[Segeltorp],1650000,450000,2100000,3050,Fastighetsbyrån,775.9285538644823,Satra
2016-03-18,Lövkärrsvägen 3,Segeltorp,Röd Norsborg,6,138,null,Kedjehus,1979,[Herrängen],5350000,1150000,6500000,null,SkandiaMäklarna,1230.4865326549366,Fruangen
2016-03-17,Järpstigen 1,Segeltorp,Röd Norsborg,6,174,null,Villa,1961,[Snättringe],4495000,1305000,5800000,null,SkandiaMäklarna,2268.4351645635334,Fruangen
2016-03-17,Stigfinnarvägen 33,Segeltorp,Röd Norsborg,3,65,1,Lägenhet,1997,[Segeltorp],2250000,850000,3100000,5187,Fastighetsbyrån,932.3423250306016,Skarholmen
2016-03-12,Jakobslundsvägen 12,Segeltorp,Röd Norsborg,6,103,null,Radhus,1964,[Segeltorp],4695000,1355000,6050000,null,Fastighetsbyrån,1115.1492376327838,Fruangen
2016-03-01,Visirvägen 9,Segeltorp,Röd Norsborg,4,90,4,Lägenhet,2007,[Segeltorp],3450000,70000,3520000,5227,Carl Martin Fastighetsmäkleri,852.938905323245,Satra
2016-03-01,Brinkstigen 4B,Segeltorp,Röd Norsborg,6,180,null,Villa,2011,[Segeltorp],6995000,865000,7860000,null,Svensk Fastighetsförmedling,1393.5515517947058,Satra
2016-02-25,Hasselstigen 22,Segeltorp,Röd Norsborg,5,107,null,Radhus,1976,[Segeltorp],3995000,815000,4810000,0,Bjurfors,995.2260696875334,Fruangen
2016-02-24,Stigmansvägen 10B,Segeltorp,Röd Norsborg,3,68,2,Lägenhet,2005,[Segeltorp],2450000,430000,2880000,4115,Fastighetsbyrån,629.8350934068201,Satra
2016-02-23,Morsstigen 5,Segeltorp,Röd Norsborg,6,136,null,Villa,2016,[Segeltorp],6950000,610000,7560000,null,Fastighetsbyrån,1396.6364020362935,Fruangen
2016-02-19,Visirvägen 17,Segeltorp,Röd Norsborg,3,59,2,Lägenhet,2008,[Segeltorp],2595000,255000,2850000,3956,Mäklarhuset,857.817405037684,Satra
2016-02-19,Värnstigen 34,Segeltorp,Röd Norsborg,2,36.5,3,Lägenhet,1995,[Segeltorp],1650000,150000,1800000,3050,Länsförsäkringar Fastighetsförmedling,788.9656480242155,Satra
2016-02-19,Prästkragstigen 3,Segeltorp,Röd Norsborg,6,121,null,Villa,1946,[Älvsjö],6795000,335000,7130000,null,Fastighetsbyrån,1597.4323644519761,Fruangen
2016-02-17,Palissadvägen 12,Segeltorp,Röd Norsborg,3,79,null,Lägenhet,2013,[Segeltorp],2850000,300000,3150000,4904,Länsförsäkringar Fastighetsförmedling,598.0258120419818,Satra
2016-02-16,Stigmansvägen 10B,Segeltorp,Röd Norsborg,2,45,2,Lägenhet,2005,[Segeltorp],1550000,770000,2320000,2914,Erik Olsson Fastighetsförmedling,629.8350934068201,Satra
2016-02-12,Malmvägen 16,Segeltorp,Röd Norsborg,5,110,null,Radhus,1975,[Segeltorp],3995000,705000,4700000,null,HusmanHagberg,937.6979517117651,Fruangen
2016-02-05,Gamla Kyrkvägen 34,Segeltorp,Röd Norsborg,6,135,null,Radhus,1979,[Segeltorp],4675000,1445000,6120000,null,Fastighetsbyrån,1333.57334707368,Fruangen
2016-02-02,Värnstigen 30,Segeltorp,Röd Norsborg,3,70,null,Lägenhet,1995,[Segeltorp],1850000,370000,2220000,5284,Magnusson Mäkleri,775.9285538644823,Satra
2016-01-24,Stigmansvägen 6A,Segeltorp,Röd Norsborg,4,88,null,Radhus,2005,[Segeltorp],2795000,385000,3180000,5620,Svensk Fastighetsförmedling,624.1935258227581,Satra
2016-01-21,Orrvägen 1C,Segeltorp,Röd Norsborg,2,64.7,0,Lägenhet,1962,[Segeltorp],1995000,305000,2300000,2600,Svensk Fastighetsförmedling,1753.0470587262498,Fruangen
2016-01-21,Slåttervägen 35B,Segeltorp,Röd Norsborg,5,119,null,Villa,1937,[Segeltorp],6995000,605000,7600000,null,MOHV,1164.961290546855,Satra
2016-01-14,Palissadvägen 14,Segeltorp,Röd Norsborg,4,104,3,Lägenhet,2013,[Segeltorp],2995000,785000,3780000,6006,Länsförsäkringar Fastighetsförmedling,579.8225041459406,Satra
2016-01-10,Gamla Södertäljevägen 140,Segeltorp,Röd Norsborg,8,126,null,Villa,1930,[Segeltorp],3495000,3480000,6975000,null,Fastighetsbyrån,1260.1289065845324,Satra
2016-01-07,Palissadvägen 14,Segeltorp,Röd Norsborg,2,65,0,Lägenhet,2012,[Segeltorp],1995000,505000,2500000,4182,Fastighetsbyrån,579.8225041459406,Satra
2015-12-19,Budkavlevägen 1,Segeltorp,Röd Norsborg,2,58,2,Lägenhet,1994,[Segeltorp],1495000,440000,1935000,5660,ERA,844.2949480462964,Satra
2015-12-17,Malmvägen 69,Segeltorp,Röd Norsborg,5,110,null,Villa,1977,[Segeltorp],null,NaN,4680000,null,BoLiving,787.2054746918238,Fruangen
2015-12-11,Borgbacken 6,Segeltorp,Röd Norsborg,2,58.5,1,Lägenhet,1997,[Segeltorp],1995000,225000,2220000,4415,Fastighetsbyrån,804.694355652344,Satra
2015-12-05,Palissadvägen 14,Segeltorp,Röd Norsborg,3,79,1,Lägenhet,2012,[Segeltorp],2795000,355000,3150000,4904,Fastighetsbyrån,579.8225041459406,Satra
