date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Åsögatan 181,Sofia,Södermalm,2,49,2,Lägenhet,1929,[Södermalm],3375000,350000,3725000,2496,SkandiaMäklarna,895.7342097049998,Medborgarplatsen
2016-05-13,Klippgatan 14,Sofia,Södermalm,1.5,36,null,Lägenhet,1929,[Södermalm Sofia],2695000,355000,3050000,1921,HusmanHagberg,811.230753303547,Medborgarplatsen
2016-05-13,Kocksgatan 55,Sofia,Södermalm,2,36,1,Lägenhet,1939,[Sofia],2695000,705000,3400000,1652,Fastighetsbyrån,676.0639434781705,Medborgarplatsen
2016-05-12,Tegelviksgatan 38,Sofia,Södermalm,3,74.5,3,Lägenhet,null,[Sofia],4295000,1455000,5750000,4636,Fastighetsbyrån,1254.1139527358284,Skanstull
2016-05-11,Åsögatan 174,Sofia,Södermalm,1,24,5,Lägenhet,1930,[Södermalm],1995000,505000,2500000,1350,SkandiaMäklarna,756.3360357020542,Medborgarplatsen
2016-05-11,Åsögatan 189,Sofia,Södermalm,1,41,3,Lägenhet,null,[Södermalm],2650000,450000,3100000,2060,BOSTHLM,978.1147014574385,Medborgarplatsen
2016-05-10,Erstagatan 20,Sofia,Södermalm,1,38,4,Lägenhet,1930,[Sofia],2795000,505000,3300000,1117,Fastighetsbyrån,922.9909832296341,Medborgarplatsen
2016-05-09,Klippgatan 14E,Sofia,Södermalm,2,47,3,Lägenhet,1929,[Södermalm],3595000,95000,3690000,2509,Mäklarhuset,813.1208461238265,Medborgarplatsen
2016-05-06,Kocksgatan 55,Sofia,Södermalm,1.5,36,2,Lägenhet,1939,[Södermalm],2800000,250000,3050000,1652,Notar,676.0639434781705,Medborgarplatsen
2016-05-04,Tegelviksgatan 51,Sofia,Södermalm,3,78,3,Lägenhet,1999,[Södermalm],4500000,450000,4950000,4933,SkandiaMäklarna,1332.2089512026926,Skanstull
2016-05-04,Alsnögatan 24,Sofia,Södermalm,1.5,35,5,Lägenhet,1999,[Södermalm Sofia],1995000,590000,2585000,3154,HusmanHagberg,1506.0078913256775,Skanstull
2016-05-04,Klippgatan 14H,Sofia,Södermalm,2,45,4,Lägenhet,1929,[Södermalm],3695000,155000,3850000,2597,Alexander White Fastighetsmäkleri,813.4805017647982,Medborgarplatsen
