date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Fredsgatan 25,Sundbyberg Centrum,Blå Sundbyberg,1,36.7,3,Lägenhet,1923,[Sundbyberg Centrum],2350000,400000,2750000,1535,Länsförsäkringar Fastighetsförmedling,76.91530909748948,Duvbo
2016-05-14,Vegagatan 23,Sundbyberg Centrum,Blå Sundbyberg,4,108,5,Lägenhet,2011,[Sundbyberg/Duvbo],5795000,205000,6000000,5013,Svensk Fastighetsförmedling,297.22629608370096,Duvbo
2016-05-14,Starrbäcksgatan 9B,Sundbyberg Centrum,Blå Sundbyberg,2,62,2,Lägenhet,1989,[Sundbyberg/Duvbo],2695000,540000,3235000,3272,Fastighetsbyrån,250.11504095071675,Duvbo
2016-05-13,Fredsgatan 9B,Sundbyberg Centrum,Blå Sundbyberg,1.5,48,0.5,Lägenhet,null,[Sundbyberg/Duvbo],2395000,155000,2550000,2737,SkandiaMäklarna,299.31719302780016,Duvbo
2016-05-13,Fredsgatan 15,Sundbyberg Centrum,Blå Sundbyberg,2,60,3,Lägenhet,1939,[Sundbyberg/Duvbo],2995000,555000,3550000,3115,Fastighetsbyrån,217.65016919054796,Duvbo
2016-05-12,Franstorpsvägen 4C,Sundbyberg Centrum,Blå Sundbyberg,2,62.5,1,Lägenhet,1962,[Sundbyberg/Duvbo],2395000,105000,2500000,3491,Notar,425.9838493036797,Sundbybergs centrum
2016-05-12,Vintergatan 12,Sundbyberg Centrum,Blå Sundbyberg,1.5,54,null,Lägenhet,1934,[Sundbyberg/Duvbo],2495000,0,2495000,3522,SkandiaMäklarna,389.83462119701414,Sundbybergs centrum
2016-05-11,Tulegatan 29B,Sundbyberg Centrum,Blå Sundbyberg,2,56,2,Lägenhet,null,[Sundbyberg/Duvbo],2950000,-255000,2695000,4112,Svenska Mäklarhuset,368.85012636169716,Sundbybergs centrum
2016-05-10,Högklintavägen 20,Sundbyberg Centrum,Blå Sundbyberg,3,82.5,3,Lägenhet,null,[Sundbyberg/Duvbo],3150000,850000,4000000,4513,Svenska Mäklarhuset,272.40459390682446,Sundbybergs centrum
2016-05-09,Svalgränd 8B,Sundbyberg Centrum,Blå Sundbyberg,1,34.5,4,Lägenhet,1962,[Sundbyberg/Duvbo],1950000,390000,2340000,1941,Notar,354.35684967121796,Duvbo
2016-05-06,Rosengatan 11,Sundbyberg Centrum,Blå Sundbyberg,1,38,null,Lägenhet,1945,[Sundbyberg/Duvbo],1995000,665000,2660000,2131,Notar,131.92675035523266,Sundbybergs centrum
2016-05-06,Sturegatan 30,Sundbyberg Centrum,Blå Sundbyberg,2,52,3,Lägenhet,1946,[Centrum],3195000,0,3195000,2536,Hemverket,281.1183159432669,Sundbybergs centrum
2016-05-05,Svalgränd 8C,Sundbyberg Centrum,Blå Sundbyberg,3,68,5,Lägenhet,1962,[Sundbyberg/Duvbo],3495000,575000,4070000,3587,One Fastighetsmäkleri,346.5747760472111,Duvbo
2016-05-05,Albygatan 125,Sundbyberg Centrum,Blå Sundbyberg,3,82.5,2,Lägenhet,null,[Sundbyberg/Duvbo],3395000,205000,3600000,3415,Svenska Mäklarhuset,439.27111524012014,Sundbybergs centrum
2016-05-04,Albygatan 119,Sundbyberg Centrum,Blå Sundbyberg,3,70,2,Lägenhet,null,[Sundbyberg/Duvbo],3295000,505000,3800000,3647,Svenska Mäklarhuset,316.83336414062205,Solna strand
2016-05-04,Vintergatan 15A,Sundbyberg Centrum,Blå Sundbyberg,3,72.3,3,Lägenhet,1920,[Sundbyberg/Duvbo],3995000,830000,4825000,4192,Fastighetsbyrån,272.5150047966709,Sundbybergs centrum
2016-05-04,Vattugatan 8,Sundbyberg Centrum,Blå Sundbyberg,2,39,null,Lägenhet,2008,[Sundbyberg/Duvbo],2295000,555000,2850000,2855,Notar,164.45644440983259,Duvbo
2016-05-03,Sundbybergs Torg 1C,Sundbyberg Centrum,Blå Sundbyberg,4,119,4,Lägenhet,1937,[Sundbyberg/Duvbo],7995000,0,7995000,6456,Fastighetsbyrån,171.53015073590964,Sundbybergs centrum
2016-04-30,Sturegatan 30,Sundbyberg Centrum,Blå Sundbyberg,2,53.3,2,Lägenhet,1946,[Sundbyberg/Duvbo],2995000,675000,3670000,2585,Fastighetsbyrån,281.1183159432669,Sundbybergs centrum
2016-04-29,Albygatan 120,Sundbyberg Centrum,Blå Sundbyberg,3,84,3,Lägenhet,1944,[Lilla Alby],2950000,750000,3700000,4370,Notar,303.7871262571811,Solna strand
2016-04-29,Kyrkogatan 9,Sundbyberg Centrum,Blå Sundbyberg,3,69,2,Lägenhet,2011,[Sundbyberg/Duvbo],4725000,0,4725000,4292,BOSTHLM,320.335273763515,Sundbybergs centrum
2016-04-29,Sundbybergs Torg 1J,Sundbyberg Centrum,Blå Sundbyberg,3,76,6,Lägenhet,2013,[Sundbyberg/Duvbo],3995000,705000,4700000,4368,Notar,254.24179753546557,Sundbybergs centrum
2016-04-28,Trädgårdsgatan 19,Sundbyberg Centrum,Blå Sundbyberg,2,59,1,Lägenhet,null,[Sundbyberg/Duvbo],2495000,480000,2975000,3121,Svenska Mäklarhuset,346.57479395507147,Solna strand
2016-04-28,Rosengatan 3A,Sundbyberg Centrum,Blå Sundbyberg,2,45,4,Lägenhet,1938,[Sundbyberg/Duvbo],2595000,415000,3010000,3188,Erik Olsson Fastighetsförmedling,57.0230484288581,Sundbybergs centrum
