date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-04,Gransätragränd 12,Sätra,Röd Norsborg,3,82,0,Lägenhet,1965,[Sätra],2745000,370000,3115000,4249,Fastighetsbyrån,428.8229623874846,Satra
2016-04-29,Örnsätrabacken 176,Sätra,Röd Norsborg,6,140,null,Villa,null,[Sätra],4595000,615000,5210000,null,Södermäklarna,889.6288021951672,Satra
2016-04-28,Kråksätrabacken 31,Sätra,Röd Norsborg,6,177,null,Kedjehus,1966,[Sätra],4390000,1020000,5410000,null,Fastighetsbyrån,798.8630824659868,Bredang
2016-04-21,Gransätragränd 15,Sätra,Röd Norsborg,3,89.5,2,Lägenhet,1965,[Sätra],2490000,560000,3050000,4615,Fastighetsbyrån,484.8083504895098,Satra
2016-04-20,Aspsätravägen 7,Sätra,Röd Norsborg,1.5,44,0,Lägenhet,1965,[Sätra],1690000,460000,2150000,2346,Fastighetsbyrån,472.35641029835574,Satra
2016-04-19,Hållsätrabacken 38,Sätra,Röd Norsborg,3,75,null,Lägenhet,1966,[Sätra],1895000,735000,2630000,4658,Notar,394.8418010203022,Satra
2016-04-18,Gransätragränd 51,Sätra,Röd Norsborg,4,94.5,3,Lägenhet,1965,[Sätra],2790000,500000,3290000,5096,Fastighetsbyrån,484.4004373728959,Satra
2016-04-08,Gransätragränd 8,Sätra,Röd Norsborg,4,94,3,Lägenhet,1964,[Sätra],2695000,-95000,2600000,4980,Hemverket,549.5552120964177,Satra
2016-04-08,Kungssätravägen 18,Sätra,Röd Norsborg,2,41,3,Lägenhet,2014,[Sätra],1895000,535000,2430000,2491,HusmanHagberg,181.82591806083488,Satra
2016-03-29,Kungssätravägen 18,Sätra,Röd Norsborg,2,41,3,Lägenhet,2014,[Sätra],1895000,405000,2300000,2491,Notar,181.82591806083488,Satra
2016-03-24,Hållsätrabacken 34,Sätra,Röd Norsborg,2,58,-1,Lägenhet,1966,[Sätra],1790000,340000,2130000,3753,Fastighetsbyrån,394.9043201519554,Satra
2016-02-12,Kungssätravägen 25A,Sätra,Röd Norsborg,3,70.7,2,Lägenhet,2000,[Sätra],2300000,0,2300000,5127,Fastighetsbyrån,136.95380832153162,Satra
2016-01-28,Kråksätrabacken 79,Sätra,Röd Norsborg,7,179,null,Kedjehus,1967,[Skärholmen],4495000,105000,4600000,null,SkandiaMäklarna,723.0040103049939,Satra
2016-01-18,Aspsätravägen 27,Sätra,Röd Norsborg,1.5,48,2,Lägenhet,1964,[Skärholmen],1695000,445000,2140000,2526,Tomas Mäklarbyrå,434.6763701826431,Satra
2016-01-16,Kungssätravägen 14,Sätra,Röd Norsborg,1.5,36,1,Lägenhet,1965,[Sätra],1690000,200000,1890000,2504,Fastighetsbyrån,214.80582602267913,Satra
2015-12-16,Örnsätrabacken 180,Sätra,Röd Norsborg,5,123,null,Villa,1967,[Sätra],4495000,505000,5000000,null,Notar,854.6190275811168,Satra
2015-12-04,Hållsätrabacken 32,Sätra,Röd Norsborg,1,39,-1,Lägenhet,1966,[Sätra],1595000,605000,2200000,2273,HusmanHagberg,424.44847150056546,Satra
2015-11-26,Örnsätrabacken 202,Sätra,Röd Norsborg,7,161,null,Villa,1967,[Sätra],4590000,660000,5250000,null,Fastighetsbyrån,871.2291701601519,Bredang
2015-11-20,Örnsätrabacken 206,Sätra,Röd Norsborg,7,176,null,Villa,1967,[Sätra],4690000,560000,5250000,null,Fastighetsbyrån,859.2103529770206,Bredang
2015-11-19,Alsätravägen 30,Sätra,Röd Norsborg,7,123,null,Radhus,1967,[Sätra],3495000,355000,3850000,null,HusmanHagberg,643.0792738748924,Satra
2015-11-17,Kungssätravägen 29B,Sätra,Röd Norsborg,2,56.1,1,Lägenhet,2001,[Skärholmen],2095000,25000,2120000,3397,SkandiaMäklarna,135.8643380916922,Satra
2015-11-13,Kungssätravägen 8,Sätra,Röd Norsborg,2,57,1,Lägenhet,1964,[Sätra],1790000,360000,2150000,3541,Fastighetsbyrån,187.13604071565646,Satra
2015-11-03,Kungssätravägen 14,Sätra,Röd Norsborg,3,79,1,Lägenhet,1965,[Sätra],1995000,675000,2670000,4654,Notar,214.80582602267913,Satra
2015-10-13,Kungssätravägen 8,Sätra,Röd Norsborg,2,57,4,Lägenhet,1964,[Sätra],1750000,365000,2115000,3541,Fastighetsmäklarna,187.13604071565646,Satra
2015-10-09,Alsätravägen 30,Sätra,Röd Norsborg,7,123,null,Radhus,1967,[Sätra],3195000,1055000,4250000,null,HusmanHagberg,643.0792738748924,Satra
2015-10-05,Aspsätravägen 17,Sätra,Röd Norsborg,3,80,2,Lägenhet,1965,[Sätra],2195000,325000,2520000,3905,Notar,501.05309498048035,Satra
2015-09-29,Aspsätravägen 27,Sätra,Röd Norsborg,3,80,3,Lägenhet,1965,[Skärholmen],2250000,300000,2550000,3904,Fastighetsmäklarna,434.6763701826431,Satra
2015-09-24,Kungssätravägen 18,Sätra,Röd Norsborg,2,41,4,Lägenhet,2013,null,1795000,555000,2350000,2491,Notar,181.82591806083488,Satra
2015-08-13,Kungssätravägen 29,Sätra,Röd Norsborg,3,66.4,-1,Lägenhet,2001,[Skärholmen],1895000,375000,2270000,3836,SkandiaMäklarna,137.01407289403667,Satra
2015-07-24,Kungssätravägen 18,Sätra,Röd Norsborg,3,60.5,2,Lägenhet,2013,[Sätra],1895000,605000,2500000,3675,Notar,181.82591806083488,Satra
2015-07-23,Hållsätrabacken 34,Sätra,Röd Norsborg,3,75,2,Lägenhet,1966,[Sätra],1595000,760000,2355000,4313,RE/MAX Sverige,394.9043201519554,Satra
2015-07-20,Kungssätravägen 18,Sätra,Röd Norsborg,2,41,4,Lägenhet,2013,null,1695000,735000,2430000,2491,Notar,181.82591806083488,Satra
2015-06-30,Kungssätravägen 18,Sätra,Röd Norsborg,2,40,5,Lägenhet,2014,[Sätra],1695000,635000,2330000,2430,Edward & Partners Fastighetsmäklare AB,181.82591806083488,Satra
2015-06-16,Gransätragränd 33,Sätra,Röd Norsborg,4,89.5,1,Lägenhet,1964,[Sätra],2290000,435000,2725000,4730,Fastighetsbyrån,429.7696651082031,Satra
2015-06-11,Kungssätravägen 23C,Sätra,Röd Norsborg,2,62,0,Lägenhet,2001,[Sätra],1790000,510000,2300000,3620,Fastighetsbyrån,116.96132741011624,Satra
2015-06-02,Kungssätravägen 18,Sätra,Röd Norsborg,2,40,null,Lägenhet,2013,[Sätra],1495000,405000,1900000,2430,Notar,181.82591806083488,Satra
2015-05-29,Kungssätravägen 18,Sätra,Röd Norsborg,3,60,2,Lägenhet,2014,[Sätra],1990000,120000,2110000,3675,Fastighetsbyrån,181.82591806083488,Satra
2015-05-12,Kungssätravägen 14,Sätra,Röd Norsborg,1.5,36,4,Lägenhet,1965,[Sätra],1590000,-15000,1575000,2385,Fastighetsbyrån,214.80582602267913,Satra
2015-05-06,Kungssätravägen 18,Sätra,Röd Norsborg,2,40,6,Lägenhet,null,[Sätra],1690000,540000,2230000,2430,Fastighetsbyrån,181.82591806083488,Satra
2015-05-06,Kungssätravägen 27B,Sätra,Röd Norsborg,3,66.4,-1,Lägenhet,2000,[Sätra],2200000,-170000,2030000,4298,Fastighetsbyrån,174.24917721816692,Satra
2015-04-25,Kungssätravägen 8,Sätra,Röd Norsborg,2,57,4,Lägenhet,1964,[Sätra],1795000,305000,2100000,3541,Fastighetsbyrån,187.13604071565646,Satra
2015-04-15,Kungssätravägen 25B,Sätra,Röd Norsborg,2,64.7,2,Lägenhet,2000,[Sätra],1490000,705000,2195000,4744,Fastighetsbyrån,146.42499404143777,Satra
2015-03-31,Kungssätravägen 18,Sätra,Röd Norsborg,2,41,2,Lägenhet,2013,[Sätra],1895000,55000,1950000,2491,Notar,181.82591806083488,Satra
2015-03-13,Kungssätravägen 18,Sätra,Röd Norsborg,3,61,5,Lägenhet,2014,[Skärholmen],2395000,205000,2600000,3675,Svensk Fastighetsförmedling,181.82591806083488,Satra
2015-03-12,Kungssätravägen 14,Sätra,Röd Norsborg,1,36,4,Lägenhet,1965,[Sätra],1290000,340000,1630000,2385,Fastighetsbyrån,214.80582602267913,Satra
2015-03-04,Kungssätravägen 18,Sätra,Röd Norsborg,2,41,7,Lägenhet,2013,[Sätra],1895000,155000,2050000,2491,Notar,181.82591806083488,Satra
2015-03-04,Kungssätravägen 27B,Sätra,Röd Norsborg,2,64.7,3,Lägenhet,2001,[Sätra],1495000,40000,1535000,4821,Länsförsäkringar Fastighetsförmedling,174.24917721816692,Satra
2015-02-06,Gransätragränd 21,Sätra,Röd Norsborg,4,92,null,Lägenhet,1963,[Sätra],1995000,1020000,3015000,4623,Södermäklarna,495.54894589133306,Satra
2015-01-23,Kungssätravägen 64,Sätra,Röd Norsborg,3,80,5,Lägenhet,2009,[Sätra Centrum],2300000,325000,2625000,4633,HusmanHagberg,179.99671728493973,Satra
