date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Tulegatan 66,Tulemarken,Blå Sundbyberg,1.5,40,1,Lägenhet,1942,[Sundbyberg/Duvbo],2250000,360000,2610000,2499,Notar,97.54869731469279,Duvbo
2016-05-14,Bergaliden 31,Tulemarken,Blå Sundbyberg,5,129,null,Villa,null,[Sundbyberg/Duvbo],7995000,1230000,9225000,null,Svenska Mäklarhuset,402.1446389962427,Duvbo
2016-05-06,Tulegatan 72,Tulemarken,Blå Sundbyberg,2,53,3,Lägenhet,1942,[Sundbyberg/Duvbo],2475000,525000,3000000,3255,Mäklarhuset,199.11712198235654,Duvbo
2016-04-29,Bergaliden 11,Tulemarken,Blå Sundbyberg,3,80,1,Lägenhet,null,[Lötsjöhöjden],4700000,800000,5500000,4708,Svenska Mäklarhuset,312.87252378652414,Duvbo
2016-04-23,Bergaliden 5,Tulemarken,Blå Sundbyberg,4,88,1,Lägenhet,2008,[Sundbyberg/Duvbo],4395000,255000,4650000,5112,Fastighetsbyrån,214.53205124484182,Duvbo
2016-04-14,Tulegatan 68,Tulemarken,Blå Sundbyberg,3,67,2,Lägenhet,null,[Sundbyberg/Duvbo],3295000,325000,3620000,3766,Svenska Mäklarhuset,128.69277701163261,Duvbo
2016-04-08,Fredsgränd 11,Tulemarken,Blå Sundbyberg,3,76,3,Lägenhet,null,[Sundbyberg/Duvbo],4195000,955000,5150000,4589,Svenska Mäklarhuset,231.11692104606578,Duvbo
2016-04-01,Tulegatan 58B,Tulemarken,Blå Sundbyberg,2,46.5,3,Lägenhet,1931,[Sundbyberg/Duvbo],2395000,575000,2970000,2728,Bjurfors,45.56493031254633,Duvbo
2016-03-24,Furuvägen 26,Tulemarken,Blå Sundbyberg,3,82.5,4,Lägenhet,2008,[Tulemarken],4395000,1075000,5470000,4380,Fastighetsbyrån,381.986298792804,Duvbo
2016-03-18,Fredsgränd 9,Tulemarken,Blå Sundbyberg,2,64.5,5,Lägenhet,2009,[Lötsjöhöjden],3095000,855000,3950000,3998,Notar,152.60767499453786,Duvbo
2016-03-12,Tulegatan 78,Tulemarken,Blå Sundbyberg,1,37.3,null,Lägenhet,1948,[Duvbo],2200000,-305000,1895000,2173,Notar,277.57333976600586,Duvbo
2016-03-01,Rensgatan 3,Tulemarken,Blå Sundbyberg,6,115,null,Villa,1938,[Tulemarken],7795000,1455000,9250000,null,Svensk Fastighetsförmedling,292.68876690099796,Duvbo
2016-02-16,Tulegatan 68,Tulemarken,Blå Sundbyberg,3,67,null,Lägenhet,null,[Sundbyberg/Duvbo],3295000,105000,3400000,3633,Notar,128.69277701163261,Duvbo
