date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Götgatan 90A,Tullgården,Södermalm,1,30,2,Lägenhet,1932,[Södermalm],2900000,0,2900000,838,BOSTHLM,284.4855747881214,Skanstull
2016-05-13,Götgatan 92,Tullgården,Södermalm,2.5,82,5,Lägenhet,null,[Södermalm],5975000,335000,6310000,2741,WestEast,251.37504372682452,Skanstull
2016-05-13,Götgatan 114,Tullgården,Södermalm,3,65,6,Lägenhet,1981,[Katarina],4195000,305000,4500000,2799,Notar,135.73253848590156,Skanstull
2016-05-12,Östgötagatan 68,Tullgården,Södermalm,2,54,null,Lägenhet,1915,[Katarina],3995000,555000,4550000,1382,Notar,212.11462108688048,Skanstull
2016-05-12,Katarina Bangata 31,Tullgården,Södermalm,2,66,4,Lägenhet,1914,[Södermalm-Katarina],5900000,-2505000,3395000,2165,Södermäklarna,429.70897125931674,Medborgarplatsen
2016-05-11,Ringvägen 127,Tullgården,Södermalm,2,34,1,Lägenhet,1929,[Katarina],2595000,915000,3510000,1184,Svensk Fastighetsförmedling,124.46159572838226,Skanstull
2016-05-11,Östgötagatan 48A,Tullgården,Södermalm,2,63,1,Lägenhet,2011,[Södermalm Katarina],3995000,30000,4025000,2333,Bjurfors,343.7291778659342,Skanstull
2016-05-11,Södermannagatan 31,Tullgården,Södermalm,2.5,68,3,Lägenhet,1926,[Södermalm],5150000,775000,5925000,2717,Fastighetsmäklarna,505.1421863765808,Medborgarplatsen
2016-05-11,Ringvägen 129,Tullgården,Södermalm,2,48,3,Lägenhet,1930,[Södermalm Katarina],3195000,855000,4050000,1743,Bjurfors,146.9628002549023,Skanstull
2016-05-11,Östgötagatan 70,Tullgården,Södermalm,1,18,5,Lägenhet,1923,[Södermalm Sofia],1995000,345000,2340000,864,Bjurfors,219.26630897335102,Skanstull
2016-05-06,Tullgårdsgatan 18,Tullgården,Södermalm,2,52,1,Lägenhet,1994,[Sofia],3750000,460000,4210000,4067,Svensk Fastighetsförmedling,701.5623560544847,Skanstull
2016-05-05,Vintertullstorget 50,Tullgården,Södermalm,5,121.5,5,Lägenhet,1983,[Södermalm],7995000,455000,8450000,6977,Fastighetsmäklarna,856.3841165372967,Skanstull
2016-05-05,Södermannagatan 37,Tullgården,Södermalm,3.5,89.5,1,Lägenhet,1973,[Södermalm],5575000,350000,5925000,2883,SkandiaMäklarna,460.9388474221119,Skanstull
2016-05-05,Östgötagatan 85,Tullgården,Södermalm,2,51,5,Lägenhet,1914,[Katarina],3495000,1025000,4520000,1756,Fastighetsbyrån,237.76000942605168,Skanstull
2016-05-04,Allhelgonagatan 15,Tullgården,Södermalm,2,57,1.5,Lägenhet,1931,[Katarina],3950000,725000,4675000,2613,Fastighetsbyrån,238.8389975859515,Skanstull
2016-05-04,Metargatan 3,Tullgården,Södermalm,2,39,2,Lägenhet,1929,[Sofia],2995000,905000,3900000,1031,Svensk Fastighetsförmedling,468.6674478368293,Skanstull
