date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Egnahemsvägen 30,Ursvik,Blå Solna,6,166,null,Villa,1904,[Ursvik],8795000,755000,9550000,null,Svensk Fastighetsförmedling,709.4514126376847,Hallonbergen
2016-05-10,Oxenstiernas Allé 10,Ursvik,Blå Solna,2,46,null,Lägenhet,2012,[Stora Ursvik],2395000,0,2395000,2940,Mäklarringen,804.2218017579397,Rissne
2016-05-09,Stallgatan 22,Ursvik,Blå Solna,3,75,3,Lägenhet,2015,[Ursvik],3135000,265000,3400000,4250,Hemverket,931.1645922537738,Rissne
2016-05-06,Gamla Enköpingsvägen 174,Ursvik,Blå Solna,1.5,42,6,Lägenhet,2013,[Ursvik],2095000,315000,2410000,2297,Notar,769.6700255292325,Rissne
2016-05-06,Milstensvägen 27,Ursvik,Blå Solna,3,72,4,Lägenhet,2012,[Ursvik],2995000,135000,3130000,3578,Länsförsäkringar Fastighetsförmedling,1051.070698276386,Hallonbergen
2016-05-05,Forskargränd 20,Ursvik,Blå Solna,5,153,null,Lägenhet,2009,[Rissne/Ursvik],5495000,355000,5850000,6462,SkandiaMäklarna,1052.8780874195156,Rissne
2016-05-05,Milstensvägen 28,Ursvik,Blå Solna,5,137,null,Radhus,2007,[Ursvik],5995000,575000,6570000,null,Svensk Fastighetsförmedling,939.9453699095099,Hallonbergen
2016-04-29,Milstensvägen 15,Ursvik,Blå Solna,4,99,3,Lägenhet,2007,[Ursvik],3695000,455000,4150000,5273,Fastighetsbyrån,1004.9763853454688,Hallonbergen
2016-04-29,Oxenstiernas Allé 11,Ursvik,Blå Solna,2,47,4,Lägenhet,2013,[Ursvik],2195000,605000,2800000,2519,Notar,793.6000862469105,Rissne
2016-04-28,Skrivargatan 31,Ursvik,Blå Solna,1,35,3,Lägenhet,2016,[Rissne/Ursvik],1995000,0,1995000,2420,Svensk Fastighetsförmedling,862.8382629083341,Rissne
2016-04-28,Oxenstiernas Allé 18,Ursvik,Blå Solna,2,54.5,2,Lägenhet,2015,[Ursvik],2495000,15000,2510000,3009,MOHV,791.551789144529,Rissne
2016-04-26,Oxenstiernas Allé 18,Ursvik,Blå Solna,2,42.5,1,Lägenhet,2015,[Ursvik],2400000,-150000,2250000,2460,Notar,791.551789144529,Rissne
2016-04-25,Stallgatan 13,Ursvik,Blå Solna,2,46,4,Lägenhet,2016,[Rissne/Ursvik],2495000,5000,2500000,2944,Erik Olsson Fastighetsförmedling,853.3230432589763,Rissne
2016-04-25,Oxenstiernas Allé 22,Ursvik,Blå Solna,4,105,4,Lägenhet,2016,[Stora Ursvik],4495000,100000,4595000,5861,Mäklarringen,791.551789144529,Rissne
2016-04-24,Oxenstiernas Allé 21,Ursvik,Blå Solna,2,38,null,Lägenhet,null,[Ursvik],1975000,225000,2200000,2541,HusmanHagberg,912.2148227967455,Rissne
2016-04-22,Forskargränd 20,Ursvik,Blå Solna,3,91,null,Lägenhet,2009,[Rissne/Ursvik],3595000,335000,3930000,4401,SkandiaMäklarna,1052.8780874195156,Rissne
2016-04-22,Stallgatan 13,Ursvik,Blå Solna,3,65,2,Lägenhet,null,[Ursvik],3095000,-45000,3050000,3849,Fastighetsbyrån,853.3230432589763,Rissne
2016-04-21,Oxentiernas Allé 23,Ursvik,Blå Solna,2,39,3,Lägenhet,2013,[Ursvik],2195000,255000,2450000,2590,Fastighetsbyrån,819.1630480094553,Rissne
2016-04-20,Gamla Enköpingsvägen 176,Ursvik,Blå Solna,4,77,5,Lägenhet,2016,[Rissne/Ursvik],3400000,100000,3500000,4338,Erik Olsson Fastighetsförmedling,827.072924224314,Rinkeby
2016-04-19,Stallgatan 30,Ursvik,Blå Solna,2,52,null,Lägenhet,2013,[Ursvik],2395000,-45000,2350000,3295,Notar,977.8276829071197,Rinkeby
2016-04-19,Skördegatan 4,Ursvik,Blå Solna,2,52.2,null,Lägenhet,2013,[Ursvik],2395000,250000,2645000,3195,Notar,1000.7850781048991,Rinkeby
