date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-13,Arbrågatan 15,Vällingby,Grön Hässelby,6,120,null,Villa,1960,[Vällingby],5475000,1185000,6660000,null,Svensk Fastighetsförmedling,598.9728613719246,Vallingby
2016-05-13,Råcksta Gårdsväg 28,Vällingby,Grön Hässelby,2,40,5,Lägenhet,null,[Vällingby],1875000,25000,1900000,2748,Svenska Mäklarhuset,252.14920748127162,Racksta
2016-05-11,Jämtlandsgatan 150,Vällingby,Grön Hässelby,1,33,3,Lägenhet,1952,[Vällingby],1495000,505000,2000000,2048,Bjurfors,202.46979624216806,Vallingby
2016-05-11,Härjedalsgatan 5,Vällingby,Grön Hässelby,2,60,2.5,Lägenhet,1956,[Vällingby Centrum],1995000,205000,2200000,3010,Mäklarhuset,408.69406671338095,Vallingby
2016-05-11,Östersundsgatan 7,Vällingby,Grön Hässelby,1,40,5,Lägenhet,null,[Hässelby-Vällingby],1750000,355000,2105000,2167,SkandiaMäklarna,128.60073313714122,Racksta
2016-05-09,Jämtlandsgatan 152,Vällingby,Grön Hässelby,5,132,11,Lägenhet,1953,[Vällingby Centrum],3795000,225000,4020000,4960,Mäklarringen,225.26263211733666,Vallingby
2016-05-06,Vällingbyvägen 116,Vällingby,Grön Hässelby,5,102,null,Radhus,1956,[Vällingbyhöjden],4475000,445000,4920000,4700,Bjurfors,535.4854430794978,Vallingby
2016-05-05,Vittangigatan 16,Vällingby,Grön Hässelby,1,34,3,Lägenhet,1953,[Vällingby Centrum],1695000,385000,2080000,2071,Mäklarhuset,209.149886831832,Vallingby
2016-05-04,Råcksta Gårdsväg 21,Vällingby,Grön Hässelby,3,75,3,Lägenhet,2011,[Vällingby],2595000,245000,2840000,4499,Fastighetsbyrån,303.4033998461812,Racksta
2016-05-04,Nickelgränd 10,Vällingby,Grön Hässelby,3,75,6,Lägenhet,1958,[Vällingby],2595000,405000,3000000,3349,Mäklarhuset,151.82256408063617,Racksta
2016-05-04,Vittangigatan 9,Vällingby,Grön Hässelby,3,75,3,Lägenhet,1952,[Vällingby Centrum],2595000,0,2595000,4070,Mäklarhuset,259.38959956595676,Vallingby
2016-04-29,Kirunagatan 19,Vällingby,Grön Hässelby,4,86,5,Lägenhet,null,[Vällingby Centrum],2595000,165000,2760000,6110,Mäklarhuset,442.67298612303347,Vallingby
2016-04-29,Östersundsgatan 7,Vällingby,Grön Hässelby,1,38,11,Lägenhet,2015,[Vällingby Råcksta],1995000,5000,2000000,2058,HusmanHagberg,128.60073313714122,Racksta
2016-04-29,Multrågatan 19,Vällingby,Grön Hässelby,4,84.8,8,Lägenhet,1958,[Vällingby Råcksta],2595000,10000,2605000,4767,Notar,280.88718083077543,Racksta
2016-04-28,Mörsilsgatan 32,Vällingby,Grön Hässelby,2,40,1,Lägenhet,1954,[Vällingby Centrum],1675000,495000,2170000,1679,Mäklarhuset,354.5290549482398,Vallingby
2016-04-28,Kirunagatan 25N,Vällingby,Grön Hässelby,3,65,1,Lägenhet,2005,[Vällingby],2195000,355000,2550000,4668,Mäklarhuset,358.09900534326704,Vallingby
2016-04-27,Råcksta Gårdsväg 21,Vällingby,Grön Hässelby,4,82,8,Lägenhet,2011,[Vällingby],2895000,455000,3350000,4839,Svensk Fastighetsförmedling,303.4033998461812,Racksta
2016-04-27,Abiskovägen 16,Vällingby,Grön Hässelby,4,87,1,Lägenhet,1954,[Vällingby],2395000,285000,2680000,4206,Svensk Fastighetsförmedling,467.6772847344437,Johannelund
2016-04-27,Multrågatan 23,Vällingby,Grön Hässelby,4,84.8,8,Lägenhet,1958,[Vällingby Råcksta],2495000,130000,2625000,4767,Mäklarringen,190.24711470673552,Racksta
2016-04-22,Bollnäsbacken 44,Vällingby,Grön Hässelby,4,112,null,Lägenhet,1957,[Vällingbyhöjden],4450000,355000,4805000,5138,Länsförsäkringar Fastighetsförmedling,790.0762789746431,Johannelund
2016-04-22,Kirunagatan 66,Vällingby,Grön Hässelby,4,85,2,Lägenhet,1954,[Vällingby Centrum],2495000,95000,2590000,4278,Länsförsäkringar Fastighetsförmedling,344.27068511371,Johannelund
2016-04-22,Östersundsgatan 7,Vällingby,Grön Hässelby,1,46,15,Lägenhet,1957,[Råcksta],1895000,310000,2205000,2492,Mäklarhuset,128.60073313714122,Racksta
2016-04-21,Mörsilsgatan 12,Vällingby,Grön Hässelby,3,68,2,Lägenhet,1955,[Vällingby Centrum],2195000,405000,2600000,3317,HusmanHagberg,340.43733300343024,Vallingby
2016-04-20,Nickelgränd 4,Vällingby,Grön Hässelby,3,75,6,Lägenhet,1958,[Vällingby],2595000,305000,2900000,3349,Fastighetsbyrån,260.61449197386446,Racksta
2016-04-19,Kirunagatan 30,Vällingby,Grön Hässelby,3,63,1,Lägenhet,1954,[Vällingby],2295000,55000,2350000,3198,Svensk Fastighetsförmedling,453.7075584959202,Vallingby
