date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-10,Lammholmsbacken 185,Vårby,Röd Norsborg,1,29.5,1,Lägenhet,1972,[Vårby Gård],1195000,345000,1540000,2125,Notar,435.798465418019,Varby gard
2016-05-02,Duvbergsvägen 29,Vårby,Röd Norsborg,3,108,null,Parhus,2001,[Vårby Gård],2995000,310000,3305000,4592,Hemverket,554.3342781045301,Varby gard
2016-04-15,Vårbackavägen 3A,Vårby,Röd Norsborg,2,56,2,Lägenhet,1930,[Vårby],1995000,80000,2075000,3584,Fastighetsbyrån,545.1252472377824,Varby gard
2016-03-21,Lammholmsbacken 240,Vårby,Röd Norsborg,4,96,null,Lägenhet,1969,[Vårby Gård],2700000,710000,3410000,4079,Notar,533.8518623939532,Varby gard
2016-03-18,Lammholmsbacken 276,Vårby,Röd Norsborg,1,37,1,Lägenhet,1969,[Vårby],1395000,235000,1630000,1890,Notar,532.2719483615276,Varby gard
2016-03-12,Lammholmsbacken 264,Vårby,Röd Norsborg,4,76,2,Lägenhet,1969,[Vårby],1995000,365000,2360000,3333,Fastighetsbyrån,549.9629256509627,Varby gard
2016-03-07,Lammholmsbacken 203,Vårby,Röd Norsborg,2,65.5,null,Lägenhet,1972,[Vårby Gård],1495000,565000,2060000,3853,Notar,472.98278942306695,Varby gard
2016-02-26,Lammholmsbacken 232,Vårby,Röd Norsborg,3,76,3,Lägenhet,1969,[Vårberg],2095000,205000,2300000,3393,HusmanHagberg,613.7986196406355,Varby gard
2016-01-27,Lammholmsbacken 258,Vårby,Röd Norsborg,1,37,2,Lägenhet,1968,[Skärholmen],1495000,155000,1650000,1890,Erik Olsson Fastighetsförmedling,580.2477198141494,Varby gard
2016-01-22,Lammholmsbacken 250,Vårby,Röd Norsborg,1,37,1,Lägenhet,1969,[Vårby],1495000,275000,1770000,1949,Fastighetsbyrån,582.236742810895,Varby gard
2016-01-16,Vårbackavägen 3A,Vårby,Röd Norsborg,2.5,64,1,Lägenhet,1930,[Vårby],1995000,580000,2575000,4096,Fastighetsbyrån,545.1252472377824,Varby gard
2015-12-20,Vårbackavägen 3A,Vårby,Röd Norsborg,3,85,null,Lägenhet,1930,[Vårby],2500000,420000,2920000,5440,Svensk Fastighetsförmedling,545.1252472377824,Varby gard
2015-12-17,Lammholmsbacken 260,Vårby,Röd Norsborg,1,37,1,Lägenhet,1969,[Vårby],1495000,55000,1550000,1949,Fastighetsbyrån,601.7871191254918,Varby gard
2015-12-12,Lammholmsbacken 179,Vårby,Röd Norsborg,3,80,3,Lägenhet,1972,[Vårby],1695000,185000,1880000,4870,Fastighetsbyrån,455.50986556436914,Varby gard
2015-12-11,Lammholmsbacken 193,Vårby,Röd Norsborg,3,65.5,2,Lägenhet,1972,[Vårby],1795000,230000,2025000,4167,Fastighetsbyrån,424.5567235835489,Varby gard
2015-11-26,Lammholmsbacken 232,Vårby,Röd Norsborg,3,76,1,Lägenhet,1969,[Vårby Gård],1990000,210000,2200000,3423,Svenska Hem,613.7986196406355,Varby gard
2015-11-12,Lammholmsbacken 264,Vårby,Röd Norsborg,1,37,2,Lägenhet,1969,[Vårby Gård],1395000,655000,2050000,1980,HusmanHagberg,549.9629256509627,Varby gard
2015-11-07,Lammholmsbacken 177,Vårby,Röd Norsborg,3,79.5,null,Lägenhet,1972,[Vårby],1695000,460000,2155000,4856,Länsförsäkringar Fastighetsförmedling,438.21952633547806,Varby gard
2015-10-21,Duvbergsvägen,Vårby,Röd Norsborg,8,347,null,Villa,2005,[Vårby],17000000,-10225000,6775000,null,SthlmFast,436.7214532792313,Varby gard
