date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-14,Rosenlundsgatan 14,Zinkensdamm,Södermalm,2,59,2,Lägenhet,1964,[Södermalm],4250000,0,4250000,3141,Länsförsäkringar Fastighetsförmedling,288.0787714678536,Zinkensdamm
2016-05-14,Brännkyrkagatan 83,Zinkensdamm,Södermalm,1.5,41,0.5,Lägenhet,1942,[Södermalm Högalid],2690000,0,2690000,2324,HusmanHagberg,128.25045094511074,Zinkensdamm
2016-05-12,Rosenlundsgatan 24,Zinkensdamm,Södermalm,1,20,2,Lägenhet,1928,[Södermalm],1895000,265000,2160000,1096,Erik Olsson Fastighetsförmedling,357.8558054997864,Zinkensdamm
2016-05-11,Drakenbergsgatan 8,Zinkensdamm,Södermalm,1,37,1,Lägenhet,1969,[Södermalm],2350000,275000,2625000,1619,SkandiaMäklarna,453.145596108398,Hornstull
2016-05-11,Pålsundsparken 12,Zinkensdamm,Södermalm,3.5,68,null,Lägenhet,1913,[Högalid],5500000,600000,6100000,3080,Fastighetsbyrån,543.5734559470101,Hornstull
2016-05-04,Kristinehovsgatan 5A,Zinkensdamm,Södermalm,1,25,2,Lägenhet,1941,[Högalid],1995000,480000,2475000,1578,Fastighetsbyrån,463.23818207195086,Zinkensdamm
2016-05-04,Krukmakargatan 38,Zinkensdamm,Södermalm,1,23,2,Lägenhet,1884,[Södermalm],1990000,560000,2550000,1881,Fantastic Frank Fastighetsmäkleri,137.0638747703233,Zinkensdamm
2016-05-04,Wollmar Yxkullsgatan 52B,Zinkensdamm,Södermalm,2,39,2,Lägenhet,1935,[Södermalm],2795000,905000,3700000,2171,Svensk Fastighetsförmedling,255.66342054297158,Zinkensdamm
2016-05-04,Zinkens väg 69,Zinkensdamm,Södermalm,4,93,4,Lägenhet,1988,[Södermalm],5895000,1625000,7520000,4972,Svensk Fastighetsförmedling,327.4393961421541,Zinkensdamm
2016-04-29,Drakenbergsgatan 8,Zinkensdamm,Södermalm,4,85,3,Lägenhet,1967,[Södermalm],4795000,325000,5120000,3719,SkandiaMäklarna,453.145596108398,Hornstull
2016-04-29,Lundagatan 48A,Zinkensdamm,Södermalm,2,28,2,Lägenhet,1932,[Södermalm],2450000,400000,2850000,1591,Södermäklarna,399.21780091460164,Zinkensdamm
2016-04-29,Krukmakargatan 27,Zinkensdamm,Södermalm,2,53,1,Lägenhet,1930,[Södermalm Högalid],3995000,255000,4250000,2441,HusmanHagberg,282.28206675922087,Zinkensdamm
2016-04-28,Heleneborgsgatan 6A,Zinkensdamm,Södermalm,2,51,5,Lägenhet,1924,[Södermalm],4100000,800000,4900000,2970,Fantastic Frank Fastighetsmäkleri,467.85925945477874,Zinkensdamm
2016-04-28,Krukmakargatan 38,Zinkensdamm,Södermalm,1,24,null,Lägenhet,1884,[Södermalm Högalid],1990000,470000,2460000,2177,Bjurfors,137.0638747703233,Zinkensdamm
2016-04-28,Ringvägen 9A,Zinkensdamm,Södermalm,4,84,1,Lägenhet,1981,[Högalid],5950000,1150000,7100000,2685,Fastighetsbyrån,122.74062626874836,Zinkensdamm
2016-04-28,Krukmakargatan 38,Zinkensdamm,Södermalm,1,37,3,Lägenhet,1884,[Södermalm Högalid],2475000,475000,2950000,2930,HusmanHagberg,137.0638747703233,Zinkensdamm
2016-04-27,Lundagatan 44C,Zinkensdamm,Södermalm,2.5,53,1,Lägenhet,null,[Södermalm],3495000,80000,3575000,2495,Svenska Mäklarhuset,372.33826706848936,Zinkensdamm
2016-04-26,Lundagatan 44A,Zinkensdamm,Södermalm,2,47,2,Lägenhet,1930,[Södermalm],3250000,670000,3920000,2341,Erik Olsson Fastighetsförmedling,347.28878808287726,Zinkensdamm
2016-04-22,Hornsgatan 94,Zinkensdamm,Södermalm,2,55,4,Lägenhet,1943,[Södermalm-Högalid],3750000,510000,4260000,2863,Södermäklarna,127.00600427338945,Zinkensdamm
2016-04-22,Brännkyrkagatan 95B,Zinkensdamm,Södermalm,1,38,5,Lägenhet,1909,[Södermalm Högalid],2850000,0,2850000,2056,Bjurfors,62.11698175066442,Zinkensdamm
2016-04-22,Krukmakargatan 59,Zinkensdamm,Södermalm,2,48,1,Lägenhet,1942,[Södermalm],3250000,1250000,4500000,3100,Mäklarringen,332.9456407994397,Zinkensdamm
2016-04-22,Samaritgränd 3,Zinkensdamm,Södermalm,3.5,75,1.5,Lägenhet,1929,[Södermalm],5995000,855000,6850000,4106,Erik Olsson Fastighetsförmedling,320.0002401237804,Zinkensdamm
2016-04-22,Wollmar Yxkullsgatan 48C,Zinkensdamm,Södermalm,1,29.5,2,Lägenhet,1928,[Södermalm Högalid],2350000,670000,3020000,1666,Bjurfors,267.8407248069566,Zinkensdamm
2016-04-22,Rosenlundsgatan 18,Zinkensdamm,Södermalm,2,45,3,Lägenhet,1932,[Södermalm],3375000,475000,3850000,2479,Erik Olsson Fastighetsförmedling,305.4402930279476,Zinkensdamm
2016-04-21,Wollmar Yxkullsgatan 52A,Zinkensdamm,Södermalm,2,31,2,Lägenhet,1935,[Södermalm],2295000,905000,3200000,1951,Svensk Fastighetsförmedling,270.50080349894375,Zinkensdamm
2016-04-21,Lundagatan 40B,Zinkensdamm,Södermalm,2,41.5,4,Lägenhet,1930,[Hornstull],2995000,455000,3450000,2105,Fastighetsbyrån,288.63967263886,Zinkensdamm
2016-04-21,Lundagatan 50,Zinkensdamm,Södermalm,1.5,39,1.5,Lägenhet,1932,[Södermalm],2995000,605000,3600000,2050,Södermäklarna,419.9094431523744,Zinkensdamm
2016-04-19,Wollmar Yxkullsgatan 48D,Zinkensdamm,Södermalm,1,25,3,Lägenhet,1928,[Högalid],1995000,655000,2650000,1608,Svensk Fastighetsförmedling,268.9736219911361,Zinkensdamm
2016-04-19,Kristinehovsgatan 5A,Zinkensdamm,Södermalm,1,26,3,Lägenhet,1941,[Högalid],2150000,700000,2850000,1743,Svensk Fastighetsförmedling,463.23818207195086,Zinkensdamm
2016-04-19,Brännkyrkagatan 119,Zinkensdamm,Södermalm,2,45,0,Lägenhet,1945,[Södermalm-Högalid],2995000,580000,3575000,3375,Södermäklarna,325.4329619130417,Zinkensdamm
2016-04-18,Hornsgatan 63,Zinkensdamm,Södermalm,5,121,1,Lägenhet,1910,[Södermalm],9495000,-495000,9000000,3692,Svensk Fastighetsförmedling,220.64850113205296,Zinkensdamm
2016-04-16,Krukmakargatan 65,Zinkensdamm,Södermalm,1,34,-1,Lägenhet,1942,[Södermalm Högalid],2325000,425000,2750000,2334,HusmanHagberg,382.5131097213914,Zinkensdamm
2016-04-15,Rosenlundsgatan 18,Zinkensdamm,Södermalm,1,32,4,Lägenhet,1932,[Södermalm],2495000,-95000,2400000,1834,Fastighetsbyrån,305.4402930279476,Zinkensdamm
2016-04-15,Rosenlundsgatan 18,Zinkensdamm,Södermalm,2,45,2,Lägenhet,1932,[Södermalm],3375000,275000,3650000,2479,Berggren Hörle,305.4402930279476,Zinkensdamm
2016-04-15,Wollmar Yxkullsgatan 52A,Zinkensdamm,Södermalm,2,39,1,Lägenhet,1935,[Södermalm],2950000,350000,3300000,2171,Erik Olsson Fastighetsförmedling,270.50080349894375,Zinkensdamm
2016-04-13,Zinkens väg 53,Zinkensdamm,Södermalm,2,66,null,Lägenhet,1988,[Högalid],4295000,755000,5050000,3971,Svensk Fastighetsförmedling,360.7454374669546,Zinkensdamm
2016-04-13,Heleneborgsgatan 12A,Zinkensdamm,Södermalm,3.5,100,2.5,Lägenhet,1924,[Södermalm Högalid],7395000,2605000,10000000,3527,Bjurfors,565.8864256827914,Hornstull
2016-04-08,Lundagatan 36E,Zinkensdamm,Södermalm,2,39,2,Lägenhet,1932,[Södermalm],2850000,400000,3250000,1997,Mäklarhuset,283.1188003450348,Zinkensdamm
2016-04-08,Ringvägen,Zinkensdamm,Södermalm,3,74,null,Lägenhet,1983,[Södermalm Högalid],5450000,750000,6200000,2447,Bjurfors,68.61692050756017,Zinkensdamm
2016-04-08,Krukmakargatan 63,Zinkensdamm,Södermalm,2,48,2,Lägenhet,1942,[Högalid],3450000,970000,4420000,3100,Fastighetsbyrån,361.4804127761859,Zinkensdamm
2016-04-08,Lundagatan 40A,Zinkensdamm,Södermalm,2,53,2,Lägenhet,1930,[Högalid],3850000,870000,4720000,2613,Södermäklarna,283.8981450050387,Zinkensdamm
2016-04-07,Rosenlundsgatan 20,Zinkensdamm,Södermalm,2,46,5,Lägenhet,1930,[Börja],3250000,800000,4050000,2363,Svensk Fastighetsförmedling,323.5170617787885,Zinkensdamm
2016-04-06,Zinkens väg 59,Zinkensdamm,Södermalm,3,63,2,Lägenhet,null,[Södermalm],4295000,1125000,5420000,3648,Svenska Mäklarhuset,344.136915096023,Zinkensdamm
