date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-12,Alviksvägen 11,Äppelviken,Grön Hässelby,1.5,44,3,Lägenhet,1929,[Bromma Alvik],2495000,665000,3160000,2249,HusmanHagberg,278.6889773563585,Alvik
2016-04-28,Allévägen 14C,Äppelviken,Grön Hässelby,2.5,60.4,1,Lägenhet,1944,[Bromma Alvik],3490000,980000,4470000,3604,Notar,514.0186781049457,Alvik
2016-04-15,Asplundsvägen 1,Äppelviken,Grön Hässelby,2.5,65,2,Lägenhet,1924,[Bromma Äppelviken],3995000,1005000,5000000,2369,HusmanHagberg,874.4647349816834,Alvik
2016-02-26,Ryggåsgatan 7,Äppelviken,Grön Hässelby,1.5,53,1,Lägenhet,1931,[Bromma Alvik],2595000,455000,3050000,2458,HusmanHagberg,343.4478555612342,Alvik
2016-02-25,Alviksvägen 19,Äppelviken,Grön Hässelby,1,37,3,Lägenhet,1929,[Bromma Alvik],2245000,205000,2450000,2086,HusmanHagberg,350.94445912250825,Alvik
2016-02-25,Alviksvägen 31,Äppelviken,Grön Hässelby,2,54,3,Lägenhet,1929,[Bromma Alvik],2595000,705000,3300000,2454,HusmanHagberg,544.1310773970982,Alvik
2016-01-28,Allévägen 14C,Äppelviken,Grön Hässelby,4,92,1,Lägenhet,1945,[Bromma Äppelviken],5450000,1210000,6660000,5205,HusmanHagberg,514.0186781049457,Alvik
2016-01-27,Alviksvägen 11,Äppelviken,Grön Hässelby,1.5,45,1,Lägenhet,1929,[Bromma Alvik],2495000,705000,3200000,2300,HusmanHagberg,278.6889773563585,Alvik
2015-11-22,Ryggåsgatan 5,Äppelviken,Grön Hässelby,3.5,105,3,Lägenhet,1931,[Bromma Alvik],5245000,255000,5500000,4870,HusmanHagberg,517.2831291265437,Alvik
2015-10-03,Radhusallén 23,Äppelviken,Grön Hässelby,7,117,null,Radhus,1920,[Äppelviken],9900000,1225000,11125000,4333,Wrede,801.8201451196036,Alvik
