date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Svartviksvägen 19,Traneberg,GronHasselby,3,56,null,Lägenhet,1939,[Bromma Traneberg],2750000,600000,3350000,2660,Mäklare Sjögren,670.979198527832,Alvik
2016-06-20,Minnebergsvägen 18,Traneberg,GronHasselby,2,45,3,Lägenhet,1940,[Traneberg],2595000,215000,2810000,2603,Fastighetsbyrån,526.0039125103771,Alvik
2016-06-20,Nipfjällsvägen 12,Traneberg,GronHasselby,2,62,0,Lägenhet,1984,[Bromma],2850000,145000,2995000,2646,ERA,658.6218561890975,Alvik
2016-06-17,Tranebergsvägen 103,Traneberg,GronHasselby,2,53.5,3,Lägenhet,null,[Traneberg],2895000,105000,3000000,3131,Svenska Mäklarhuset,433.94400212945783,Alvik
2016-06-16,Hunnebergsvägen 9,Traneberg,GronHasselby,2.5,49,0.5,Lägenhet,null,[Traneberg],2790000,360000,3150000,3515,Svenska Mäklarhuset,194.4694285775211,Alvik
2016-06-15,Vidängsvägen 47,Traneberg,GronHasselby,2,38.5,null,Lägenhet,1939,[Bromma Traneberg],2595000,-545000,2050000,2492,Notar,656.0438587450806,Alvik
2016-06-14,Margretelundsvägen 24,Traneberg,GronHasselby,2,45,1,Lägenhet,1938,[Traneberg],2395000,235000,2630000,2543,Fastighetsbyrån,414.41669756456866,Alvik
2016-06-10,Hunnebergsvägen 15,Traneberg,GronHasselby,2,43,1,Lägenhet,1935,[Bromma Traneberg],2445000,355000,2800000,2174,HusmanHagberg,253.58108851219257,Alvik
2016-06-09,Tranebergsvägen 52,Traneberg,GronHasselby,2,55,2,Lägenhet,null,[Traneberg],2995000,225000,3220000,2757,Svenska Mäklarhuset,119.06481671982196,Alvik
2016-06-03,Svartviksslingan 39,Traneberg,GronHasselby,3,77.5,5,Lägenhet,1986,[Minneberg],3695000,705000,4400000,4423,Fastighetsbyrån,924.0477056403829,Alvik
2016-06-03,Margretelundsvägen 86,Traneberg,GronHasselby,3,75,3,Lägenhet,1984,[Traneberg],3995000,0,3995000,3500,Länsförsäkringar Fastighetsförmedling,766.1295509567701,Alvik
2016-06-02,Mössebergsvägen 26,Traneberg,GronHasselby,4,94,3,Lägenhet,1939,[Traneberg],4995000,1555000,6550000,4575,Fastighetsbyrån,403.9708332921583,Alvik
2016-06-02,Gesundaplan 50,Traneberg,GronHasselby,3.5,77,1,Lägenhet,1937,[Traneberg],4495000,405000,4900000,3919,Fastighetsbyrån,447.1581281917597,Alvik
2016-05-31,Tranebergsvägen 46,Traneberg,GronHasselby,1,41,1,Lägenhet,1934,[Bromma],2295000,105000,2400000,1786,Erik Olsson Fastighetsförmedling,125.4279013597073,Alvik
2016-05-31,Sulitelmavägen 12,Traneberg,GronHasselby,2,30,0,Lägenhet,1945,[Bromma],1795000,415000,2210000,1964,Erik Olsson Fastighetsförmedling,425.9336345827679,Alvik
2016-05-30,Sulitelmavägen 16,Traneberg,GronHasselby,2,62,1,Lägenhet,1938,[Alvik],3495000,0,3495000,2877,Länsförsäkringar Fastighetsförmedling,475.966080010559,Alvik
2016-05-29,Tranebergsvägen 8,Traneberg,GronHasselby,2,54,3,Lägenhet,1938,[Bromma],2995000,355000,3350000,3135,Mäklarhuset,608.6522360440442,Alvik
2016-05-27,Hunnebergsvägen 3,Traneberg,GronHasselby,1,40,1,Lägenhet,1935,[Bromma Traneberg],2190000,400000,2590000,2355,Notar,168.40647681670512,Alvik
2016-05-27,Tranebergsvägen 57,Traneberg,GronHasselby,3,72,1,Lägenhet,1934,[Bromma Traneberg],3995000,555000,4550000,3938,HusmanHagberg,124.35185968265282,Alvik
2016-05-26,Svartviksslingan 49,Traneberg,GronHasselby,4,91,1,Lägenhet,1984,[Minneberg],4500000,700000,5200000,5099,Fastighetsbyrån,868.3697848703713,Alvik
2016-05-26,Kinnekullevägen 49,Traneberg,GronHasselby,2,53,1,Lägenhet,1935,[Bromma],2995000,555000,3550000,2975,Svensk Fastighetsförmedling,363.3820719706334,Alvik
2016-05-26,Kinnekullevägen 32,Traneberg,GronHasselby,1.5,38,2,Lägenhet,1938,[Traneberg],2095000,355000,2450000,2939,Fastighetsbyrån,285.97877133540516,Alvik
2016-05-25,Kinnekullevägen 24,Traneberg,GronHasselby,2,45,1,Lägenhet,null,[Traneberg],2495000,515000,3010000,2566,Svenska Mäklarhuset,248.8269113255526,Alvik
2016-05-25,Svartviksslingan 88,Traneberg,GronHasselby,2,63,3,Lägenhet,1985,[Bromma],2650000,610000,3260000,3762,Erik Olsson Fastighetsförmedling,815.7531805191454,Alvik
2016-05-24,Svartviksslingan 116,Traneberg,GronHasselby,4,90.5,4,Lägenhet,1984,[Bromma Minneberg],4995000,705000,5700000,5037,HusmanHagberg,802.398197945659,Alvik
2016-05-23,Sulitelmavägen 14B,Traneberg,GronHasselby,2,41.5,1,Lägenhet,1940,[Bromma],1995000,275000,2270000,2903,Svensk Fastighetsförmedling,438.48472343801023,Alvik
2016-05-23,Kinnekullevägen 42,Traneberg,GronHasselby,1,38,3,Lägenhet,1938,[Traneberg],2195000,0,2195000,3305,Länsförsäkringar Fastighetsförmedling,353.957721974131,Alvik
2016-05-21,Svartviksslingan 19,Traneberg,GronHasselby,2,41.5,null,Lägenhet,1986,[Bromma],2295000,15000,2310000,2440,Bjurfors,930.2490621532255,Alvik
2016-05-20,Tranebergsvägen 24,Traneberg,GronHasselby,2,48,null,Lägenhet,1935,[Bromma Traneberg],2695000,405000,3100000,2523,HusmanHagberg,313.115390001321,Alvik
2016-05-20,Hoburgsstigen 14,Traneberg,GronHasselby,4,86,1,Lägenhet,1985,[Traneberg],4495000,725000,5220000,4738,Fastighetsbyrån,689.597285268433,Alvik
2016-05-19,Svartviksslingan 96,Traneberg,GronHasselby,4,90.5,4,Lägenhet,1986,[Bromma],4775000,725000,5500000,5324,Svensk Fastighetsförmedling,833.3420686888347,Alvik
2016-05-19,Svartviksslingan 51,Traneberg,GronHasselby,3,75.5,5,Lägenhet,1986,[Bromma],3795000,155000,3950000,3921,Svensk Fastighetsförmedling,844.3325534570391,Alvik
2016-05-19,Sareksvägen 16,Traneberg,GronHasselby,2,60,2,Lägenhet,1939,[Bromma],3495000,205000,3700000,3585,Erik Olsson Fastighetsförmedling,380.36847473092473,Alvik
2016-05-19,Hallebergsvägen 23,Traneberg,GronHasselby,3,78,3,Lägenhet,1938,[Bromma Traneberg],4195000,365000,4560000,4448,HusmanHagberg,552.1123137487226,Alvik
2016-05-18,Sareksvägen 1,Traneberg,GronHasselby,2,49,1,Lägenhet,null,[Traneberg],2495000,155000,2650000,2519,Svenska Mäklarhuset,256.6342278246156,Alvik
2016-05-17,Svartviksslingan 104,Traneberg,GronHasselby,3,59.5,6,Lägenhet,1986,[Bromma],3475000,425000,3900000,3314,Svensk Fastighetsförmedling,806.6077234884901,Alvik
2016-05-13,Vidängsvägen 49,Traneberg,GronHasselby,2,41.5,3,Lägenhet,1938,[Traneberg],2295000,205000,2500000,2968,Fastighetsbyrån,664.7077572707688,Alvik
2016-05-06,Svartviksslingan 67,Traneberg,GronHasselby,3,68.5,2,Lägenhet,1986,[Bromma],3995000,1315000,5310000,3568,Svensk Fastighetsförmedling,968.786452238297,Alvik
2016-05-06,Hunnebergsvägen 4,Traneberg,GronHasselby,1,35,1,Lägenhet,1934,[Bromma],2195000,205000,2400000,2233,Svensk Fastighetsförmedling,170.01076548274966,Alvik
2016-05-04,Svartviksslingan 21,Traneberg,GronHasselby,4,91,5,Lägenhet,1986,[Bromma],4495000,855000,5350000,5254,Erik Olsson Fastighetsförmedling,966.5246646027681,Alvik
2016-05-03,Grindstuvägen 32,Traneberg,GronHasselby,1.5,44,0.5,Lägenhet,1930,[Traneberg],2095000,855000,2950000,2074,Fastighetsbyrån,536.3170954649703,Alvik
2016-05-03,Hunnebergsvägen 16,Traneberg,GronHasselby,2,37,3,Lägenhet,1935,[Bromma],2195000,555000,2750000,2265,Erik Olsson Fastighetsförmedling,202.88923083151525,Alvik
2016-04-30,Kebnekaisevägen 10,Traneberg,GronHasselby,3,56,2,Lägenhet,null,[Traneberg],2850000,555000,3405000,3429,Svenska Mäklarhuset,598.1681384233742,Alvik
2016-04-29,Grindstuvägen 32B,Traneberg,GronHasselby,3,76,3,Lägenhet,2014,[Bromma],5575000,325000,5900000,3267,Balders Ädelmarks,537.4930621982977,Alvik
2016-04-28,Kinnekullevägen 41,Traneberg,GronHasselby,1,39,3,Lägenhet,null,[Traneberg],2195000,380000,2575000,2887,Svenska Mäklarhuset,278.673089215318,Alvik
2016-04-28,Svartviksslingan 37,Traneberg,GronHasselby,4,91,5,Lägenhet,1986,[Bromma],4995000,1055000,6050000,5218,Svensk Fastighetsförmedling,956.0202412900506,Alvik
2016-04-28,Hunnebergsvägen 16,Traneberg,GronHasselby,1,31,1,Lägenhet,1935,[Bromma Traneberg],1995000,365000,2360000,2021,Notar,202.88923083151525,Alvik
2016-04-28,Hunnebergsvägen 17,Traneberg,GronHasselby,2.5,51,1,Lägenhet,1935,[Bromma Traneberg],2995000,305000,3300000,2522,HusmanHagberg,253.58108851219257,Alvik
2016-04-28,Mössebergsvägen 17,Traneberg,GronHasselby,3,57,2,Lägenhet,1936,[Bromma Traneberg],3295000,655000,3950000,3111,HusmanHagberg,321.56858135586504,Alvik
2016-04-28,Svartviksvägen 4,Traneberg,GronHasselby,2,45,3,Lägenhet,1938,[Bromma Traneberg],2395000,790000,3185000,2920,HusmanHagberg,594.1854731826827,Alvik
2016-04-26,Svartviksslingan 94,Traneberg,GronHasselby,2,63.5,7,Lägenhet,1986,[Bromma Minneberg],2495000,1105000,3600000,3736,Notar,829.2937459412782,Alvik
2016-04-25,Svartviksslingan 27,Traneberg,GronHasselby,4,90.5,8,Lägenhet,null,[Bromma],4995000,905000,5900000,5260,Svenska Mäklarhuset,983.1387453717921,Alvik
2016-04-25,Sulitelmavägen 27,Traneberg,GronHasselby,3,78,2,Lägenhet,null,[Traneberg],4495000,535000,5030000,3351,Svenska Mäklarhuset,512.0476862829918,Alvik
2016-04-23,Kinnekullevägen 42,Traneberg,GronHasselby,1,35,1,Lägenhet,1938,[Bromma Traneberg],1995000,415000,2410000,2979,HusmanHagberg,353.957721974131,Alvik
2016-04-18,Svartviksslingan 19,Traneberg,GronHasselby,3,75.5,null,Lägenhet,1985,[Bromma-Minneberg],3075000,1375000,4450000,4365,Balders Ädelmarks,930.2490621532255,Alvik
2016-04-18,Tranebergsvägen 9,Traneberg,GronHasselby,4,97,3,Lägenhet,1938,[Bromma Traneberg],4995000,855000,5850000,5589,HusmanHagberg,604.5029589760577,Alvik
2016-04-15,Nipfjällsvägen 8,Traneberg,GronHasselby,3,75,3,Lägenhet,1984,[Traneberg],4195000,525000,4720000,3115,Fastighetsbyrån,607.4151849311063,Alvik
2016-04-15,Tranebegsvägen 39A,Traneberg,GronHasselby,3,69,null,Lägenhet,1934,[Bromma],3495000,5000,3500000,4293,Fastighetsmäklarna,164.59020422051995,Alvik
2016-04-15,Kinnekullevägen 27,Traneberg,GronHasselby,2,52,1,Lägenhet,null,[Traneberg],2995000,320000,3315000,3233,Svenska Mäklarhuset,212.44674447554343,Alvik
2016-04-15,Sareksvägen 18,Traneberg,GronHasselby,1.5,41,2,Lägenhet,1939,[Bromma Traneberg],2395000,455000,2850000,2450,HusmanHagberg,380.4813295591082,Alvik
2016-04-13,Mössebergsvägen 26,Traneberg,GronHasselby,3,66,2,Lägenhet,1937,[Bromma Traneberg],3590000,935000,4525000,3184,Notar,403.9708332921583,Alvik
2016-04-09,Svartviksslingan 37,Traneberg,GronHasselby,3,68.5,5,Lägenhet,null,[Minneberg],2995000,765000,3760000,3979,Fastighetsbyrån,956.0202412900506,Alvik
2016-04-08,Hunnebergsvägen 2,Traneberg,GronHasselby,1,36,2,Lägenhet,null,[Traneberg],2175000,475000,2650000,2677,Svenska Mäklarhuset,146.7958179546453,Alvik
