date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-18,Fiskarfjärdsvägen 3,Varberg,RodNorsborg,7,167,null,Villa,1973,[Johannesdal],7500000,250000,7750000,null,Fastighetsbyrån,982.8467458074822,Varberg
2016-06-17,Fjärdholmsgränd 9B,Varberg,RodNorsborg,4,92,6,Lägenhet,1968,[Skärholmen],2200000,10000,2210000,4579,SthlmFast,197.50983180861977,Varberg
2016-06-14,Lammholmsbacken 209,Varberg,RodNorsborg,3,76.5,1,Lägenhet,1972,[Skärholmen],1995000,10000,2005000,4587,Svensk Fastighetsförmedling,559.1496313384291,Varby gard
2016-06-07,Laxholmsbacken 98,Varberg,RodNorsborg,5,118,null,Radhus,1972,[Skärholmen],3995000,5000,4000000,null,Tomas Mäklarbyrå,1010.0235218789782,Varberg
2016-06-05,Lindholmsbacken 152,Varberg,RodNorsborg,4,114,null,Radhus,1969,[Skärholmen],3590000,-90000,3500000,null,Fastighetsbyrån,763.7045318036645,Skarholmen
2016-06-01,Lammholmsbacken 48,Varberg,RodNorsborg,7,132,null,Villa,1969,[Skärholmen],4700000,0,4700000,null,Fastighetsbyrån,703.6147241129821,Varberg
2016-05-31,Lammholmsbacken 211,Varberg,RodNorsborg,4,null,null,Lägenhet,1971,[Skärholmen],2190000,310000,2500000,4856,Gripsholms Fastighetsförmedling,560.5876992615092,Varby gard
2016-05-28,Lindholmsbacken 117,Varberg,RodNorsborg,5,113,null,Radhus,1969,[Skärholmen],3690000,0,3690000,null,Fastighetsbyrån,771.5990636735571,Skarholmen
2016-05-27,Vårholmsbackarna 84,Varberg,RodNorsborg,3,82,3,Lägenhet,1969,[Vårberg],1795000,-5000,1790000,4748,Fastighetsbyrån,320.1324565956852,Varberg
2016-05-27,Våruddsringen 40,Varberg,RodNorsborg,5,133,null,Radhus,1969,[Vårberg],3290000,290000,3580000,null,Fastighetsbyrån,632.0844184790913,Varberg
2016-05-21,Fiskarholmsgränd 3,Varberg,RodNorsborg,9,210,null,Villa,1975,[Johannesdal],6295000,-45000,6250000,null,HusmanHagberg,946.4982601872006,Varberg
2016-05-21,Våruddsringen 80,Varberg,RodNorsborg,5,133,null,Radhus,1969,[Vårberg],3300000,350000,3650000,null,BoLiving,699.0397503438925,Varberg
2016-05-19,Lammholmsbacken 124,Varberg,RodNorsborg,5,114,null,Radhus,1970,[Skärholmen],3390000,110000,3500000,null,Fastighetsbyrån,662.3215649689317,Varberg
2016-05-19,Lindholmsbacken 152,Varberg,RodNorsborg,4,114,null,Radhus,1969,[Skärholmen],3590000,5000,3595000,null,Fastighetsbyrån,763.7045318036645,Skarholmen
2016-05-14,Bullerholmsgränd 36,Varberg,RodNorsborg,7,180,null,Radhus,1969,[Skärholmen],3950000,1350000,5300000,null,Länsförsäkringar Fastighetsförmedling,546.7684220722581,Varberg
2016-05-14,Varpholmsgränd 63,Varberg,RodNorsborg,8,139,null,Radhus,1968,[Skärholmen],3790000,250000,4040000,null,Fastighetsbyrån,601.3800479672454,Varberg
2016-05-13,Ekholmsvägen 253,Varberg,RodNorsborg,2,36.5,4,Lägenhet,2000,[Skärholmen],1595000,225000,1820000,3668,Svensk Fastighetsförmedling,374.5457327533527,Skarholmen
2016-05-11,Vårholmsbackarna 80,Varberg,RodNorsborg,2,44,0,Lägenhet,1969,[Vårberg],1495000,260000,1755000,2979,Fastighetsbyrån,367.0316365441452,Varberg
2016-05-04,Gränsholmsbacken 4,Varberg,RodNorsborg,3,88,1,Lägenhet,1968,[Vårberg],2500000,-210000,2290000,3870,Fastighetsbyrån,436.55323782133433,Varberg
2016-05-04,Falkholmsgränd 19,Varberg,RodNorsborg,2,68,4,Lägenhet,1967,[Skärholmen],1790000,210000,2000000,4485,Fastighetsbyrån,536.2924637656026,Skarholmen
2016-04-27,Vårholmsbackarna 90,Varberg,RodNorsborg,3,82,1,Lägenhet,1969,[Vårberg],1995000,225000,2220000,4748,Fastighetsbyrån,278.7704132336426,Varberg
2016-04-26,Gränsholmsbacken 6,Varberg,RodNorsborg,2,65,null,Lägenhet,1967,[Vårberg],1695000,505000,2200000,2869,Notar,446.78529822213847,Varberg
2016-04-23,Norrholmsgränd 61,Varberg,RodNorsborg,6,135,null,Radhus,1970,[Skärholmen],3990000,570000,4560000,null,Fastighetsbyrån,537.032845131384,Varberg
2016-04-22,Fjärdholmsgränd 9A,Varberg,RodNorsborg,4,95,5,Lägenhet,1968,[Skärholmen],2195000,405000,2600000,4728,SthlmFast,208.46353750698188,Varberg
2016-04-22,Falkholmsgränd 33,Varberg,RodNorsborg,4,84,null,Lägenhet,1967,[Skärholmen],2790000,-190000,2600000,5481,Fastighetsbyrån,448.4354647686961,Varberg
2016-04-20,Lindholmsbacken 104,Varberg,RodNorsborg,6,134,null,Radhus,1969,[Skärholmen],3850000,0,3850000,null,Ansvar Fastighetsförmedling,664.7238104901637,Skarholmen
2016-04-20,Skridskovägen 7,Varberg,RodNorsborg,2,40,3,Lägenhet,1956,[Västertorp],2195000,325000,2520000,2607,Fastighetsbyrån,942.118551073073,Varberg
2016-04-15,Skridskovägen 7,Varberg,RodNorsborg,2,50,4,Lägenhet,1956,[Hägersten],2495000,15000,2510000,3259,Svensk Fastighetsförmedling,942.118551073073,Varberg
2016-04-15,Vårholmsbackarna 60,Varberg,RodNorsborg,3,82,3,Lägenhet,1969,[Vårberg],2095000,205000,2300000,4748,Fastighetsbyrån,362.17188571014105,Varberg
2016-04-14,Gränsholmsbacken 7,Varberg,RodNorsborg,3,83,3,Lägenhet,1968,[Vårberg],1895000,350000,2245000,3647,HusmanHagberg,428.77940276360874,Varberg
2016-04-14,Bullerholmsgränd 111,Varberg,RodNorsborg,6,139,null,Radhus,1969,[Skärholmen],3650000,720000,4370000,null,Fastighetsbyrån,422.87039182284093,Varberg
2016-04-09,Fjärdholmsgränd 9A,Varberg,RodNorsborg,3,95,6,Lägenhet,1968,[Skärholmen],2195000,100000,2295000,4728,SthlmFast,208.46353750698188,Varberg
2016-04-08,Båtholmsbacken 19,Varberg,RodNorsborg,3,71,2,Lägenhet,1967,[Vårberg],2095000,665000,2760000,3341,Notar,525.0386935249525,Varberg
2016-04-02,Gränsholmsbacken 19,Varberg,RodNorsborg,3,88,2,Lägenhet,1967,[Vårberg],2495000,315000,2810000,3780,Södermäklarna,503.0533892221649,Varberg
2016-03-29,Gränsholmsbacken 17,Varberg,RodNorsborg,3,71,2,Lägenhet,1967,[Skärholmen],1995000,465000,2460000,3341,Notar,421.3078830598665,Varberg
2016-03-24,Vårholmsbackarna 82,Varberg,RodNorsborg,3,82,2,Lägenhet,1969,[Vårberg],1995000,565000,2560000,4748,Fastighetsbyrån,362.99580201316644,Varberg
2016-03-15,Vårholmsbackarna 70,Varberg,RodNorsborg,3,82,3,Lägenhet,1969,[Vårberg],1990000,310000,2300000,4615,Fastighetsbyrån,382.87703871822794,Varberg
2016-03-09,Vårholmsbackarna 78,Varberg,RodNorsborg,3,82,2,Lägenhet,1969,[Vårberg],1950000,440000,2390000,4748,Fastighetsbyrån,375.93759401732825,Varberg
2016-03-09,Vårholmsbackarna 60,Varberg,RodNorsborg,3,82,2,Lägenhet,1969,[Skärholmen],1995000,320000,2315000,4748,SkandiaMäklarna,362.17188571014105,Varberg
2016-03-03,Fjärdholmsgränd 9A,Varberg,RodNorsborg,2,68,2,Lägenhet,1968,[Skärholmen],1700000,420000,2120000,3384,SthlmFast,208.46353750698188,Varberg
2016-02-26,Falkholmsgränd 3,Varberg,RodNorsborg,2,44.5,-1,Lägenhet,null,[Skärholmen],1595000,430000,2025000,2903,Svenska Mäklarhuset,479.26499916502684,Skarholmen
2016-02-19,Skridskovägen 7,Varberg,RodNorsborg,1.5,38,null,Lägenhet,1950,[Hägersten],1895000,615000,2510000,2477,Länsförsäkringar Fastighetsförmedling,942.118551073073,Varberg
2016-02-14,Båtholmsbacken 18,Varberg,RodNorsborg,2,65,3,Lägenhet,1968,[Vårberg],1995000,0,1995000,3012,Mäklarringen,476.0532727729846,Varberg
2016-01-13,Falkholmsgränd 5,Varberg,RodNorsborg,1,44.5,-1,Lägenhet,null,[Skärholmen],1095000,805000,1900000,2965,Svenska Mäklarhuset,472.1810562266279,Skarholmen
2015-12-18,Laxholmsbacken 20,Varberg,RodNorsborg,5,136,null,Radhus,1972,[Vårberg],3450000,450000,3900000,null,Fastighetsbyrån,832.758628913121,Varberg
2015-12-17,Bullerholmsgränd 49,Varberg,RodNorsborg,7,139,null,Radhus,1969,[Skärholmen],3790000,610000,4400000,null,Fastighetsbyrån,465.0341307805664,Varberg
2015-12-17,Lindholmsbacken 50,Varberg,RodNorsborg,6,151,null,Villa,1969,[Skärholmen],4675000,-495000,4180000,null,Mäklarhuset,737.7523291524682,Skarholmen
