date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Västmannagatan 46,Vasastan,City,2,30,7,Lägenhet,null,[Vasastan],2795000,1405000,4200000,1590,Magnusson Mäkleri,265.0583050930253,Odenplan
2016-06-21,Vanadisvägen 31B,Vasastan,City,1,24,5,Lägenhet,1912,[Vasastan],2150000,620000,2770000,1326,Fastighetsbyrån,474.5644105076908,Odenplan
2016-06-21,Frejgatan 56,Vasastan,City,2,67,4,Lägenhet,1905,[Vasastan],4975000,1315000,6290000,2352,SkandiaMäklarna,431.7250080036889,Odenplan
2016-06-21,Atlasgatan 13,Vasastan,City,2,64,1.5,Lägenhet,1928,[Vasastan],4950000,875000,5825000,2284,Bostadsrättsspecialisten,127.55684884443872,Sankt Eriksplan
2016-06-21,Birger Jarlsgatan 104E,Vasastan,City,1,26,0,Lägenhet,1928,[Östermalm],2295000,305000,2600000,2040,Fastighetsbyrån,552.0030751531222,Tekniska hagskolan
2016-06-20,Sankt Eriksgatan 85D,Vasastan,City,1,40,3,Lägenhet,1927,[Vasastan],3000000,0,3000000,855,Erik Olsson Fastighetsförmedling,142.9451300974557,Sankt Eriksplan
2016-06-20,Upplandsgatan 53,Vasastan,City,2,66,1,Lägenhet,1898,[Vasastan],5990000,-140000,5850000,1007,Bostadsrättsspecialisten,115.34289912497917,Odenplan
2016-06-20,Roslagsgatan 14,Vasastan,City,7,210,4,Lägenhet,1922,[Vasastan],16500000,-1200000,15300000,6868,Per Jansson Fastighetsförmedling,624.8590900954197,Tekniska hagskolan
2016-06-19,Hagagatan 17M,Vasastan,City,3,78,1,Lägenhet,1981,[Vasastan],5450000,400000,5850000,3193,Erik Olsson Fastighetsförmedling,271.0301889135943,Odenplan
2016-06-19,Birger Jarlsgatan 113B,Vasastan,City,3,75,2,Lägenhet,1906,[Östermalm],5500000,0,5500000,3212,Crown Estate Fastighetsbyrå,810.693166620264,Tekniska hagskolan
2016-06-18,Surbrunnsgatan 5,Vasastan,City,2,60,3,Lägenhet,1897,[Östermalm],5195000,105000,5300000,2213,Fastighetsbyrån,431.55741739064774,Tekniska hagskolan
2016-06-18,Odengatan 98,Vasastan,City,4,159.5,6,Lägenhet,null,[Vasastan],20450000,0,20450000,4638,BOSTHLM,221.7919710196662,Sankt Eriksplan
2016-06-17,Dalagatan 62,Vasastan,City,2,62,4,Lägenhet,1888,[Vasastan],4500000,200000,4700000,3331,HusmanHagberg,326.83869024053035,Odenplan
2016-06-17,Birger Jarlsgatan 104M,Vasastan,City,1,32,4,Lägenhet,1928,[Östermalm],3000000,-150000,2850000,2349,Länsförsäkringar Fastighetsförmedling,559.9222313663574,Tekniska hagskolan
2016-06-17,Rörstrandsgatan 58,Vasastan,City,3,83,6,Lägenhet,1909,[Vasastan],7250000,325000,7575000,3663,Fastighetsbyrån,723.9762028650937,Sankt Eriksplan
2016-06-17,Frejgatan 34,Vasastan,City,3.5,66,5,Lägenhet,1939,[Vasastan],5490000,160000,5650000,3545,Notar,265.74767779786464,Odenplan
2016-06-17,Roslagsgatan 35,Vasastan,City,2,75,4,Lägenhet,1897,[Vasastan],5495000,905000,6400000,3505,Notar,765.693211889096,Odenplan
2016-06-17,Roslagsgatan 39A,Vasastan,City,2,47,1,Lägenhet,1898,[Vasastan],3895000,0,3895000,1957,Innerstadsspecialisten AB,760.6082368980865,Odenplan
2016-06-17,Tulegatan 26,Vasastan,City,3,77,2,Lägenhet,1906,[Vasastan],6495000,730000,7225000,3208,MOHV,611.6825358237361,Odenplan
2016-06-17,Torsgatan 54,Vasastan,City,3,110,4,Lägenhet,1918,[Vasastan],7750000,1300000,9050000,4476,SkandiaMäklarna,391.86097597297277,Sankt Eriksplan
2016-06-16,Valhallavägen 22B,Vasastan,City,2,56,4,Lägenhet,1911,[Vasastan Östermalm],4275000,275000,4550000,2887,HusmanHagberg,565.6876061858662,Tekniska hagskolan
2016-06-16,Roslagsgatan 28,Vasastan,City,2,55.4,7,Lägenhet,1974,[Vasastan],3750000,330000,4080000,2301,Erik Olsson Fastighetsförmedling,706.7166634028813,Tekniska hagskolan
2016-06-16,Roslagsgatan 48,Vasastan,City,2,38,3,Lägenhet,1888,[Vasastan],3395000,305000,3700000,813,Fastighetsbyrån,839.0236281985096,Odenplan
2016-06-16,Döbelnsgatan 16,Vasastan,City,2,66,null,Lägenhet,1892,[Vasastan],6295000,-395000,5900000,2640,Fastighetsbyrån,194.62810249991372,Radmansgatan
2016-06-16,Birkagatan 26,Vasastan,City,1,34,1,Lägenhet,1904,[Vasastan-Birkastan],2950000,570000,3520000,1714,Mäklarhuset,205.68584357780878,Sankt Eriksplan
2016-06-16,Karlbergsvägen 72,Vasastan,City,4,109,2,Lägenhet,1916,[Birkastan],9495000,755000,10250000,4215,Notar,560.7247504801836,Sankt Eriksplan
2016-06-16,Hälsingegatan 10,Vasastan,City,2,52,1,Lägenhet,1906,[Vasastan],4250000,205000,4455000,2532,Notar,492.3892197935273,Odenplan
2016-06-16,Völundsgatan 9,Vasastan,City,1.5,39,4,Lägenhet,1928,[Vasastan],2995000,275000,3270000,2759,Fastighetsbyrån,102.23387660229193,Sankt Eriksplan
2016-06-16,Hälsingehöjden 3,Vasastan,City,2,61,4,Lägenhet,1926,[Vasastan],5250000,400000,5650000,3170,HusmanHagberg,453.59959416757226,Sankt Eriksplan
2016-06-16,Roslagsgatan 26,Vasastan,City,3,82.7,6,Lägenhet,1973,[Vasastan],5800000,150000,5950000,2951,Vision Fastighetsmäkleri AB,700.1150961526139,Tekniska hagskolan
2016-06-16,Birger Jarlsgatan 104B,Vasastan,City,2,31,2,Lägenhet,null,[Östermalm Vasastan Norrmalm],3200000,0,3200000,2349,BOSTHLM,580.4880573227947,Tekniska hagskolan
2016-06-16,Sveavägen 133,Vasastan,City,2,38,4,Lägenhet,1926,[Vasastan],2995000,455000,3450000,2013,Innerstadsspecialisten AB,648.4124692881785,Odenplan
2016-06-16,Roslagsgatan 49,Vasastan,City,1,28,4,Lägenhet,1929,[Vasastan],2350000,325000,2675000,1602,Notar,855.5139284526375,Odenplan
2016-06-15,Västmannagatan 89A,Vasastan,City,2,59,null,Lägenhet,1906,[Vasastan],4950000,750000,5700000,2273,Vasastansmäklarna,442.25863197190523,Odenplan
2016-06-15,Döbelnsgatan 95,Vasastan,City,2,43.5,3,Lägenhet,1972,[Vasastan],3095000,405000,3500000,935,MOHV,505.9705550266349,Odenplan
2016-06-15,Karlbergsvägen 78,Vasastan,City,3,61,1,Lägenhet,1911,[Vasastan],5200000,200000,5400000,2457,Länsförsäkringar Fastighetsförmedling,611.2564908627481,Sankt Eriksplan
2016-06-15,Idungatan 5,Vasastan,City,2,45,null,Lägenhet,1969,[Vasastan],3495000,0,3495000,1696,Fabergé Fastighetsmäkleri,575.217287991018,Odenplan
2016-06-14,Roslagsgatan 6,Vasastan,City,2.5,69,2.5,Lägenhet,1932,[Vasastan Östermalm],5495000,905000,6400000,2432,Svensk Fastighetsförmedling,525.5816120366018,Radmansgatan
2016-06-14,Tre Liljor 2B,Vasastan,City,2,51,2,Lägenhet,1924,[Vasastan],3900000,110000,4010000,2841,SkandiaMäklarna,599.325702478114,Odenplan
