date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-15,Skidskyttevägen 6,Vastertorp,RodFruangen,2,52,3,Lägenhet,2008,[Hägersten],2495000,535000,3030000,3075,Svensk Fastighetsförmedling,282.69169440778046,Vastertorp
2016-06-15,Isgränd 3,Vastertorp,RodFruangen,2,61,1,Lägenhet,null,[Hägersten Västertorp],2595000,0,2595000,3211,BOSTHLM,138.2403885400792,Vastertorp
2016-06-15,Skidskyttevägen 6,Vastertorp,RodFruangen,3,81,4,Lägenhet,2008,[Hägersten],3495000,435000,3930000,4791,Svensk Fastighetsförmedling,282.69169440778046,Vastertorp
2016-06-14,Snöflingebacken 9,Vastertorp,RodFruangen,3,77,4,Lägenhet,1950,[Västertorp],3395000,575000,3970000,3891,Mäklarhuset,231.79730289682487,Hagerstensasen
2016-06-09,Västertorpsvägen 80,Vastertorp,RodFruangen,2,55,4,Lägenhet,1995,[Hägersten],2050000,950000,3000000,3219,StjärnMäklarna AB,398.949937446712,Vastertorp
2016-05-28,Slalomvägen 17,Vastertorp,RodFruangen,2,56,3,Lägenhet,1949,[Västertorp],2350000,150000,2500000,3112,Mäklarringen,403.26464251189657,Vastertorp
2016-05-24,Isjaktsgränd 37,Vastertorp,RodFruangen,1,22,1,Lägenhet,null,[Västertorp],1695000,405000,2100000,1041,Svenska Mäklarhuset,350.90123343203373,Vastertorp
2016-05-19,Västertorpsvägen 14,Vastertorp,RodFruangen,1.5,39,4,Lägenhet,1996,[Hägersten],1895000,575000,2470000,2876,Svensk Fastighetsförmedling,493.3037383012251,Vastertorp
2016-05-19,Skidskyttevägen 6,Vastertorp,RodFruangen,2.5,68.5,null,Lägenhet,2008,[Västertorp],3000000,0,3000000,4052,Länsförsäkringar Fastighetsförmedling,282.69169440778046,Vastertorp
2016-05-18,Bandyvägen 48,Vastertorp,RodFruangen,4,91,null,Radhus,1953,[Hägersten],4495000,1480000,5975000,4695,Erik Olsson Fastighetsförmedling,520.7278458225577,Hagerstensasen
2016-05-12,Stöttingsgränd 8,Vastertorp,RodFruangen,3,72,1,Lägenhet,1950,[Hägersten-Liljeholmen],2995000,280000,3275000,3935,BOSTHLM,183.430062277002,Vastertorp
2016-05-11,Västertorpsvägen 10,Vastertorp,RodFruangen,2,64.5,2,Lägenhet,1996,[Hägersten-Liljeholmen],2295000,305000,2600000,4433,SkandiaMäklarna,470.02180995965347,Hagerstensasen
2016-05-09,Slalomvägen 1,Vastertorp,RodFruangen,3,70,3,Lägenhet,1949,[Västertorp],2895000,555000,3450000,3858,Fastighetsbyrån,419.08945455084165,Vastertorp
2016-05-08,Puckgränd 17,Vastertorp,RodFruangen,2,56.5,1,Lägenhet,1951,[Västertorp],2295000,215000,2510000,2849,HusmanHagberg,390.27323930714095,Vastertorp
2016-05-05,Skidskyttevägen 4,Vastertorp,RodFruangen,3.5,81,1,Lägenhet,2008,[Västertorp],3850000,0,3850000,4791,Länsförsäkringar Fastighetsförmedling,359.37627129606057,Vastertorp
2016-05-04,Västertorpsvägen 10,Vastertorp,RodFruangen,4,78.5,2,Lägenhet,1996,[Västertorp],2995000,935000,3930000,5181,Notar,470.02180995965347,Hagerstensasen
2016-05-02,Slalomvägen 1,Vastertorp,RodFruangen,3,70,3,Lägenhet,1949,[Västertorp],2895000,0,2895000,3858,Fastighetsbyrån,419.08945455084165,Vastertorp
2016-04-27,Broddgränd 19,Vastertorp,RodFruangen,3,73.5,1,Lägenhet,null,[Västertorp],2995000,405000,3400000,3526,Svenska Mäklarhuset,198.62807672637553,Vastertorp
2016-04-24,Västertorpsvägen 3,Vastertorp,RodFruangen,2,61,1,Lägenhet,2008,[Västertorp],2475000,725000,3200000,3893,Mäklarringen,404.09461940678204,Hagerstensasen
2016-04-20,Broddgränd 22,Vastertorp,RodFruangen,2,58,3,Lägenhet,1950,[Västertorp],2050000,650000,2700000,2979,Fastighetsbyrån,140.75989891045262,Vastertorp
2016-04-16,Bandyvägen 33,Vastertorp,RodFruangen,4,137,null,Kedjehus,1951,[Västertorp],6100000,1130000,7230000,null,Mäklarringen,587.2243265944117,Hagerstensasen
2016-04-16,Vasaloppsvägen 65,Vastertorp,RodFruangen,2,51,null,Lägenhet,1949,[Västertorp],2575000,775000,3350000,2529,Mäklarringen,377.8566042388743,Vastertorp
2016-04-16,Skidskyttevägen 2,Vastertorp,RodFruangen,2.5,68.5,null,Lägenhet,2008,[Hägersten-Liljeholmen],2895000,575000,3470000,4052,SkandiaMäklarna,355.5165897227608,Vastertorp
