date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-21,Pär Lagerkvists gata 2,VastraKungsholmen,Kungsholmen,4,88,6,Lägenhet,null,[Kungsholmen-Hornsbergs Strand],5950000,350000,6300000,4908,Karlsson & Uddare,502.33800274938676,Stadshagen
2016-06-21,Ulriksborgsgatan 16,VastraKungsholmen,Kungsholmen,2,49,7,Lägenhet,2010,[Kungsholmen],3450000,350000,3800000,2446,Fastighetsbyrån,323.64841419538993,Stadshagen
2016-06-21,Lustgårdsgatan 4,VastraKungsholmen,Kungsholmen,2,63,5,Lägenhet,2011,[Kungsholmen],4195000,0,4195000,3341,Diplomat Fastighetsmäkleri AB,266.51115261035784,Stadshagen
2016-06-21,Ulriksborgsgatan 9,VastraKungsholmen,Kungsholmen,1.5,40,16,Lägenhet,2007,[Kungsholmen],2900000,50000,2950000,2542,Behrer & Partners,273.4289532907554,Stadshagen
2016-06-21,Lidnersplan 12,VastraKungsholmen,Kungsholmen,2.5,62,3,Lägenhet,1938,[Kungsholmen],4495000,595000,5090000,2388,Mäklarhuset,468.59985277541125,Kristineberg
2016-06-18,Kristinebergsvägen 7,VastraKungsholmen,Kungsholmen,1,37.5,3,Lägenhet,1926,[Kungsholmen],2790000,160000,2950000,1896,Karlsson & Uddare,137.59264510915776,Thorildsplan
2016-06-17,Pär Lagerkvists gata 24,VastraKungsholmen,Kungsholmen,2,52,6,Lägenhet,2010,[Kungsholmen],3950000,100000,4050000,2631,SkandiaMäklarna,680.853740505439,Stadshagen
2016-06-17,Pär Lagerkvists gata 26,VastraKungsholmen,Kungsholmen,3,78,5,Lägenhet,null,[Kungsholmen],5695000,155000,5850000,3551,Svensk Fastighetsförmedling,692.749248824374,Stadshagen
2016-06-16,Kungsholms Strand 183,VastraKungsholmen,Kungsholmen,2,46,4,Lägenhet,1930,[Kungsholmen],3450000,225000,3675000,2831,Karlsson & Uddare,372.51258418737683,Stadshagen
2016-06-16,Sankt Göransgatan 153,VastraKungsholmen,Kungsholmen,1,22.5,8,Lägenhet,1949,[Kungsholmen],2375000,0,2375000,1427,BOSTHLM,197.644023787222,Stadshagen
2016-06-16,Sankt Göransgatan 153,VastraKungsholmen,Kungsholmen,1,22.5,6,Lägenhet,1949,[Kungsholmen],1895000,455000,2350000,1427,Hemverket,197.644023787222,Stadshagen
2016-06-15,Geijersvägen 15,VastraKungsholmen,Kungsholmen,2,47,2,Lägenhet,1939,[Kungsholmen],2895000,100000,2995000,2275,Erik Olsson Fastighetsförmedling,268.9886288391336,Thorildsplan
2016-06-15,Lindhagensterrassen 9,VastraKungsholmen,Kungsholmen,3,79,12,Lägenhet,2009,[Kungsholmen],5475000,345000,5820000,3469,SkandiaMäklarna,226.77395778656103,Stadshagen
2016-06-15,Lars Forssells gata 26,VastraKungsholmen,Kungsholmen,3,89,6,Lägenhet,null,[Kungsholmen],6525000,0,6525000,5004,BOSTHLM,647.553116207927,Kristineberg
2016-06-14,Lindhagensgatan 61,VastraKungsholmen,Kungsholmen,2,38,1,Lägenhet,1928,[Kungsholmen],2795000,580000,3375000,2025,MOHV,205.97751877948338,Thorildsplan
2016-06-14,Warfvinges väg 18,VastraKungsholmen,Kungsholmen,3,78.5,6,Lägenhet,2014,[Kungsholmen],5575000,-200000,5375000,4525,Erik Olsson Fastighetsförmedling,165.41379718404306,Stadshagen
2016-06-13,Lindhagensgatan 61,VastraKungsholmen,Kungsholmen,2,39,3,Lägenhet,1928,[Kungsholmen],3500000,-600000,2900000,2075,Erik Olsson Fastighetsförmedling,205.97751877948338,Thorildsplan
2016-06-10,Kristinebergs Strand 31,VastraKungsholmen,Kungsholmen,3,70,3,Lägenhet,1998,[Kungsholmen],5950000,25000,5975000,4057,Bostadsrättsspecialisten,541.7008601224281,Kristineberg
2016-06-10,Warfvinges väg 18,VastraKungsholmen,Kungsholmen,2,52.5,10,Lägenhet,2015,[Kungsholmen],3995000,425000,4420000,3438,SkandiaMäklarna,165.41379718404306,Stadshagen
2016-06-10,Bågljusvägen 7,VastraKungsholmen,Kungsholmen,3,67,5,Lägenhet,2006,[Kungsholmen Fridhemsplan],4750000,350000,5100000,3929,HusmanHagberg,372.96821248944116,Fridhemsplan
2016-06-10,Bågljusvägen 5,VastraKungsholmen,Kungsholmen,3,65,4,Lägenhet,2006,[Kungsholmen Fridhemsplan],4695000,380000,5075000,3832,HusmanHagberg,376.8868887384791,Fridhemsplan
2016-06-08,Igeldammsgatan 34,VastraKungsholmen,Kungsholmen,2.5,73,2,Lägenhet,1929,[Kungsholmen],5300000,300000,5600000,3328,Karlsson & Uddare,357.29987660068423,Stadshagen
2016-06-08,Olof Dalins väg 18,VastraKungsholmen,Kungsholmen,4,90,6,Lägenhet,1997,[Kungsholmen],6975000,1125000,8100000,5379,Bostadsrättsspecialisten,474.32012366666726,Kristineberg
2016-06-08,Thorildsvägen 4,VastraKungsholmen,Kungsholmen,1,37.5,3,Lägenhet,1926,[Kungsholmen],2695000,355000,3050000,2051,Erik Olsson Fastighetsförmedling,173.55024064197454,Thorildsplan
2016-06-04,Lidnersplan 8,VastraKungsholmen,Kungsholmen,2,51,5,Lägenhet,1938,[Kungsholmen],3895000,230000,4125000,3352,Notar,441.13622777071083,Kristineberg
2016-06-03,Drottningholmsvägen 48,VastraKungsholmen,Kungsholmen,2,58,5,Lägenhet,2012,[Kungsholmen],3995000,615000,4610000,2722,Erik Olsson Fastighetsförmedling,390.80822465530616,Fridhemsplan
2016-06-03,Igeldammsgatan 20,VastraKungsholmen,Kungsholmen,2.5,70,5,Lägenhet,1932,[Kungsholmen],4475000,675000,5150000,2632,Mäklarcentrum,403.8582796360745,Stadshagen
2016-06-03,Lustgårdsgatan 14,VastraKungsholmen,Kungsholmen,2,46,2,Lägenhet,null,[Kungsholmen],3175000,425000,3600000,2458,Svenska Mäklarhuset,262.23282945306875,Stadshagen
2016-06-02,Nicandervägen 3,VastraKungsholmen,Kungsholmen,2.5,47,2,Lägenhet,1939,[Thorildsplan],2995000,205000,3200000,2275,Mäklarringen,324.0986730373387,Thorildsplan
2016-06-01,Lidnersgatan 10A,VastraKungsholmen,Kungsholmen,2,39.5,1,Lägenhet,1938,[Kungsholmen],2425000,175000,2600000,2848,Svensk Fastighetsförmedling,339.12528970870176,Kristineberg
2016-06-01,Lindhagensgatan 55,VastraKungsholmen,Kungsholmen,2,37,3,Lägenhet,1929,[Kungsholmen Thorildsplan],2595000,905000,3500000,1949,HusmanHagberg,202.8345333594384,Thorildsplan
2016-06-01,Igeldammsgatan 20,VastraKungsholmen,Kungsholmen,2,49,5,Lägenhet,1932,[Kungsholmen],3495000,305000,3800000,2053,SkandiaMäklarna,403.8582796360745,Stadshagen
2016-06-01,Lindhagensterrassen 19,VastraKungsholmen,Kungsholmen,4,96.5,2,Lägenhet,2009,[Kungsholmen],6500000,700000,7200000,4047,SkandiaMäklarna,233.20139522039483,Stadshagen
2016-06-01,Elersvägen 44,VastraKungsholmen,Kungsholmen,2,54,5,Lägenhet,2012,[Kungsholmen-Hornsbergs Strand],3950000,100000,4050000,3035,Karlsson & Uddare,598.0969421815174,Kristineberg
2016-05-30,Lindhagensterrassen 9,VastraKungsholmen,Kungsholmen,2,59.5,4,Lägenhet,null,[Kungsholmen],4250000,0,4250000,2816,SkandiaMäklarna,226.77395778656103,Stadshagen
2016-05-30,John Bergs plan 3,VastraKungsholmen,Kungsholmen,2,58,6,Lägenhet,1936,[Kungsholmen],4695000,415000,5110000,3635,Notar,290.939418866731,Stadshagen
2016-05-27,Creutzgatan 11,VastraKungsholmen,Kungsholmen,2,37,2,Lägenhet,1927,[Kungsholmen],2695000,405000,3100000,1994,Erik Olsson Fastighetsförmedling,126.81928352934649,Thorildsplan
2016-05-26,Love Almqvists Väg 10,VastraKungsholmen,Kungsholmen,3,60,5,Lägenhet,1932,[Kungsholmen],3995000,715000,4710000,3183,Erik Olsson Fastighetsförmedling,289.37611892159435,Kristineberg
2016-05-26,Kungsholms Strand 169,VastraKungsholmen,Kungsholmen,2,67,2,Lägenhet,1930,[Kungsholmen],4995000,305000,5300000,2979,Erik Olsson Fastighetsförmedling,449.60746846236395,Stadshagen
2016-05-26,Warfvinges väg 18,VastraKungsholmen,Kungsholmen,2,53.5,13,Lägenhet,2015,[Kungsholmen],3995000,555000,4550000,3473,SkandiaMäklarna,165.41379718404306,Stadshagen
2016-05-26,Sankt Göransgatan 153,VastraKungsholmen,Kungsholmen,2,37.5,8,Lägenhet,null,[Kungsholmen],2750000,25000,2775000,2246,BOSTHLM,197.644023787222,Stadshagen
2016-05-26,Ulriksborgsgatan 16,VastraKungsholmen,Kungsholmen,3,78.5,7,Lägenhet,2010,[Kungsholmen],5195000,255000,5450000,3433,Svensk Fastighetsförmedling,323.64841419538993,Stadshagen
2016-05-26,Lindhagensgatan 67,VastraKungsholmen,Kungsholmen,2,46.5,0.5,Lägenhet,1938,[Kungsholmen],2850000,275000,3125000,2618,Svensk Fastighetsförmedling,222.4970546716577,Thorildsplan
2016-05-26,Lindhagensterrassen 27,VastraKungsholmen,Kungsholmen,3,76.5,5,Lägenhet,2010,[Kungsholmen],5250000,640000,5890000,3385,SkandiaMäklarna,248.66353954511726,Stadshagen
2016-05-25,Lidnersgatan 10A,VastraKungsholmen,Kungsholmen,2,33,3,Lägenhet,1938,[Kungsholmen],2400000,350000,2750000,2498,Fastighetsbyrån,339.12528970870176,Kristineberg
2016-05-24,Hornsbergs Strand 49,VastraKungsholmen,Kungsholmen,4,91,3,Lägenhet,2010,[Kungsholmen],7900000,125000,8025000,4299,Diplomat Fastighetsmäkleri AB,651.1016210228943,Stadshagen
2016-05-24,Lidnersgatan 10A,VastraKungsholmen,Kungsholmen,2,44,1,Lägenhet,1939,[Kungsholmen],3100000,-200000,2900000,3111,SkandiaMäklarna,339.12528970870176,Kristineberg
2016-05-24,Lars Forssells gata 16,VastraKungsholmen,Kungsholmen,2,70,8,Lägenhet,2014,[Kungsholmen],4995000,105000,5100000,3670,Erik Olsson Fastighetsförmedling,577.932591352272,Kristineberg
2016-05-23,Lidnersplan 6,VastraKungsholmen,Kungsholmen,1,33,2,Lägenhet,null,[Kungsholmen],2475000,400000,2875000,1527,Länsförsäkringar Fastighetsförmedling,430.68575281416804,Kristineberg
2016-05-22,Warfvinges väg 18,VastraKungsholmen,Kungsholmen,4,88,12,Lägenhet,null,[Kungsholmen],6950000,-250000,6700000,4981,Svenska Mäklarhuset,165.41379718404306,Stadshagen
2016-05-21,Lindhagensgatan 104B,VastraKungsholmen,Kungsholmen,4,104,8,Lägenhet,2013,[Kungsholmen],7500000,1300000,8800000,4880,Fastighetsmäklarna,275.58706816721434,Stadshagen
2016-05-19,Warfvinges väg 7,VastraKungsholmen,Kungsholmen,2,48,5,Lägenhet,2011,[Kungsholmen],2895000,1280000,4175000,2769,Erik Olsson Fastighetsförmedling,216.62542263458744,Stadshagen
