date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-15,Helgalunden 17,helgalunden,Sodermalm,1,36,1.5,Lägenhet,1930,[Katarina],2575000,525000,3100000,2073,Fastighetsbyrån,312.09951783866865,Skanstull
2016-06-10,Helgagatan 36F,helgalunden,Sodermalm,1,38,1.5,Lägenhet,1926,[Södermalm-Katarina],3100000,50000,3150000,2095,Södermäklarna,398.7853086550069,Skanstull
2016-06-10,Tjurbergsgatan 32,helgalunden,Sodermalm,4,88,1,Lägenhet,null,[Södermalm],6750000,0,6750000,4068,BOSTHLM,358.99766106490017,Medborgarplatsen
2016-06-09,Hallandsgatan 32,helgalunden,Sodermalm,1,25,2,Lägenhet,1927,[Södermalm Katarina],1875000,525000,2400000,1255,HusmanHagberg,460.47756756221065,Medborgarplatsen
2016-06-07,Helgagatan 30,helgalunden,Sodermalm,2,51,0,Lägenhet,1927,[Södermalm],3450000,310000,3760000,2169,HusmanHagberg,454.252571709322,Skanstull
2016-06-06,Älvsborgsgatan 3,helgalunden,Sodermalm,2,61,2,Lägenhet,1931,[Katarina],3995000,255000,4250000,2828,Fastighetsbyrån,196.66732084064907,Skanstull
2016-05-20,Helgagatan 36,helgalunden,Sodermalm,2,42,3,Lägenhet,1926,[Södermalm Katarina],3250000,0,3250000,2307,HusmanHagberg,392.99256719337683,Skanstull
2016-05-19,Tjurbergsgatan 38,helgalunden,Sodermalm,2,39,1,Lägenhet,1927,[Södermalm],3250000,250000,3500000,2117,Historiska Hem AB,343.3428390937372,Skanstull
2016-04-29,Helgagatan 36F,helgalunden,Sodermalm,2.5,52,null,Lägenhet,1926,[Södermalm Katarina],3750000,850000,4600000,2515,HusmanHagberg,398.7853086550069,Skanstull
2016-04-27,Hallandsgatan 50A,helgalunden,Sodermalm,1,30,3,Lägenhet,1927,[Katarina],2195000,765000,2960000,1703,Fastighetsbyrån,331.3678478732261,Medborgarplatsen
2016-04-20,Hallandsgatan 50A,helgalunden,Sodermalm,1,27,3,Lägenhet,1927,[Katarina],1995000,905000,2900000,1608,Fastighetsbyrån,331.3678478732261,Medborgarplatsen
2016-04-20,Helgagatan 36D,helgalunden,Sodermalm,1,38.5,2,Lägenhet,1926,[Katarina],2495000,805000,3300000,2095,Svensk Fastighetsförmedling,351.2577160505461,Skanstull
2016-04-19,Helgagatan 36D,helgalunden,Sodermalm,2,64,1.5,Lägenhet,1926,[Södermalm-Katarina],4375000,1035000,5410000,3458,Södermäklarna,351.2577160505461,Skanstull
2016-04-15,Helgalunden 7,helgalunden,Sodermalm,1,38,2,Lägenhet,null,[Södermalm Maria],2500000,700000,3200000,2710,Bjurfors,408.4105538034487,Skanstull
2016-04-08,Älvsborgsgatan 3,helgalunden,Sodermalm,2,61,1,Lägenhet,1931,[Södermalm],4450000,650000,5100000,2892,Södermäklarna,196.66732084064907,Skanstull
2016-04-01,Helgagatan 36G,helgalunden,Sodermalm,1,29,3,Lägenhet,1926,[Katarina],2295000,680000,2975000,1522,Notar,411.565649115533,Skanstull
2016-03-28,Helgagatan 36K,helgalunden,Sodermalm,1,35,3,Lägenhet,1929,[Katarina],2495000,455000,2950000,1832,Fastighetsbyrån,396.70176795079084,Skanstull
